Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-HDL-PL%,1.09 [1.08-1.10],6.781e-37,***,Phospholipids to Total-Lipids in Medium HDL percentage
IDL-TG%,1.09 [1.07-1.10],1.954e-39,***,Triglycerides to Total-Lipids in IDL percentage
XS-VLDL-PL%,1.08 [1.07-1.10],3.650e-37,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
M-VLDL-TG%,1.08 [1.07-1.10],1.145e-35,***,Triglycerides to Total-Lipids in Medium VLDL percentage
XS-VLDL-TG%,1.08 [1.07-1.10],2.243e-34,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
L-LDL-TG%,1.08 [1.07-1.09],8.776e-32,***,Triglycerides to Total-Lipids in Large LDL percentage
S-VLDL-TG%,1.07 [1.06-1.09],2.925e-29,***,Triglycerides to Total-Lipids in Small VLDL percentage
M-LDL-TG%,1.07 [1.06-1.08],7.833e-26,***,Triglycerides to Total-Lipids in Medium LDL percentage
L-HDL-PL%,1.07 [1.05-1.08],3.367e-21,***,Phospholipids to Total-Lipids in Large HDL percentage
XL-HDL-FC%,1.07 [1.05-1.08],1.233e-17,***,Free Cholesterol to Total-Lipids in Very Large HDL percentage
TG/PG,1.06 [1.05-1.07],8.218e-16,***,Triglycerides to Phosphoglycerides ratio
S-LDL-TG%,1.06 [1.05-1.07],2.590e-18,***,Triglycerides to Total-Lipids in Small LDL percentage
MUFA%,1.06 [1.05-1.07],1.416e-15,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
S-HDL-TG%,1.06 [1.04-1.07],2.453e-15,***,Triglycerides to Total-Lipids in Small HDL percentage
XL-VLDL-TG%,1.06 [1.04-1.07],1.628e-15,***,Triglycerides to Total-Lipids in Very Large VLDL percentage
IDL-PL%,1.05 [1.04-1.06],1.317e-14,***,Phospholipids to Total-Lipids in IDL percentage
L-HDL-TG%,1.05 [1.04-1.06],1.230e-10,***,Triglycerides to Total-Lipids in Large HDL percentage
M-HDL-TG%,1.05 [1.03-1.06],1.174e-09,***,Triglycerides to Total-Lipids in Medium HDL percentage
XL-HDL-TG%,1.04 [1.03-1.05],4.145e-06,***,Triglycerides to Total-Lipids in Very Large HDL percentage
Creatinine,1.04 [1.02-1.05],2.070e-04,***,Creatinine
VLDL-size,1.04 [1.02-1.05],1.129e-04,***,Average Diameter for VLDL Particles
S-LDL-PL%,1.03 [1.02-1.05],4.261e-05,***,Phospholipids to Total-Lipids in Small LDL percentage
GlycA,1.03 [1.02-1.04],0.018,*,Glycoprotein Acetyls
L-VLDL-TG%,1.03 [1.02-1.04],0.003,**,Triglycerides to Total-Lipids in Large VLDL percentage
L-VLDL-PL%,1.03 [1.01-1.04],0.047,*,Phospholipids to Total-Lipids in Large VLDL percentage
M-LDL-PL%,1.03 [1.01-1.04],0.043,*,Phospholipids to Total-Lipids in Medium LDL percentage
XXL-VLDL-CE%,0.97 [0.96-0.99],0.036,*,Cholesteryl Esters to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
VLDL-FC,0.97 [0.96-0.98],0.008,**,Free Cholesterol in VLDL
VLDL-P,0.97 [0.96-0.98],0.004,**,Concentration of VLDL Particles
XXL-VLDL-C%,0.97 [0.96-0.98],0.006,**,Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
M-VLDL-L,0.97 [0.96-0.98],0.002,**,Total-Lipids in Medium VLDL
Omega-3%,0.97 [0.96-0.98],0.002,**,Omega-3 Fatty Acids to Total-Fatty Acids percentage
PUFA%,0.97 [0.95-0.98],2.172e-04,***,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
DHA%,0.97 [0.95-0.98],1.245e-04,***,Docosahexaenoic Acid to Total-Fatty Acids percentage
Tyr,0.97 [0.95-0.98],1.076e-05,***,Tyrosine
S-VLDL-CE,0.96 [0.95-0.98],2.847e-06,***,Cholesteryl Esters in Small VLDL
S-VLDL-PL,0.96 [0.95-0.97],3.557e-07,***,Phospholipids in Small VLDL
M-VLDL-P,0.96 [0.95-0.97],3.237e-07,***,Concentration of Medium VLDL Particles
S-HDL-C%,0.96 [0.95-0.97],5.819e-07,***,Cholesterol to Total-Lipids in Small HDL percentage
S-LDL-FC%,0.96 [0.95-0.97],4.868e-07,***,Free Cholesterol to Total-Lipids in Small LDL percentage
S-LDL-CE%,0.96 [0.95-0.97],1.644e-07,***,Cholesteryl Esters to Total-Lipids in Small LDL percentage
XS-VLDL-PL,0.96 [0.95-0.97],1.831e-08,***,Phospholipids in Very Small VLDL
VLDL-C,0.96 [0.95-0.97],6.164e-09,***,VLDL Cholesterol
S-VLDL-C,0.96 [0.95-0.97],3.888e-09,***,Cholesterol in Small VLDL
M-VLDL-PL,0.96 [0.95-0.97],4.380e-09,***,Phospholipids in Medium VLDL
SFA,0.96 [0.95-0.97],4.528e-09,***,Saturated Fatty Acids
M-HDL-CE%,0.96 [0.95-0.97],1.883e-09,***,Cholesteryl Esters to Total-Lipids in Medium HDL percentage
S-HDL-PL,0.96 [0.95-0.97],2.039e-10,***,Phospholipids in Small HDL
XS-VLDL-FC%,0.96 [0.94-0.97],7.729e-11,***,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
Albumin,0.95 [0.94-0.97],1.814e-11,***,Albumin
Total-FA,0.95 [0.94-0.97],2.067e-11,***,Total-Fatty Acids
LA%,0.95 [0.94-0.97],2.414e-10,***,Linoleic Acid to Total-Fatty Acids percentage
S-HDL-L,0.95 [0.94-0.97],3.868e-12,***,Total-Lipids in Small HDL
Omega-3,0.95 [0.94-0.97],2.912e-11,***,Omega-3 Fatty Acids
L-VLDL-C%,0.95 [0.94-0.96],1.072e-12,***,Cholesterol to Total-Lipids in Large VLDL percentage
M-VLDL-FC,0.95 [0.94-0.96],1.790e-13,***,Free Cholesterol in Medium VLDL
PUFA/MUFA,0.95 [0.94-0.96],1.051e-10,***,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
M-LDL-FC%,0.95 [0.94-0.96],6.382e-12,***,Free Cholesterol to Total-Lipids in Medium LDL percentage
