Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
XS-VLDL-TG%,1.09 [1.08-1.11],7.643e-43,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
IDL-TG%,1.09 [1.08-1.10],8.709e-41,***,Triglycerides to Total-Lipids in IDL percentage
L-LDL-TG%,1.09 [1.07-1.10],3.986e-39,***,Triglycerides to Total-Lipids in Large LDL percentage
L-HDL-PL%,1.08 [1.07-1.10],7.893e-34,***,Phospholipids to Total-Lipids in Large HDL percentage
S-VLDL-TG%,1.08 [1.07-1.10],7.528e-34,***,Triglycerides to Total-Lipids in Small VLDL percentage
M-VLDL-TG%,1.08 [1.07-1.10],7.005e-33,***,Triglycerides to Total-Lipids in Medium VLDL percentage
M-LDL-TG%,1.08 [1.07-1.09],2.163e-33,***,Triglycerides to Total-Lipids in Medium LDL percentage
S-LDL-TG%,1.07 [1.05-1.08],1.247e-21,***,Triglycerides to Total-Lipids in Small LDL percentage
XL-VLDL-TG%,1.06 [1.05-1.07],8.030e-17,***,Triglycerides to Total-Lipids in Very Large VLDL percentage
M-HDL-PL%,1.05 [1.04-1.07],1.597e-11,***,Phospholipids to Total-Lipids in Medium HDL percentage
XS-VLDL-PL%,1.05 [1.04-1.06],1.661e-12,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
MUFA%,1.04 [1.03-1.06],8.961e-08,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
Glu-lactate,1.04 [1.03-1.06],3.224e-09,***,Glucose-lactate
Glu,1.04 [1.03-1.05],8.899e-08,***,Glucose
GlycA,1.04 [1.03-1.05],7.516e-07,***,Glycoprotein Acetyls
XL-HDL-TG%,1.04 [1.03-1.05],1.502e-05,***,Triglycerides to Total-Lipids in Very Large HDL percentage
L-VLDL-TG%,1.04 [1.03-1.05],3.255e-06,***,Triglycerides to Total-Lipids in Large VLDL percentage
S-HDL-TG%,1.04 [1.02-1.05],2.096e-04,***,Triglycerides to Total-Lipids in Small HDL percentage
XL-HDL-FC%,1.04 [1.02-1.05],0.003,**,Free Cholesterol to Total-Lipids in Very Large HDL percentage
L-HDL-TG%,1.03 [1.02-1.05],4.823e-04,***,Triglycerides to Total-Lipids in Large HDL percentage
XXL-VLDL-PL%,1.03 [1.02-1.04],8.887e-04,***,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
TG/PG,1.03 [1.02-1.04],0.044,*,Triglycerides to Phosphoglycerides ratio
S-HDL-PL%,1.03 [1.02-1.04],0.035,*,Phospholipids to Total-Lipids in Small HDL percentage
IDL-PL%,1.03 [1.01-1.04],0.039,*,Phospholipids to Total-Lipids in IDL percentage
S-HDL-CE%,0.97 [0.96-0.99],0.045,*,Cholesteryl Esters to Total-Lipids in Small HDL percentage
L-LDL-CE%,0.97 [0.96-0.98],0.015,*,Cholesteryl Esters to Total-Lipids in Large LDL percentage
S-VLDL-L,0.97 [0.96-0.98],0.017,*,Total-Lipids in Small VLDL
XXL-VLDL-C%,0.97 [0.96-0.98],0.027,*,Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
HDL-P,0.97 [0.96-0.98],0.038,*,Concentration of HDL Particles
VLDL-PL,0.97 [0.96-0.98],0.006,**,Phospholipids in VLDL
Omega-6%,0.97 [0.96-0.98],0.013,*,Omega-6 Fatty Acids to Total-Fatty Acids percentage
S-LDL-CE%,0.97 [0.96-0.98],0.003,**,Cholesteryl Esters to Total-Lipids in Small LDL percentage
Unsaturation,0.97 [0.96-0.98],0.007,**,Degree of Unsaturation
HDL-size,0.97 [0.96-0.98],0.017,*,Average Diameter for HDL Particles
XL-VLDL-CE,0.97 [0.96-0.98],4.352e-04,***,Cholesteryl Esters in Very Large VLDL
L-VLDL-CE,0.97 [0.96-0.98],2.989e-04,***,Cholesteryl Esters in Large VLDL
LDL-size,0.97 [0.96-0.98],4.951e-04,***,Average Diameter for LDL Particles
DHA,0.97 [0.96-0.98],4.301e-04,***,Docosahexaenoic Acid
PUFA%,0.97 [0.96-0.98],5.982e-04,***,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
XXL-VLDL-CE%,0.97 [0.95-0.98],3.135e-05,***,Cholesteryl Esters to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
VLDL-P,0.96 [0.95-0.98],7.516e-06,***,Concentration of VLDL Particles
XL-HDL-CE%,0.96 [0.95-0.98],3.730e-06,***,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
M-HDL-C%,0.96 [0.95-0.98],1.652e-05,***,Cholesterol to Total-Lipids in Medium HDL percentage
VLDL-FC,0.96 [0.95-0.97],9.638e-07,***,Free Cholesterol in VLDL
Total-P,0.96 [0.95-0.97],5.625e-06,***,Total-Concentration of Lipoprotein Particles
L-HDL-L,0.96 [0.95-0.98],1.328e-04,***,Total-Lipids in Large HDL
HDL-CE,0.96 [0.95-0.97],3.628e-05,***,Cholesteryl Esters in HDL
S-LDL-FC%,0.96 [0.95-0.97],4.023e-07,***,Free Cholesterol to Total-Lipids in Small LDL percentage
S-HDL-C%,0.96 [0.95-0.97],4.546e-07,***,Cholesterol to Total-Lipids in Small HDL percentage
PUFA/MUFA,0.96 [0.95-0.97],3.682e-06,***,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
Phosphoglyc,0.96 [0.95-0.97],1.238e-06,***,Phosphoglycerides
HDL-C,0.96 [0.95-0.97],1.130e-05,***,HDL Cholesterol
HDL-FC,0.96 [0.95-0.97],7.577e-06,***,Free Cholesterol in HDL
M-VLDL-L,0.96 [0.95-0.97],3.364e-08,***,Total-Lipids in Medium VLDL
L-HDL-P,0.96 [0.95-0.97],5.449e-06,***,Concentration of Large HDL Particles
XS-VLDL-PL,0.96 [0.95-0.97],8.513e-09,***,Phospholipids in Very Small VLDL
Albumin,0.96 [0.95-0.97],5.477e-09,***,Albumin
L-HDL-FC,0.96 [0.94-0.97],2.043e-06,***,Free Cholesterol in Large HDL
PC,0.96 [0.95-0.97],2.055e-08,***,Phosphatidylcholines
XL-HDL-PL,0.96 [0.94-0.97],2.384e-07,***,Phospholipids in Very Large HDL
XL-VLDL-PL%,0.96 [0.94-0.97],5.863e-11,***,Phospholipids to Total-Lipids in Very Large VLDL percentage
M-LDL-FC%,0.96 [0.94-0.97],9.136e-10,***,Free Cholesterol to Total-Lipids in Medium LDL percentage
S-VLDL-PL,0.96 [0.94-0.97],5.978e-11,***,Phospholipids in Small VLDL
L-HDL-CE,0.96 [0.94-0.97],1.841e-07,***,Cholesteryl Esters in Large HDL
L-HDL-C,0.96 [0.94-0.97],1.603e-07,***,Cholesterol in Large HDL
PUFA,0.95 [0.94-0.97],1.550e-10,***,Polyunsaturated Fatty Acids
S-VLDL-CE,0.95 [0.94-0.97],1.983e-11,***,Cholesteryl Esters in Small VLDL
Omega-6,0.95 [0.94-0.97],4.299e-11,***,Omega-6 Fatty Acids
S-HDL-FC%,0.95 [0.94-0.97],9.342e-11,***,Free Cholesterol to Total-Lipids in Small HDL percentage
ApoB/ApoA1,0.95 [0.94-0.96],1.273e-11,***,Apolipoprotein B to Apolipoprotein A1 ratio
M-VLDL-P,0.95 [0.94-0.96],1.140e-12,***,Concentration of Medium VLDL Particles
Cholines,0.95 [0.94-0.96],3.088e-11,***,Total-Cholines
XS-VLDL-L,0.95 [0.94-0.96],9.734e-13,***,Total-Lipids in Very Small VLDL
IDL-FC%,0.95 [0.94-0.96],6.551e-14,***,Free Cholesterol to Total-Lipids in IDL percentage
XS-VLDL-P,0.95 [0.94-0.96],1.066e-13,***,Concentration of Very Small VLDL Particles
S-VLDL-C,0.95 [0.94-0.96],1.919e-14,***,Cholesterol in Small VLDL
LA,0.95 [0.94-0.96],4.373e-14,***,Linoleic Acid
VLDL-C,0.95 [0.94-0.96],1.053e-14,***,VLDL Cholesterol
M-VLDL-PL,0.95 [0.94-0.96],1.039e-14,***,Phospholipids in Medium VLDL
XL-HDL-L,0.95 [0.94-0.96],6.109e-11,***,Total-Lipids in Very Large HDL
LA%,0.95 [0.94-0.96],3.258e-14,***,Linoleic Acid to Total-Fatty Acids percentage
L-VLDL-C%,0.95 [0.94-0.96],2.437e-15,***,Cholesterol to Total-Lipids in Large VLDL percentage
XS-VLDL-FC,0.95 [0.94-0.96],3.860e-16,***,Free Cholesterol in Very Small VLDL
M-LDL-CE,0.95 [0.94-0.96],2.720e-17,***,Cholesteryl Esters in Medium LDL
XL-HDL-FC,0.95 [0.93-0.96],1.422e-14,***,Free Cholesterol in Very Large HDL
Total-PL,0.95 [0.93-0.96],3.433e-16,***,Total-Phospholipids in Lipoprotein Particles
XL-HDL-P,0.94 [0.93-0.96],1.620e-13,***,Concentration of Very Large HDL Particles
Total-L,0.94 [0.93-0.96],1.231e-17,***,Total-Lipids in Lipoprotein Particles
M-LDL-PL,0.94 [0.93-0.96],2.519e-18,***,Phospholipids in Medium LDL
M-LDL-L,0.94 [0.93-0.96],8.850e-19,***,Total-Lipids in Medium LDL
L-HDL-CE%,0.94 [0.93-0.96],1.342e-16,***,Cholesteryl Esters to Total-Lipids in Large HDL percentage
S-VLDL-FC,0.94 [0.93-0.95],6.152e-19,***,Free Cholesterol in Small VLDL
S-LDL-P,0.94 [0.93-0.95],5.574e-19,***,Concentration of Small LDL Particles
M-LDL-P,0.94 [0.93-0.95],3.678e-19,***,Concentration of Medium LDL Particles
M-VLDL-FC,0.94 [0.93-0.95],1.287e-19,***,Free Cholesterol in Medium VLDL
S-LDL-CE,0.94 [0.93-0.95],1.275e-19,***,Cholesteryl Esters in Small LDL
VLDL-CE,0.94 [0.93-0.95],5.204e-20,***,Cholesteryl Esters in VLDL
XL-HDL-CE,0.94 [0.93-0.96],1.428e-14,***,Cholesteryl Esters in Very Large HDL
XL-HDL-C,0.94 [0.93-0.95],3.509e-15,***,Cholesterol in Very Large HDL
S-LDL-PL,0.94 [0.93-0.95],1.321e-20,***,Phospholipids in Small LDL
S-LDL-L,0.94 [0.93-0.95],1.040e-20,***,Total-Lipids in Small LDL
M-LDL-C,0.94 [0.93-0.95],9.846e-21,***,Cholesterol in Medium LDL
M-HDL-FC%,0.94 [0.93-0.95],8.683e-16,***,Free Cholesterol to Total-Lipids in Medium HDL percentage
XL-VLDL-FC%,0.94 [0.93-0.95],5.045e-19,***,Free Cholesterol to Total-Lipids in Very Large VLDL percentage
XL-VLDL-CE%,0.94 [0.93-0.95],5.140e-19,***,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
L-HDL-FC%,0.94 [0.93-0.95],1.738e-20,***,Free Cholesterol to Total-Lipids in Large HDL percentage
L-VLDL-CE%,0.94 [0.93-0.95],2.811e-20,***,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
S-LDL-C,0.94 [0.93-0.95],3.488e-23,***,Cholesterol in Small LDL
XL-VLDL-C%,0.94 [0.93-0.95],5.974e-20,***,Cholesterol to Total-Lipids in Very Large VLDL percentage
LDL-P,0.94 [0.93-0.95],8.153e-24,***,Concentration of LDL Particles
XS-VLDL-FC%,0.94 [0.93-0.95],3.113e-24,***,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
IDL-CE%,0.94 [0.93-0.95],2.269e-24,***,Cholesteryl Esters to Total-Lipids in IDL percentage
L-HDL-C%,0.94 [0.93-0.95],2.265e-21,***,Cholesterol to Total-Lipids in Large HDL percentage
SM,0.94 [0.93-0.95],5.027e-22,***,Sphingomyelins
L-LDL-P,0.94 [0.93-0.95],6.851e-25,***,Concentration of Large LDL Particles
S-VLDL-CE%,0.94 [0.93-0.95],1.254e-25,***,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
LDL-CE,0.94 [0.93-0.95],1.450e-25,***,Cholesteryl Esters in LDL
ApoB,0.94 [0.92-0.95],3.011e-26,***,Apolipoprotein B
S-LDL-C%,0.94 [0.92-0.95],2.427e-26,***,Cholesterol to Total-Lipids in Small LDL percentage
LDL-L,0.94 [0.92-0.95],1.747e-26,***,Total-Lipids in LDL
LDL-PL,0.93 [0.92-0.95],8.101e-27,***,Phospholipids in LDL
M-LDL-FC,0.93 [0.92-0.94],2.923e-27,***,Free Cholesterol in Medium LDL
S-LDL-FC,0.93 [0.92-0.94],5.829e-28,***,Free Cholesterol in Small LDL
XS-VLDL-C,0.93 [0.92-0.94],7.899e-27,***,Cholesterol in Very Small VLDL
L-LDL-CE,0.93 [0.92-0.94],4.438e-28,***,Cholesteryl Esters in Large LDL
LDL-C,0.93 [0.92-0.94],9.799e-29,***,LDL Cholesterol
L-LDL-L,0.93 [0.92-0.94],2.542e-29,***,Total-Lipids in Large LDL
Remnant-C,0.93 [0.92-0.94],6.445e-30,***,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
M-LDL-C%,0.93 [0.92-0.94],4.562e-31,***,Cholesterol to Total-Lipids in Medium LDL percentage
Non-HDL-C,0.93 [0.92-0.94],6.322e-31,***,Total-Cholesterol Minus HDL-C
L-LDL-PL,0.93 [0.92-0.94],1.312e-30,***,Phospholipids in Large LDL
IDL-P,0.93 [0.92-0.94],3.588e-31,***,Concentration of IDL Particles
M-VLDL-C,0.93 [0.92-0.94],1.760e-31,***,Cholesterol in Medium VLDL
L-LDL-C,0.93 [0.92-0.94],3.438e-31,***,Cholesterol in Large LDL
IDL-C%,0.93 [0.92-0.94],1.104e-31,***,Cholesterol to Total-Lipids in IDL percentage
L-LDL-FC%,0.93 [0.92-0.94],1.268e-29,***,Free Cholesterol to Total-Lipids in Large LDL percentage
XS-VLDL-CE,0.93 [0.92-0.94],1.214e-30,***,Cholesteryl Esters in Very Small VLDL
Total-FC,0.93 [0.92-0.94],4.301e-32,***,Total-Free Cholesterol
Clinical LDL-C,0.93 [0.92-0.94],2.912e-34,***,Clinical LDL Cholesterol
LDL-FC,0.93 [0.92-0.94],3.589e-34,***,Free Cholesterol in LDL
M-VLDL-CE%,0.93 [0.92-0.94],1.233e-33,***,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
Total-C,0.93 [0.92-0.94],7.777e-34,***,Total-Cholesterol
Total-CE,0.93 [0.92-0.94],1.449e-33,***,Total-Esterified Cholesterol
S-VLDL-C%,0.93 [0.91-0.94],8.047e-35,***,Cholesterol to Total-Lipids in Small VLDL percentage
IDL-PL,0.93 [0.91-0.94],2.732e-34,***,Phospholipids in IDL
L-LDL-FC,0.92 [0.91-0.93],1.629e-36,***,Free Cholesterol in Large LDL
IDL-L,0.92 [0.91-0.93],3.899e-36,***,Total-Lipids in IDL
M-VLDL-C%,0.92 [0.91-0.93],8.497e-36,***,Cholesterol to Total-Lipids in Medium VLDL percentage
M-VLDL-CE,0.92 [0.91-0.93],5.120e-38,***,Cholesteryl Esters in Medium VLDL
M-VLDL-FC%,0.92 [0.91-0.93],5.438e-37,***,Free Cholesterol to Total-Lipids in Medium VLDL percentage
L-LDL-C%,0.92 [0.91-0.93],4.302e-36,***,Cholesterol to Total-Lipids in Large LDL percentage
M-VLDL-PL%,0.92 [0.91-0.93],1.715e-38,***,Phospholipids to Total-Lipids in Medium VLDL percentage
IDL-FC,0.92 [0.91-0.93],3.801e-38,***,Free Cholesterol in IDL
IDL-CE,0.92 [0.91-0.93],2.943e-38,***,Cholesteryl Esters in IDL
IDL-C,0.92 [0.91-0.93],1.857e-39,***,Cholesterol in IDL
S-VLDL-PL%,0.92 [0.91-0.93],5.704e-38,***,Phospholipids to Total-Lipids in Small VLDL percentage
S-VLDL-FC%,0.92 [0.91-0.93],8.925e-41,***,Free Cholesterol to Total-Lipids in Small VLDL percentage
XS-VLDL-C%,0.92 [0.90-0.93],1.080e-43,***,Cholesterol to Total-Lipids in Very Small VLDL percentage
XS-VLDL-CE%,0.92 [0.90-0.93],1.178e-43,***,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
