Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
L-LDL-TG%,1.16 [1.15-1.18],1.114e-134,***,Triglycerides to Total-Lipids in Large LDL percentage
IDL-TG%,1.16 [1.15-1.18],1.191e-132,***,Triglycerides to Total-Lipids in IDL percentage
XS-VLDL-PL%,1.15 [1.14-1.17],9.234e-117,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
M-LDL-TG%,1.15 [1.14-1.17],1.155e-121,***,Triglycerides to Total-Lipids in Medium LDL percentage
XS-VLDL-TG%,1.13 [1.12-1.15],6.745e-85,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
S-VLDL-TG%,1.12 [1.11-1.14],1.739e-76,***,Triglycerides to Total-Lipids in Small VLDL percentage
IDL-PL%,1.12 [1.11-1.13],3.381e-80,***,Phospholipids to Total-Lipids in IDL percentage
M-VLDL-TG%,1.12 [1.10-1.13],2.393e-66,***,Triglycerides to Total-Lipids in Medium VLDL percentage
S-LDL-TG%,1.11 [1.10-1.13],1.157e-65,***,Triglycerides to Total-Lipids in Small LDL percentage
M-HDL-PL%,1.11 [1.10-1.13],8.165e-58,***,Phospholipids to Total-Lipids in Medium HDL percentage
GlycA,1.11 [1.09-1.12],2.848e-57,***,Glycoprotein Acetyls
MUFA%,1.10 [1.09-1.12],1.263e-49,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
L-HDL-PL%,1.09 [1.07-1.10],2.121e-36,***,Phospholipids to Total-Lipids in Large HDL percentage
XL-VLDL-TG%,1.07 [1.06-1.09],2.184e-26,***,Triglycerides to Total-Lipids in Very Large VLDL percentage
S-HDL-TG%,1.07 [1.06-1.08],1.873e-22,***,Triglycerides to Total-Lipids in Small HDL percentage
S-LDL-PL%,1.07 [1.06-1.08],1.493e-24,***,Phospholipids to Total-Lipids in Small LDL percentage
S-HDL-PL%,1.07 [1.05-1.08],2.778e-21,***,Phospholipids to Total-Lipids in Small HDL percentage
Omega-6/Omega-3,1.06 [1.04-1.07],4.162e-16,***,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
