Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
XS-VLDL-TG%,1.44 [1.31-1.58],1.830e-09,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
S-VLDL-TG%,1.40 [1.27-1.55],2.412e-06,***,Triglycerides to Total-Lipids in Small VLDL percentage
IDL-TG%,1.39 [1.28-1.52],4.195e-08,***,Triglycerides to Total-Lipids in IDL percentage
M-VLDL-TG%,1.37 [1.24-1.50],1.662e-05,***,Triglycerides to Total-Lipids in Medium VLDL percentage
L-LDL-TG%,1.34 [1.23-1.47],1.938e-05,***,Triglycerides to Total-Lipids in Large LDL percentage
M-LDL-TG%,1.32 [1.21-1.44],1.028e-04,***,Triglycerides to Total-Lipids in Medium LDL percentage
Creatinine,1.29 [1.18-1.40],5.204e-04,***,Creatinine
XS-VLDL-PL%,1.29 [1.17-1.41],0.013,*,Phospholipids to Total-Lipids in Very Small VLDL percentage
L-HDL-FC%,0.81 [0.75-0.87],0.009,**,Free Cholesterol to Total-Lipids in Large HDL percentage
M-VLDL-CE%,0.80 [0.74-0.86],3.791e-04,***,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
L-LDL-FC%,0.80 [0.73-0.87],0.038,*,Free Cholesterol to Total-Lipids in Large LDL percentage
S-VLDL-CE%,0.78 [0.72-0.85],0.002,**,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
S-HDL-C,0.78 [0.71-0.86],0.033,*,Cholesterol in Small HDL
S-HDL-L,0.78 [0.71-0.86],0.033,*,Total-Lipids in Small HDL
S-HDL-PL,0.78 [0.71-0.86],0.044,*,Phospholipids in Small HDL
M-LDL-C%,0.77 [0.72-0.84],3.285e-05,***,Cholesterol to Total-Lipids in Medium LDL percentage
M-VLDL-C%,0.77 [0.72-0.84],4.423e-05,***,Cholesterol to Total-Lipids in Medium VLDL percentage
HDL-PL,0.77 [0.70-0.85],0.026,*,Phospholipids in HDL
VLDL-PL,0.77 [0.70-0.85],0.035,*,Phospholipids in VLDL
M-HDL-FC,0.77 [0.70-0.85],0.027,*,Free Cholesterol in Medium HDL
S-HDL-P,0.77 [0.70-0.84],0.007,**,Concentration of Small HDL Particles
HDL-C,0.77 [0.70-0.85],0.021,*,HDL Cholesterol
HDL-L,0.77 [0.70-0.84],0.008,**,Total-Lipids in HDL
L-LDL-C%,0.76 [0.70-0.83],8.121e-05,***,Cholesterol to Total-Lipids in Large LDL percentage
S-LDL-CE%,0.76 [0.70-0.83],3.542e-04,***,Cholesteryl Esters to Total-Lipids in Small LDL percentage
ApoA1,0.76 [0.69-0.84],0.004,**,Apolipoprotein A1
M-HDL-FC%,0.76 [0.70-0.83],1.084e-04,***,Free Cholesterol to Total-Lipids in Medium HDL percentage
M-VLDL-FC%,0.75 [0.69-0.82],2.195e-06,***,Free Cholesterol to Total-Lipids in Medium VLDL percentage
IDL-C%,0.75 [0.69-0.81],3.349e-07,***,Cholesterol to Total-Lipids in IDL percentage
S-VLDL-C%,0.75 [0.69-0.82],4.499e-06,***,Cholesterol to Total-Lipids in Small VLDL percentage
S-HDL-FC,0.75 [0.68-0.82],2.712e-04,***,Free Cholesterol in Small HDL
M-VLDL-L,0.75 [0.68-0.82],4.054e-04,***,Total-Lipids in Medium VLDL
VLDL-P,0.75 [0.68-0.83],0.002,**,Concentration of VLDL Particles
S-LDL-C%,0.75 [0.69-0.81],1.894e-07,***,Cholesterol to Total-Lipids in Small LDL percentage
VLDL-FC,0.74 [0.68-0.82],6.082e-04,***,Free Cholesterol in VLDL
HDL-P,0.74 [0.67-0.82],1.563e-04,***,Concentration of HDL Particles
IDL-CE%,0.74 [0.68-0.80],4.006e-08,***,Cholesteryl Esters to Total-Lipids in IDL percentage
M-VLDL-PL%,0.73 [0.68-0.80],6.632e-09,***,Phospholipids to Total-Lipids in Medium VLDL percentage
HDL-FC,0.73 [0.66-0.81],4.100e-04,***,Free Cholesterol in HDL
S-VLDL-CE,0.73 [0.66-0.81],1.042e-04,***,Cholesteryl Esters in Small VLDL
S-VLDL-PL,0.73 [0.66-0.80],5.400e-05,***,Phospholipids in Small VLDL
SFA,0.73 [0.66-0.80],9.250e-06,***,Saturated Fatty Acids
S-VLDL-FC%,0.73 [0.67-0.79],7.048e-08,***,Free Cholesterol to Total-Lipids in Small VLDL percentage
Total-FA,0.72 [0.66-0.79],1.035e-06,***,Total-Fatty Acids
S-VLDL-PL%,0.72 [0.66-0.79],1.980e-07,***,Phospholipids to Total-Lipids in Small VLDL percentage
XS-VLDL-C%,0.72 [0.67-0.78],4.711e-10,***,Cholesterol to Total-Lipids in Very Small VLDL percentage
M-VLDL-P,0.72 [0.65-0.79],1.661e-05,***,Concentration of Medium VLDL Particles
S-VLDL-C,0.72 [0.65-0.79],4.840e-06,***,Cholesterol in Small VLDL
XS-VLDL-CE%,0.72 [0.66-0.78],9.335e-11,***,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
XS-VLDL-PL,0.71 [0.65-0.79],2.020e-06,***,Phospholipids in Very Small VLDL
M-VLDL-PL,0.71 [0.64-0.78],9.238e-07,***,Phospholipids in Medium VLDL
Total-P,0.71 [0.65-0.78],2.154e-07,***,Total-Concentration of Lipoprotein Particles
S-LDL-PL,0.71 [0.64-0.78],2.019e-07,***,Phospholipids in Small LDL
S-LDL-FC,0.71 [0.64-0.78],6.955e-08,***,Free Cholesterol in Small LDL
VLDL-C,0.71 [0.64-0.78],6.799e-08,***,VLDL Cholesterol
S-LDL-P,0.70 [0.64-0.77],2.038e-07,***,Concentration of Small LDL Particles
M-LDL-P,0.70 [0.64-0.77],2.098e-07,***,Concentration of Medium LDL Particles
Phosphoglyc,0.70 [0.64-0.76],2.380e-10,***,Phosphoglycerides
S-VLDL-FC,0.70 [0.63-0.77],8.985e-08,***,Free Cholesterol in Small VLDL
M-LDL-CE,0.70 [0.63-0.77],1.124e-08,***,Cholesteryl Esters in Medium LDL
M-LDL-L,0.70 [0.64-0.76],2.866e-09,***,Total-Lipids in Medium LDL
PUFA,0.70 [0.64-0.76],3.299e-10,***,Polyunsaturated Fatty Acids
M-LDL-PL,0.70 [0.63-0.76],1.393e-08,***,Phospholipids in Medium LDL
S-LDL-L,0.69 [0.63-0.76],8.419e-09,***,Total-Lipids in Small LDL
PC,0.69 [0.63-0.76],1.466e-10,***,Phosphatidylcholines
XS-VLDL-L,0.69 [0.63-0.76],9.925e-09,***,Total-Lipids in Very Small VLDL
M-VLDL-FC,0.69 [0.63-0.76],3.522e-08,***,Free Cholesterol in Medium VLDL
M-LDL-C,0.69 [0.63-0.76],1.187e-09,***,Cholesterol in Medium LDL
XS-VLDL-P,0.69 [0.62-0.76],1.843e-08,***,Concentration of Very Small VLDL Particles
LA,0.69 [0.63-0.75],1.302e-11,***,Linoleic Acid
Cholines,0.69 [0.63-0.75],6.539e-12,***,Total-Cholines
S-LDL-C,0.69 [0.62-0.75],1.235e-09,***,Cholesterol in Small LDL
S-LDL-CE,0.68 [0.62-0.75],2.772e-09,***,Cholesteryl Esters in Small LDL
VLDL-CE,0.68 [0.62-0.75],7.541e-10,***,Cholesteryl Esters in VLDL
XS-VLDL-FC,0.68 [0.62-0.75],5.278e-09,***,Free Cholesterol in Very Small VLDL
Omega-6,0.68 [0.63-0.75],8.644e-12,***,Omega-6 Fatty Acids
M-LDL-FC,0.68 [0.62-0.75],4.022e-10,***,Free Cholesterol in Medium LDL
LDL-P,0.68 [0.62-0.75],1.703e-09,***,Concentration of LDL Particles
LDL-L,0.68 [0.62-0.74],5.500e-13,***,Total-Lipids in LDL
LDL-CE,0.68 [0.62-0.74],1.820e-12,***,Cholesteryl Esters in LDL
ApoB,0.68 [0.62-0.74],1.456e-11,***,Apolipoprotein B
Total-L,0.68 [0.62-0.74],4.574e-14,***,Total-Lipids in Lipoprotein Particles
LDL-C,0.68 [0.62-0.74],3.279e-13,***,LDL Cholesterol
L-LDL-P,0.67 [0.61-0.74],8.754e-10,***,Concentration of Large LDL Particles
Clinical LDL-C,0.67 [0.62-0.73],6.620e-15,***,Clinical LDL Cholesterol
LDL-PL,0.67 [0.61-0.73],1.723e-12,***,Phospholipids in LDL
L-LDL-CE,0.67 [0.61-0.73],4.122e-13,***,Cholesteryl Esters in Large LDL
L-LDL-L,0.67 [0.61-0.73],4.200e-14,***,Total-Lipids in Large LDL
Total-PL,0.67 [0.61-0.73],9.850e-15,***,Total-Phospholipids in Lipoprotein Particles
SM,0.67 [0.61-0.73],3.877e-13,***,Sphingomyelins
L-LDL-C,0.66 [0.61-0.73],5.268e-14,***,Cholesterol in Large LDL
Non-HDL-C,0.66 [0.61-0.72],1.992e-15,***,Total-Cholesterol Minus HDL-C
M-VLDL-C,0.66 [0.60-0.73],9.082e-12,***,Cholesterol in Medium VLDL
LDL-FC,0.66 [0.61-0.73],3.697e-13,***,Free Cholesterol in LDL
Total-C,0.66 [0.60-0.71],1.749e-17,***,Total-Cholesterol
Total-CE,0.66 [0.60-0.71],2.566e-17,***,Total-Esterified Cholesterol
Remnant-C,0.65 [0.60-0.71],7.710e-16,***,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
M-VLDL-CE,0.65 [0.59-0.72],6.491e-13,***,Cholesteryl Esters in Medium VLDL
L-LDL-PL,0.65 [0.60-0.72],2.896e-14,***,Phospholipids in Large LDL
XS-VLDL-C,0.65 [0.59-0.72],2.648e-13,***,Cholesterol in Very Small VLDL
Total-FC,0.65 [0.60-0.71],1.832e-16,***,Total-Free Cholesterol
L-LDL-FC,0.65 [0.59-0.71],1.602e-14,***,Free Cholesterol in Large LDL
XS-VLDL-CE,0.64 [0.58-0.71],1.721e-14,***,Cholesteryl Esters in Very Small VLDL
IDL-L,0.64 [0.59-0.70],3.289e-18,***,Total-Lipids in IDL
IDL-FC,0.64 [0.58-0.70],7.376e-16,***,Free Cholesterol in IDL
IDL-P,0.64 [0.58-0.70],2.096e-14,***,Concentration of IDL Particles
IDL-C,0.63 [0.58-0.69],1.876e-18,***,Cholesterol in IDL
IDL-PL,0.63 [0.58-0.70],2.153e-16,***,Phospholipids in IDL
IDL-CE,0.63 [0.58-0.69],1.437e-18,***,Cholesteryl Esters in IDL
