Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-HDL-FC%,1.56 [1.37-1.78],4.477e-06,***,Free Cholesterol to Total-Lipids in Medium HDL percentage
XL-HDL-PL%,1.54 [1.31-1.81],0.035,*,Phospholipids to Total-Lipids in Very Large HDL percentage
L-HDL-L,1.52 [1.36-1.70],1.232e-07,***,Total-Lipids in Large HDL
HDL-size,1.51 [1.35-1.70],1.868e-07,***,Average Diameter for HDL Particles
L-HDL-PL,1.49 [1.34-1.67],3.901e-07,***,Phospholipids in Large HDL
L-HDL-C,1.49 [1.34-1.67],2.859e-07,***,Cholesterol in Large HDL
L-HDL-CE,1.48 [1.33-1.66],4.732e-07,***,Cholesteryl Esters in Large HDL
L-HDL-P,1.48 [1.33-1.64],6.982e-08,***,Concentration of Large HDL Particles
L-HDL-FC,1.47 [1.33-1.64],1.653e-07,***,Free Cholesterol in Large HDL
HDL-FC,1.46 [1.31-1.63],2.492e-06,***,Free Cholesterol in HDL
HDL-L,1.46 [1.30-1.64],3.926e-05,***,Total-Lipids in HDL
HDL-C,1.46 [1.30-1.64],2.483e-05,***,HDL Cholesterol
XL-HDL-L,1.45 [1.30-1.61],1.335e-06,***,Total-Lipids in Very Large HDL
XL-HDL-PL,1.45 [1.30-1.61],1.531e-06,***,Phospholipids in Very Large HDL
HDL-CE,1.44 [1.29-1.62],8.601e-05,***,Cholesteryl Esters in HDL
XL-HDL-CE,1.44 [1.30-1.60],2.074e-06,***,Cholesteryl Esters in Very Large HDL
XL-HDL-P,1.44 [1.30-1.59],6.734e-07,***,Concentration of Very Large HDL Particles
HDL-PL,1.43 [1.28-1.61],2.303e-04,***,Phospholipids in HDL
XL-HDL-C,1.43 [1.29-1.59],6.764e-06,***,Cholesterol in Very Large HDL
ApoA1,1.41 [1.25-1.58],0.001,**,Apolipoprotein A1
M-HDL-FC,1.39 [1.24-1.55],0.002,**,Free Cholesterol in Medium HDL
Cholines,1.38 [1.23-1.55],0.015,*,Total-Cholines
PC,1.37 [1.22-1.54],0.023,*,Phosphatidylcholines
M-HDL-C,1.36 [1.22-1.53],0.020,*,Cholesterol in Medium HDL
Phosphoglyc,1.36 [1.21-1.53],0.045,*,Phosphoglycerides
SM,1.36 [1.21-1.51],0.013,*,Sphingomyelins
M-HDL-P,1.36 [1.21-1.51],0.014,*,Concentration of Medium HDL Particles
XL-HDL-FC,1.36 [1.22-1.51],0.005,**,Free Cholesterol in Very Large HDL
M-HDL-CE,1.35 [1.21-1.51],0.048,*,Cholesteryl Esters in Medium HDL
Phe,0.95 [0.84-1.07],1.000,,Phenylalanine
M-LDL-PL%,0.86 [0.77-0.96],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
XL-HDL-C%,0.73 [0.64-0.83],0.303,,Cholesterol to Total-Lipids in Very Large HDL percentage
XL-HDL-FC%,0.62 [0.54-0.71],2.976e-07,***,Free Cholesterol to Total-Lipids in Very Large HDL percentage
Creatinine,0.56 [0.49-0.64],1.363e-12,***,Creatinine
