Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
XS-VLDL-PL%,1.75 [1.49-2.07],3.393e-06,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
IDL-PL%,1.72 [1.45-2.04],8.476e-05,***,Phospholipids to Total-Lipids in IDL percentage
L-LDL-TG%,1.66 [1.42-1.94],4.992e-05,***,Triglycerides to Total-Lipids in Large LDL percentage
M-LDL-TG%,1.59 [1.36-1.85],5.884e-04,***,Triglycerides to Total-Lipids in Medium LDL percentage
IDL-TG%,1.57 [1.34-1.84],0.005,**,Triglycerides to Total-Lipids in IDL percentage
M-LDL-C%,0.68 [0.59-0.78],0.005,**,Cholesterol to Total-Lipids in Medium LDL percentage
S-LDL-C%,0.66 [0.57-0.75],7.269e-04,***,Cholesterol to Total-Lipids in Small LDL percentage
Total-CE,0.65 [0.56-0.76],0.018,*,Total-Esterified Cholesterol
XL-HDL-CE%,0.65 [0.56-0.75],0.003,**,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
LDL-FC,0.64 [0.54-0.76],0.041,*,Free Cholesterol in LDL
IDL-C%,0.63 [0.55-0.72],4.953e-06,***,Cholesterol to Total-Lipids in IDL percentage
Total-P,0.62 [0.52-0.74],0.024,*,Total-Concentration of Lipoprotein Particles
IDL-CE%,0.60 [0.52-0.69],1.316e-07,***,Cholesteryl Esters to Total-Lipids in IDL percentage
L-LDL-C%,0.60 [0.52-0.69],5.463e-08,***,Cholesterol to Total-Lipids in Large LDL percentage
S-HDL-P,0.59 [0.50-0.71],8.756e-04,***,Concentration of Small HDL Particles
S-HDL-C,0.59 [0.50-0.70],2.248e-04,***,Cholesterol in Small HDL
S-HDL-CE,0.58 [0.49-0.69],1.096e-04,***,Cholesteryl Esters in Small HDL
