Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
IDL-PL%,1.35 [1.19-1.53],0.840,,Phospholipids to Total-Lipids in IDL percentage
L-LDL-TG%,1.34 [1.18-1.51],0.973,,Triglycerides to Total-Lipids in Large LDL percentage
MUFA,1.08 [0.95-1.23],1.000,,Monounsaturated Fatty Acids
Citrate,1.08 [0.95-1.22],1.000,,Citrate
HDL-FC,1.03 [0.90-1.17],1.000,,Free Cholesterol in HDL
L-VLDL-P,0.94 [0.82-1.08],1.000,,Concentration of Large VLDL Particles
ApoB/ApoA1,0.86 [0.75-0.98],1.000,,Apolipoprotein B to Apolipoprotein A1 ratio
IDL-C%,0.74 [0.66-0.83],0.028,*,Cholesterol to Total-Lipids in IDL percentage
IDL-CE%,0.74 [0.66-0.83],0.042,*,Cholesteryl Esters to Total-Lipids in IDL percentage
Val,0.73 [0.64-0.85],1.000,,Valine
