Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
XS-VLDL-TG%,1.66 [1.64-1.69],0.000e+00,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
IDL-TG%,1.65 [1.62-1.68],0.000e+00,***,Triglycerides to Total-Lipids in IDL percentage
S-VLDL-TG%,1.61 [1.58-1.64],0.000e+00,***,Triglycerides to Total-Lipids in Small VLDL percentage
L-LDL-TG%,1.60 [1.57-1.62],0.000e+00,***,Triglycerides to Total-Lipids in Large LDL percentage
M-VLDL-TG%,1.59 [1.56-1.62],0.000e+00,***,Triglycerides to Total-Lipids in Medium VLDL percentage
M-LDL-TG%,1.54 [1.52-1.57],0.000e+00,***,Triglycerides to Total-Lipids in Medium LDL percentage
XS-VLDL-PL%,1.48 [1.45-1.51],0.000e+00,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
XL-VLDL-TG%,1.47 [1.43-1.50],3.719e-241,***,Triglycerides to Total-Lipids in Very Large VLDL percentage
L-HDL-PL%,1.44 [1.42-1.46],0.000e+00,***,Phospholipids to Total-Lipids in Large HDL percentage
S-LDL-TG%,1.38 [1.35-1.40],4.105e-292,***,Triglycerides to Total-Lipids in Small LDL percentage
IDL-PL%,1.37 [1.35-1.39],2.385e-266,***,Phospholipids to Total-Lipids in IDL percentage
XXL-VLDL-PL%,1.29 [1.26-1.31],1.412e-130,***,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
S-LDL-PL%,1.27 [1.24-1.29],2.760e-145,***,Phospholipids to Total-Lipids in Small LDL percentage
L-VLDL-TG%,1.24 [1.22-1.27],1.766e-113,***,Triglycerides to Total-Lipids in Large VLDL percentage
M-HDL-PL%,1.24 [1.21-1.26],1.507e-119,***,Phospholipids to Total-Lipids in Medium HDL percentage
MUFA%,1.21 [1.19-1.24],7.292e-89,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
XL-HDL-FC%,1.18 [1.16-1.21],4.012e-72,***,Free Cholesterol to Total-Lipids in Very Large HDL percentage
Glu-lactate,1.18 [1.16-1.20],9.592e-80,***,Glucose-lactate
Sc-ala,1.18 [1.16-1.20],1.612e-73,***,Spectrometer-corrected alanine
M-LDL-PL%,1.18 [1.16-1.20],1.608e-63,***,Phospholipids to Total-Lipids in Medium LDL percentage
Glu,1.16 [1.14-1.18],1.133e-55,***,Glucose
S-HDL-TG%,1.15 [1.13-1.17],9.397e-47,***,Triglycerides to Total-Lipids in Small HDL percentage
XL-HDL-TG%,1.15 [1.13-1.17],6.864e-48,***,Triglycerides to Total-Lipids in Very Large HDL percentage
Ala,1.14 [1.12-1.16],3.046e-41,***,Alanine
L-HDL-TG%,1.13 [1.11-1.15],1.542e-35,***,Triglycerides to Total-Lipids in Large HDL percentage
S-HDL-PL%,1.11 [1.10-1.14],2.728e-27,***,Phospholipids to Total-Lipids in Small HDL percentage
TG/PG,1.11 [1.09-1.13],1.779e-23,***,Triglycerides to Phosphoglycerides ratio
Creatinine,1.09 [1.08-1.11],2.235e-20,***,Creatinine
