Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
XL-VLDL-TG%,2.70 [2.44-2.98],5.605e-81,***,Triglycerides to Total-Lipids in Very Large VLDL percentage
XS-VLDL-TG%,2.66 [2.50-2.84],4.278e-188,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
M-VLDL-TG%,2.59 [2.42-2.78],2.264e-150,***,Triglycerides to Total-Lipids in Medium VLDL percentage
S-VLDL-TG%,2.56 [2.38-2.76],2.656e-134,***,Triglycerides to Total-Lipids in Small VLDL percentage
IDL-TG%,2.33 [2.20-2.47],1.923e-170,***,Triglycerides to Total-Lipids in IDL percentage
L-LDL-TG%,2.11 [1.99-2.23],8.246e-136,***,Triglycerides to Total-Lipids in Large LDL percentage
M-LDL-TG%,1.97 [1.86-2.09],4.773e-118,***,Triglycerides to Total-Lipids in Medium LDL percentage
L-HDL-PL%,1.96 [1.85-2.07],1.776e-122,***,Phospholipids to Total-Lipids in Large HDL percentage
XS-VLDL-PL%,1.94 [1.83-2.07],6.016e-94,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
S-LDL-TG%,1.74 [1.64-1.84],1.006e-69,***,Triglycerides to Total-Lipids in Small LDL percentage
L-VLDL-TG%,1.64 [1.53-1.76],4.717e-39,***,Triglycerides to Total-Lipids in Large VLDL percentage
IDL-PL%,1.64 [1.54-1.75],5.197e-48,***,Phospholipids to Total-Lipids in IDL percentage
XL-HDL-FC%,1.60 [1.50-1.70],1.838e-45,***,Free Cholesterol to Total-Lipids in Very Large HDL percentage
XXL-VLDL-PL%,1.53 [1.43-1.64],4.058e-28,***,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
M-HDL-PL%,1.50 [1.41-1.59],1.991e-34,***,Phospholipids to Total-Lipids in Medium HDL percentage
MUFA%,1.49 [1.40-1.59],4.719e-27,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
XL-HDL-TG%,1.47 [1.38-1.57],2.153e-28,***,Triglycerides to Total-Lipids in Very Large HDL percentage
S-LDL-PL%,1.42 [1.33-1.51],4.207e-22,***,Phospholipids to Total-Lipids in Small LDL percentage
L-HDL-TG%,1.40 [1.31-1.49],2.571e-19,***,Triglycerides to Total-Lipids in Large HDL percentage
S-HDL-TG%,1.39 [1.30-1.48],7.581e-17,***,Triglycerides to Total-Lipids in Small HDL percentage
Creatinine,1.39 [1.31-1.47],4.362e-25,***,Creatinine
TG/PG,1.37 [1.29-1.46],2.183e-17,***,Triglycerides to Phosphoglycerides ratio
M-LDL-PL%,1.36 [1.28-1.46],1.671e-14,***,Phospholipids to Total-Lipids in Medium LDL percentage
Sc-ala,1.31 [1.24-1.40],2.732e-13,***,Spectrometer-corrected alanine
Ala,1.27 [1.19-1.35],1.375e-08,***,Alanine
VLDL-size,1.24 [1.16-1.33],1.684e-05,***,Average Diameter for VLDL Particles
Omega-3%,1.23 [1.15-1.31],4.103e-05,***,Omega-3 Fatty Acids to Total-Fatty Acids percentage
M-HDL-TG%,1.22 [1.14-1.31],6.301e-04,***,Triglycerides to Total-Lipids in Medium HDL percentage
Leu,1.21 [1.14-1.29],2.659e-05,***,Leucine
Total-BCAA,1.20 [1.13-1.28],6.431e-04,***,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
Val,1.19 [1.11-1.26],0.016,*,Valine
XL-HDL-C%,1.18 [1.11-1.25],0.023,*,Cholesterol to Total-Lipids in Very Large HDL percentage
DHA,0.83 [0.78-0.88],0.004,**,Docosahexaenoic Acid
PUFA%,0.82 [0.77-0.87],1.990e-05,***,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
S-HDL-C%,0.81 [0.76-0.86],5.842e-06,***,Cholesterol to Total-Lipids in Small HDL percentage
MUFA,0.81 [0.76-0.86],7.784e-05,***,Monounsaturated Fatty Acids
S-HDL-PL,0.80 [0.76-0.86],4.714e-06,***,Phospholipids in Small HDL
L-VLDL-FC%,0.80 [0.75-0.85],1.155e-06,***,Free Cholesterol to Total-Lipids in Large VLDL percentage
S-HDL-L,0.80 [0.75-0.85],2.796e-07,***,Total-Lipids in Small HDL
XXL-VLDL-C%,0.79 [0.74-0.85],1.038e-05,***,Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
XL-HDL-CE%,0.79 [0.74-0.83],2.873e-10,***,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
S-HDL-CE,0.78 [0.73-0.83],3.084e-09,***,Cholesteryl Esters in Small HDL
L-HDL-TG,0.77 [0.71-0.82],1.420e-08,***,Triglycerides in Large HDL
XL-HDL-TG,0.76 [0.71-0.81],1.075e-09,***,Triglycerides in Very Large HDL
Gly,0.76 [0.71-0.81],2.640e-09,***,Glycine
Omega-6%,0.76 [0.71-0.80],1.026e-14,***,Omega-6 Fatty Acids to Total-Fatty Acids percentage
S-LDL-FC%,0.76 [0.72-0.80],1.269e-20,***,Free Cholesterol to Total-Lipids in Small LDL percentage
M-HDL-C%,0.76 [0.71-0.80],6.059e-15,***,Cholesterol to Total-Lipids in Medium HDL percentage
Omega-6/Omega-3,0.75 [0.71-0.80],7.233e-12,***,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
XL-HDL-PL%,0.75 [0.71-0.79],7.855e-24,***,Phospholipids to Total-Lipids in Very Large HDL percentage
M-HDL-PL,0.75 [0.70-0.80],3.817e-13,***,Phospholipids in Medium HDL
S-HDL-C,0.75 [0.70-0.79],2.199e-14,***,Cholesterol in Small HDL
L-VLDL-C,0.74 [0.69-0.80],6.529e-12,***,Cholesterol in Large VLDL
XXL-VLDL-CE%,0.74 [0.69-0.79],4.452e-14,***,Cholesteryl Esters to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
S-HDL-P,0.74 [0.69-0.78],1.625e-15,***,Concentration of Small HDL Particles
S-VLDL-P,0.73 [0.68-0.79],3.379e-13,***,Concentration of Small VLDL Particles
PUFA/MUFA,0.73 [0.68-0.78],2.793e-16,***,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
LDL-size,0.73 [0.69-0.77],3.201e-21,***,Average Diameter for LDL Particles
VLDL-L,0.72 [0.68-0.77],1.403e-16,***,Total-Lipids in VLDL
XL-VLDL-C,0.72 [0.67-0.77],1.313e-14,***,Cholesterol in Very Large VLDL
M-HDL-L,0.72 [0.67-0.77],6.505e-18,***,Total-Lipids in Medium HDL
M-HDL-CE,0.71 [0.66-0.76],5.514e-19,***,Cholesteryl Esters in Medium HDL
M-LDL-CE%,0.71 [0.66-0.75],6.920e-23,***,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
M-HDL-C,0.69 [0.65-0.74],2.767e-22,***,Cholesterol in Medium HDL
M-LDL-FC%,0.69 [0.65-0.73],1.670e-35,***,Free Cholesterol to Total-Lipids in Medium LDL percentage
S-HDL-FC,0.68 [0.64-0.73],2.458e-26,***,Free Cholesterol in Small HDL
L-HDL-CE%,0.68 [0.65-0.71],8.425e-52,***,Cholesteryl Esters to Total-Lipids in Large HDL percentage
S-VLDL-L,0.68 [0.63-0.73],9.525e-24,***,Total-Lipids in Small VLDL
M-HDL-P,0.67 [0.63-0.72],9.615e-24,***,Concentration of Medium HDL Particles
XL-VLDL-PL%,0.65 [0.62-0.68],8.306e-70,***,Phospholipids to Total-Lipids in Very Large VLDL percentage
SFA,0.64 [0.60-0.68],1.166e-35,***,Saturated Fatty Acids
L-VLDL-CE,0.64 [0.60-0.69],1.685e-29,***,Cholesteryl Esters in Large VLDL
VLDL-PL,0.64 [0.60-0.68],7.652e-32,***,Phospholipids in VLDL
IDL-FC%,0.64 [0.60-0.67],1.125e-52,***,Free Cholesterol to Total-Lipids in IDL percentage
HDL-PL,0.63 [0.59-0.68],1.012e-34,***,Phospholipids in HDL
S-LDL-CE%,0.63 [0.60-0.67],3.087e-45,***,Cholesteryl Esters to Total-Lipids in Small LDL percentage
XL-VLDL-CE,0.63 [0.59-0.68],3.971e-31,***,Cholesteryl Esters in Very Large VLDL
Total-FA,0.63 [0.59-0.67],1.488e-42,***,Total-Fatty Acids
M-HDL-FC,0.63 [0.58-0.67],4.279e-34,***,Free Cholesterol in Medium HDL
L-HDL-C%,0.63 [0.60-0.65],2.219e-81,***,Cholesterol to Total-Lipids in Large HDL percentage
ApoA1,0.62 [0.58-0.67],7.321e-39,***,Apolipoprotein A1
HDL-P,0.61 [0.57-0.66],6.411e-41,***,Concentration of HDL Particles
HDL-L,0.60 [0.56-0.64],2.290e-45,***,Total-Lipids in HDL
M-VLDL-CE%,0.59 [0.57-0.61],3.539e-151,***,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
ApoB/ApoA1,0.59 [0.55-0.63],1.378e-45,***,Apolipoprotein B to Apolipoprotein A1 ratio
XS-VLDL-FC%,0.59 [0.56-0.62],5.000e-99,***,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
M-VLDL-L,0.58 [0.54-0.62],6.770e-50,***,Total-Lipids in Medium VLDL
VLDL-P,0.57 [0.53-0.61],2.872e-46,***,Concentration of VLDL Particles
VLDL-FC,0.57 [0.53-0.61],4.734e-50,***,Free Cholesterol in VLDL
HDL-CE,0.57 [0.53-0.61],2.258e-49,***,Cholesteryl Esters in HDL
L-HDL-PL,0.57 [0.52-0.61],2.685e-39,***,Phospholipids in Large HDL
L-HDL-FC%,0.57 [0.54-0.59],5.823e-152,***,Free Cholesterol to Total-Lipids in Large HDL percentage
S-HDL-FC%,0.56 [0.52-0.60],1.741e-55,***,Free Cholesterol to Total-Lipids in Small HDL percentage
HDL-size,0.56 [0.51-0.61],3.466e-40,***,Average Diameter for HDL Particles
L-VLDL-C%,0.56 [0.52-0.59],9.168e-67,***,Cholesterol to Total-Lipids in Large VLDL percentage
Total-P,0.55 [0.52-0.59],2.947e-62,***,Total-Concentration of Lipoprotein Particles
HDL-C,0.55 [0.51-0.59],3.367e-55,***,HDL Cholesterol
M-HDL-FC%,0.55 [0.52-0.58],1.080e-104,***,Free Cholesterol to Total-Lipids in Medium HDL percentage
S-VLDL-CE%,0.55 [0.52-0.58],2.949e-106,***,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
M-LDL-C%,0.54 [0.52-0.57],2.049e-143,***,Cholesterol to Total-Lipids in Medium LDL percentage
Phosphoglyc,0.54 [0.51-0.57],5.344e-85,***,Phosphoglycerides
L-LDL-C%,0.54 [0.51-0.56],1.443e-122,***,Cholesterol to Total-Lipids in Large LDL percentage
LA%,0.53 [0.50-0.56],1.093e-98,***,Linoleic Acid to Total-Fatty Acids percentage
S-VLDL-PL,0.53 [0.49-0.57],1.095e-61,***,Phospholipids in Small VLDL
S-LDL-C%,0.53 [0.50-0.55],1.333e-133,***,Cholesterol to Total-Lipids in Small LDL percentage
PUFA,0.52 [0.49-0.56],1.506e-88,***,Polyunsaturated Fatty Acids
L-VLDL-CE%,0.52 [0.49-0.56],1.605e-84,***,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
XL-VLDL-CE%,0.52 [0.49-0.56],2.577e-70,***,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
M-VLDL-C%,0.52 [0.50-0.55],2.663e-163,***,Cholesterol to Total-Lipids in Medium VLDL percentage
S-VLDL-CE,0.52 [0.49-0.56],2.564e-62,***,Cholesteryl Esters in Small VLDL
L-HDL-L,0.52 [0.48-0.57],3.746e-51,***,Total-Lipids in Large HDL
L-LDL-FC%,0.52 [0.50-0.55],1.265e-137,***,Free Cholesterol to Total-Lipids in Large LDL percentage
PC,0.51 [0.48-0.55],1.431e-95,***,Phosphatidylcholines
IDL-CE%,0.51 [0.48-0.53],5.477e-150,***,Cholesteryl Esters to Total-Lipids in IDL percentage
IDL-C%,0.51 [0.48-0.53],3.577e-164,***,Cholesterol to Total-Lipids in IDL percentage
Cholines,0.50 [0.47-0.53],2.067e-108,***,Total-Cholines
HDL-FC,0.50 [0.46-0.54],1.373e-66,***,Free Cholesterol in HDL
M-VLDL-P,0.49 [0.46-0.53],8.349e-70,***,Concentration of Medium VLDL Particles
M-LDL-L,0.49 [0.46-0.53],5.449e-94,***,Total-Lipids in Medium LDL
S-VLDL-C%,0.49 [0.47-0.52],1.105e-142,***,Cholesterol to Total-Lipids in Small VLDL percentage
S-VLDL-C,0.49 [0.46-0.53],9.916e-76,***,Cholesterol in Small VLDL
M-LDL-CE,0.49 [0.46-0.52],5.991e-89,***,Cholesteryl Esters in Medium LDL
M-LDL-PL,0.49 [0.46-0.52],9.601e-87,***,Phospholipids in Medium LDL
M-VLDL-FC%,0.49 [0.46-0.51],1.032e-170,***,Free Cholesterol to Total-Lipids in Medium VLDL percentage
XL-VLDL-C%,0.49 [0.45-0.52],1.862e-76,***,Cholesterol to Total-Lipids in Very Large VLDL percentage
XS-VLDL-PL,0.49 [0.45-0.52],3.106e-77,***,Phospholipids in Very Small VLDL
L-HDL-CE,0.48 [0.44-0.53],1.351e-53,***,Cholesteryl Esters in Large HDL
VLDL-C,0.48 [0.45-0.52],4.890e-91,***,VLDL Cholesterol
Total-L,0.48 [0.46-0.51],2.008e-127,***,Total-Lipids in Lipoprotein Particles
Omega-6,0.48 [0.45-0.51],1.275e-114,***,Omega-6 Fatty Acids
M-VLDL-PL,0.48 [0.45-0.52],7.915e-82,***,Phospholipids in Medium VLDL
S-LDL-PL,0.48 [0.45-0.51],1.389e-90,***,Phospholipids in Small LDL
L-HDL-C,0.48 [0.44-0.52],9.135e-57,***,Cholesterol in Large HDL
M-LDL-C,0.48 [0.44-0.51],1.672e-101,***,Cholesterol in Medium LDL
M-VLDL-PL%,0.47 [0.45-0.50],1.965e-192,***,Phospholipids to Total-Lipids in Medium VLDL percentage
Total-PL,0.47 [0.44-0.50],2.875e-129,***,Total-Phospholipids in Lipoprotein Particles
S-LDL-L,0.47 [0.44-0.50],2.228e-97,***,Total-Lipids in Small LDL
L-HDL-P,0.46 [0.42-0.51],3.058e-53,***,Concentration of Large HDL Particles
XL-VLDL-FC%,0.46 [0.43-0.50],1.241e-88,***,Free Cholesterol to Total-Lipids in Very Large VLDL percentage
S-VLDL-FC%,0.46 [0.44-0.49],2.115e-168,***,Free Cholesterol to Total-Lipids in Small VLDL percentage
LDL-L,0.46 [0.43-0.49],3.212e-134,***,Total-Lipids in LDL
LDL-CE,0.46 [0.43-0.49],5.198e-127,***,Cholesteryl Esters in LDL
S-LDL-CE,0.46 [0.43-0.49],3.029e-97,***,Cholesteryl Esters in Small LDL
S-LDL-FC,0.45 [0.42-0.48],4.767e-111,***,Free Cholesterol in Small LDL
XS-VLDL-CE%,0.45 [0.43-0.47],1.193e-217,***,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
LA,0.45 [0.43-0.48],2.201e-138,***,Linoleic Acid
XS-VLDL-C%,0.45 [0.43-0.47],3.803e-211,***,Cholesterol to Total-Lipids in Very Small VLDL percentage
XS-VLDL-L,0.45 [0.42-0.48],7.035e-101,***,Total-Lipids in Very Small VLDL
LDL-C,0.45 [0.42-0.48],2.734e-140,***,LDL Cholesterol
L-HDL-FC,0.45 [0.41-0.49],1.221e-59,***,Free Cholesterol in Large HDL
M-LDL-P,0.45 [0.42-0.48],1.754e-94,***,Concentration of Medium LDL Particles
S-VLDL-FC,0.45 [0.42-0.48],1.960e-94,***,Free Cholesterol in Small VLDL
S-LDL-C,0.45 [0.42-0.48],2.505e-107,***,Cholesterol in Small LDL
XL-HDL-PL,0.45 [0.41-0.49],1.310e-59,***,Phospholipids in Very Large HDL
S-LDL-P,0.45 [0.41-0.48],6.596e-96,***,Concentration of Small LDL Particles
S-VLDL-PL%,0.44 [0.41-0.47],1.781e-156,***,Phospholipids to Total-Lipids in Small VLDL percentage
L-LDL-CE,0.44 [0.41-0.47],9.491e-136,***,Cholesteryl Esters in Large LDL
L-LDL-L,0.44 [0.41-0.46],4.959e-148,***,Total-Lipids in Large LDL
SM,0.43 [0.41-0.46],3.179e-135,***,Sphingomyelins
M-LDL-FC,0.43 [0.40-0.46],8.476e-118,***,Free Cholesterol in Medium LDL
Clinical LDL-C,0.43 [0.41-0.46],3.504e-169,***,Clinical LDL Cholesterol
M-VLDL-FC,0.43 [0.40-0.47],8.866e-101,***,Free Cholesterol in Medium VLDL
LDL-PL,0.43 [0.40-0.46],1.068e-131,***,Phospholipids in LDL
VLDL-CE,0.43 [0.40-0.46],1.774e-115,***,Cholesteryl Esters in VLDL
XS-VLDL-P,0.43 [0.40-0.46],7.286e-101,***,Concentration of Very Small VLDL Particles
Non-HDL-C,0.43 [0.40-0.46],3.074e-166,***,Total-Cholesterol Minus HDL-C
L-LDL-C,0.43 [0.40-0.45],2.938e-150,***,Cholesterol in Large LDL
Total-C,0.42 [0.40-0.45],4.390e-186,***,Total-Cholesterol
ApoB,0.42 [0.39-0.45],1.404e-133,***,Apolipoprotein B
Total-CE,0.42 [0.40-0.45],1.128e-183,***,Total-Esterified Cholesterol
LDL-P,0.41 [0.38-0.44],3.988e-113,***,Concentration of LDL Particles
XS-VLDL-FC,0.41 [0.38-0.44],1.931e-112,***,Free Cholesterol in Very Small VLDL
XL-HDL-FC,0.41 [0.37-0.44],2.287e-93,***,Free Cholesterol in Very Large HDL
XL-HDL-L,0.40 [0.37-0.44],1.902e-75,***,Total-Lipids in Very Large HDL
L-LDL-P,0.40 [0.37-0.44],4.127e-115,***,Concentration of Large LDL Particles
Total-FC,0.40 [0.38-0.43],2.479e-175,***,Total-Free Cholesterol
LDL-FC,0.40 [0.37-0.43],2.017e-154,***,Free Cholesterol in LDL
Remnant-C,0.40 [0.37-0.42],2.417e-174,***,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
L-LDL-PL,0.40 [0.37-0.42],8.394e-153,***,Phospholipids in Large LDL
L-LDL-FC,0.37 [0.35-0.40],4.119e-168,***,Free Cholesterol in Large LDL
M-VLDL-C,0.37 [0.34-0.40],1.485e-147,***,Cholesterol in Medium VLDL
