Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
L-LDL-TG%,1.32 [1.12-1.55],1.000,,Triglycerides to Total-Lipids in Large LDL percentage
M-LDL-TG%,1.30 [1.11-1.53],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
L-VLDL-TG%,1.26 [1.06-1.51],1.000,,Triglycerides to Total-Lipids in Large VLDL percentage
L-HDL-PL%,1.23 [1.03-1.45],1.000,,Phospholipids to Total-Lipids in Large HDL percentage
L-HDL-TG%,1.07 [0.90-1.27],1.000,,Triglycerides to Total-Lipids in Large HDL percentage
HDL-C,0.87 [0.73-1.03],1.000,,HDL Cholesterol
M-LDL-FC%,0.86 [0.73-1.01],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
ApoB,0.73 [0.61-0.86],1.000,,Apolipoprotein B
LDL-C,0.71 [0.60-0.84],1.000,,LDL Cholesterol
Clinical LDL-C,0.70 [0.59-0.82],1.000,,Clinical LDL Cholesterol
