Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-LDL-TG%,1.23 [1.03-1.46],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
M-HDL-TG%,1.18 [0.98-1.43],1.000,,Triglycerides to Total-Lipids in Medium HDL percentage
MUFA%,1.10 [0.91-1.33],1.000,,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
Ala,1.05 [0.88-1.27],1.000,,Alanine
ApoA1,1.00 [0.84-1.20],1.000,,Apolipoprotein A1
Remnant-C,0.93 [0.78-1.10],1.000,,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
M-LDL-FC%,0.90 [0.75-1.07],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
Total-C,0.89 [0.75-1.06],1.000,,Total-Cholesterol
Non-HDL-C,0.89 [0.75-1.05],1.000,,Total-Cholesterol Minus HDL-C
LDL-C,0.86 [0.72-1.02],1.000,,LDL Cholesterol
