Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
XL-HDL-FC%,1.62 [1.47-1.79],5.829e-16,***,Free Cholesterol to Total-Lipids in Very Large HDL percentage
Creatinine,1.62 [1.48-1.77],7.459e-21,***,Creatinine
M-VLDL-TG%,1.49 [1.34-1.65],6.127e-08,***,Triglycerides to Total-Lipids in Medium VLDL percentage
TG/PG,1.44 [1.30-1.60],2.174e-06,***,Triglycerides to Phosphoglycerides ratio
M-HDL-PL%,1.42 [1.29-1.58],1.788e-06,***,Phospholipids to Total-Lipids in Medium HDL percentage
XS-VLDL-TG%,1.40 [1.26-1.56],4.121e-05,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
VLDL-size,1.40 [1.26-1.56],2.203e-04,***,Average Diameter for VLDL Particles
XL-VLDL-TG%,1.39 [1.23-1.57],0.024,*,Triglycerides to Total-Lipids in Very Large VLDL percentage
L-HDL-PL%,1.37 [1.24-1.52],2.491e-04,***,Phospholipids to Total-Lipids in Large HDL percentage
XS-VLDL-PL%,1.35 [1.22-1.50],0.002,**,Phospholipids to Total-Lipids in Very Small VLDL percentage
S-VLDL-TG%,1.34 [1.20-1.49],0.025,*,Triglycerides to Total-Lipids in Small VLDL percentage
IDL-TG%,1.32 [1.19-1.46],0.027,*,Triglycerides to Total-Lipids in IDL percentage
XL-HDL-C%,1.31 [1.19-1.45],0.014,*,Cholesterol to Total-Lipids in Very Large HDL percentage
IDL-C%,0.77 [0.70-0.85],0.034,*,Cholesterol to Total-Lipids in IDL percentage
Clinical LDL-C,0.77 [0.70-0.85],0.033,*,Clinical LDL Cholesterol
XL-HDL-PL%,0.77 [0.71-0.84],4.067e-04,***,Phospholipids to Total-Lipids in Very Large HDL percentage
Non-HDL-C,0.76 [0.69-0.84],0.016,*,Total-Cholesterol Minus HDL-C
L-HDL-CE%,0.76 [0.69-0.84],0.002,**,Cholesteryl Esters to Total-Lipids in Large HDL percentage
M-VLDL-CE%,0.76 [0.70-0.83],2.170e-05,***,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
L-LDL-CE,0.76 [0.69-0.84],0.026,*,Cholesteryl Esters in Large LDL
L-VLDL-C%,0.76 [0.69-0.84],0.024,*,Cholesterol to Total-Lipids in Large VLDL percentage
M-HDL-C%,0.75 [0.68-0.83],0.008,**,Cholesterol to Total-Lipids in Medium HDL percentage
LA,0.75 [0.68-0.83],0.007,**,Linoleic Acid
L-LDL-L,0.75 [0.68-0.83],0.005,**,Total-Lipids in Large LDL
L-LDL-FC%,0.75 [0.68-0.83],0.002,**,Free Cholesterol to Total-Lipids in Large LDL percentage
LDL-FC,0.75 [0.68-0.83],0.009,**,Free Cholesterol in LDL
L-LDL-C,0.75 [0.68-0.83],0.004,**,Cholesterol in Large LDL
Remnant-C,0.75 [0.67-0.82],0.002,**,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
L-LDL-PL,0.74 [0.67-0.83],0.004,**,Phospholipids in Large LDL
XL-VLDL-C%,0.74 [0.67-0.83],0.024,*,Cholesterol to Total-Lipids in Very Large VLDL percentage
