Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
XL-VLDL-TG%,3.12 [2.90-3.34],1.066e-213,***,Triglycerides to Total-Lipids in Very Large VLDL percentage
M-VLDL-TG%,3.04 [2.89-3.20],0.000e+00,***,Triglycerides to Total-Lipids in Medium VLDL percentage
S-VLDL-TG%,2.94 [2.79-3.10],0.000e+00,***,Triglycerides to Total-Lipids in Small VLDL percentage
XS-VLDL-TG%,2.92 [2.79-3.05],0.000e+00,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
IDL-TG%,2.56 [2.46-2.67],0.000e+00,***,Triglycerides to Total-Lipids in IDL percentage
L-LDL-TG%,2.29 [2.20-2.38],0.000e+00,***,Triglycerides to Total-Lipids in Large LDL percentage
XS-VLDL-PL%,2.13 [2.04-2.22],8.893e-257,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
M-LDL-TG%,2.10 [2.01-2.18],5.781e-295,***,Triglycerides to Total-Lipids in Medium LDL percentage
L-HDL-PL%,2.07 [2.00-2.15],0.000e+00,***,Phospholipids to Total-Lipids in Large HDL percentage
IDL-PL%,1.87 [1.79-1.95],4.749e-161,***,Phospholipids to Total-Lipids in IDL percentage
XL-HDL-FC%,1.86 [1.78-1.94],1.141e-181,***,Free Cholesterol to Total-Lipids in Very Large HDL percentage
S-LDL-PL%,1.82 [1.74-1.90],9.487e-164,***,Phospholipids to Total-Lipids in Small LDL percentage
L-VLDL-TG%,1.76 [1.68-1.84],4.607e-112,***,Triglycerides to Total-Lipids in Large VLDL percentage
S-LDL-TG%,1.72 [1.65-1.79],1.732e-142,***,Triglycerides to Total-Lipids in Small LDL percentage
M-LDL-PL%,1.70 [1.62-1.78],2.504e-99,***,Phospholipids to Total-Lipids in Medium LDL percentage
Creatinine,1.63 [1.57-1.69],1.366e-142,***,Creatinine
M-HDL-PL%,1.61 [1.55-1.68],1.557e-109,***,Phospholipids to Total-Lipids in Medium HDL percentage
XXL-VLDL-PL%,1.61 [1.53-1.68],2.477e-79,***,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
MUFA%,1.37 [1.31-1.44],6.374e-37,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
Leu,1.36 [1.31-1.42],1.540e-49,***,Leucine
L-HDL-TG%,1.35 [1.29-1.41],2.255e-34,***,Triglycerides to Total-Lipids in Large HDL percentage
