Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
L-VLDL-FC%,1.29 [1.10-1.52],1.000,,Free Cholesterol to Total-Lipids in Large VLDL percentage
L-VLDL-PL%,1.25 [1.03-1.50],1.000,,Phospholipids to Total-Lipids in Large VLDL percentage
L-VLDL-CE%,1.04 [0.88-1.22],1.000,,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
M-HDL-CE%,1.02 [0.87-1.20],1.000,,Cholesteryl Esters to Total-Lipids in Medium HDL percentage
M-LDL-FC%,1.02 [0.87-1.20],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
M-LDL-TG%,0.96 [0.82-1.13],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
Lactate,0.96 [0.81-1.12],1.000,,Lactate
Pyruvate,0.95 [0.81-1.11],1.000,,Pyruvate
Glu,0.94 [0.80-1.10],1.000,,Glucose
Citrate,0.73 [0.61-0.86],1.000,,Citrate
