Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
IDL-TG%,1.14 [1.13-1.15],5.252e-128,***,Triglycerides to Total-Lipids in IDL percentage
MUFA%,1.14 [1.13-1.15],1.595e-111,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
L-LDL-TG%,1.14 [1.12-1.15],2.077e-117,***,Triglycerides to Total-Lipids in Large LDL percentage
XS-VLDL-TG%,1.13 [1.12-1.14],2.662e-105,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
XS-VLDL-PL%,1.12 [1.11-1.14],6.249e-98,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
M-LDL-TG%,1.12 [1.11-1.13],2.823e-98,***,Triglycerides to Total-Lipids in Medium LDL percentage
M-VLDL-TG%,1.12 [1.11-1.13],1.977e-88,***,Triglycerides to Total-Lipids in Medium VLDL percentage
M-HDL-PL%,1.12 [1.10-1.13],3.971e-83,***,Phospholipids to Total-Lipids in Medium HDL percentage
S-LDL-TG%,1.11 [1.10-1.12],6.532e-82,***,Triglycerides to Total-Lipids in Small LDL percentage
GlycA,1.11 [1.10-1.12],1.578e-74,***,Glycoprotein Acetyls
S-VLDL-TG%,1.11 [1.10-1.12],4.686e-76,***,Triglycerides to Total-Lipids in Small VLDL percentage
S-HDL-TG%,1.11 [1.10-1.12],1.108e-69,***,Triglycerides to Total-Lipids in Small HDL percentage
L-HDL-PL%,1.10 [1.09-1.11],1.595e-59,***,Phospholipids to Total-Lipids in Large HDL percentage
TG/PG,1.10 [1.09-1.11],6.421e-58,***,Triglycerides to Phosphoglycerides ratio
XL-VLDL-TG%,1.10 [1.08-1.11],5.631e-52,***,Triglycerides to Total-Lipids in Very Large VLDL percentage
L-HDL-TG%,1.09 [1.08-1.10],2.452e-52,***,Triglycerides to Total-Lipids in Large HDL percentage
M-HDL-TG%,1.09 [1.08-1.10],8.431e-51,***,Triglycerides to Total-Lipids in Medium HDL percentage
XL-HDL-TG%,1.09 [1.08-1.10],3.953e-48,***,Triglycerides to Total-Lipids in Very Large HDL percentage
XL-HDL-FC%,1.07 [1.06-1.09],2.867e-33,***,Free Cholesterol to Total-Lipids in Very Large HDL percentage
L-VLDL-PL%,1.07 [1.06-1.09],2.203e-30,***,Phospholipids to Total-Lipids in Large VLDL percentage
IDL-PL%,1.07 [1.06-1.08],3.209e-35,***,Phospholipids to Total-Lipids in IDL percentage
S-HDL-TG,1.07 [1.06-1.08],5.583e-32,***,Triglycerides in Small HDL
VLDL-size,1.07 [1.06-1.08],2.468e-26,***,Average Diameter for VLDL Particles
XXL-VLDL-PL,1.06 [1.05-1.07],3.024e-23,***,Phospholipids in Chylomicrons and Extremely Large VLDL
XL-VLDL-TG,1.06 [1.05-1.07],8.619e-22,***,Triglycerides in Very Large VLDL
XXL-VLDL-P,1.06 [1.05-1.07],1.119e-21,***,Concentration of Chylomicrons and Extremely Large VLDL Particles
XXL-VLDL-L,1.06 [1.05-1.07],2.645e-21,***,Total-Lipids in Chylomicrons and Extremely Large VLDL
XXL-VLDL-TG,1.06 [1.05-1.07],1.329e-20,***,Triglycerides in Chylomicrons and Extremely Large VLDL
XXL-VLDL-FC,1.06 [1.04-1.07],1.344e-18,***,Free Cholesterol in Chylomicrons and Extremely Large VLDL
XXL-VLDL-C,1.05 [1.04-1.06],1.272e-16,***,Cholesterol in Chylomicrons and Extremely Large VLDL
S-VLDL-TG,1.05 [1.04-1.06],7.054e-16,***,Triglycerides in Small VLDL
XL-VLDL-P,1.05 [1.04-1.06],3.037e-15,***,Concentration of Very Large VLDL Particles
VLDL-TG,1.05 [1.04-1.06],1.117e-14,***,Triglycerides in VLDL
XL-VLDL-L,1.05 [1.04-1.06],1.215e-14,***,Total-Lipids in Very Large VLDL
XXL-VLDL-CE,1.05 [1.04-1.06],2.965e-14,***,Cholesteryl Esters in Chylomicrons and Extremely Large VLDL
Total-TG,1.05 [1.04-1.06],1.105e-13,***,Total-Triglycerides
XS-VLDL-TG,1.05 [1.04-1.06],1.409e-13,***,Triglycerides in Very Small VLDL
S-LDL-TG,1.05 [1.04-1.06],4.999e-12,***,Triglycerides in Small LDL
XL-VLDL-PL,1.05 [1.03-1.06],2.816e-11,***,Phospholipids in Very Large VLDL
L-VLDL-PL,1.05 [1.03-1.06],3.516e-11,***,Phospholipids in Large VLDL
