Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
DHA,1.21 [1.05-1.40],1.000,,Docosahexaenoic Acid
Omega-3%,1.21 [1.03-1.41],1.000,,Omega-3 Fatty Acids to Total-Fatty Acids percentage
M-LDL-FC%,1.06 [0.90-1.25],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
PUFA%,1.03 [0.88-1.22],1.000,,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
SFA%,1.02 [0.87-1.20],1.000,,Saturated Fatty Acids to Total-Fatty Acids percentage
M-LDL-C%,0.98 [0.84-1.14],1.000,,Cholesterol to Total-Lipids in Medium LDL percentage
M-LDL-CE%,0.93 [0.79-1.09],1.000,,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
Ala,0.93 [0.79-1.09],1.000,,Alanine
M-LDL-PL%,0.93 [0.80-1.08],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
M-HDL-TG%,0.85 [0.72-1.00],1.000,,Triglycerides to Total-Lipids in Medium HDL percentage
