Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
XL-HDL-PL%,1.61 [1.47-1.75],1.960e-21,***,Phospholipids to Total-Lipids in Very Large HDL percentage
M-HDL-FC%,1.55 [1.44-1.66],1.220e-27,***,Free Cholesterol to Total-Lipids in Medium HDL percentage
L-HDL-L,1.49 [1.41-1.59],1.699e-32,***,Total-Lipids in Large HDL
L-HDL-PL,1.48 [1.39-1.57],1.573e-32,***,Phospholipids in Large HDL
HDL-C,1.47 [1.38-1.56],5.291e-28,***,HDL Cholesterol
HDL-L,1.46 [1.38-1.56],1.053e-27,***,Total-Lipids in HDL
L-HDL-C,1.46 [1.37-1.55],4.492e-29,***,Cholesterol in Large HDL
HDL-CE,1.46 [1.37-1.55],1.240e-26,***,Cholesteryl Esters in HDL
HDL-size,1.46 [1.37-1.55],7.838e-29,***,Average Diameter for HDL Particles
HDL-FC,1.45 [1.37-1.54],4.328e-29,***,Free Cholesterol in HDL
L-HDL-FC%,1.45 [1.34-1.57],2.268e-14,***,Free Cholesterol to Total-Lipids in Large HDL percentage
HDL-PL,1.45 [1.36-1.54],4.872e-27,***,Phospholipids in HDL
L-HDL-CE,1.45 [1.36-1.54],7.537e-28,***,Cholesteryl Esters in Large HDL
L-HDL-FC,1.44 [1.36-1.53],1.195e-29,***,Free Cholesterol in Large HDL
L-HDL-P,1.42 [1.34-1.51],6.710e-28,***,Concentration of Large HDL Particles
M-HDL-FC,1.41 [1.33-1.49],1.275e-24,***,Free Cholesterol in Medium HDL
M-HDL-C,1.41 [1.32-1.50],1.201e-22,***,Cholesterol in Medium HDL
ApoA1,1.40 [1.32-1.49],4.890e-22,***,Apolipoprotein A1
M-HDL-CE,1.40 [1.31-1.48],1.058e-21,***,Cholesteryl Esters in Medium HDL
M-HDL-L,1.39 [1.31-1.48],5.400e-21,***,Total-Lipids in Medium HDL
M-HDL-P,1.38 [1.30-1.46],1.805e-21,***,Concentration of Medium HDL Particles
XL-HDL-L,1.38 [1.30-1.46],4.072e-21,***,Total-Lipids in Very Large HDL
XL-HDL-PL,1.37 [1.30-1.46],8.968e-22,***,Phospholipids in Very Large HDL
XL-HDL-CE,1.37 [1.30-1.46],6.684e-21,***,Cholesteryl Esters in Very Large HDL
M-HDL-PL,1.37 [1.29-1.45],1.465e-19,***,Phospholipids in Medium HDL
XL-HDL-C,1.36 [1.28-1.44],3.824e-19,***,Cholesterol in Very Large HDL
PC,1.34 [1.26-1.43],2.879e-14,***,Phosphatidylcholines
XL-HDL-P,1.34 [1.26-1.42],1.176e-17,***,Concentration of Very Large HDL Particles
SM,1.33 [1.24-1.41],7.022e-13,***,Sphingomyelins
Cholines,1.32 [1.24-1.41],3.833e-12,***,Total-Cholines
HDL-P,1.32 [1.24-1.40],3.742e-14,***,Concentration of HDL Particles
M-VLDL-CE%,1.31 [1.22-1.42],1.147e-06,***,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
XS-VLDL-CE%,1.31 [1.22-1.41],1.317e-07,***,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
Total-P,1.31 [1.23-1.39],1.111e-12,***,Total-Concentration of Lipoprotein Particles
Phosphoglyc,1.31 [1.23-1.39],3.378e-11,***,Phosphoglycerides
L-HDL-C%,1.30 [1.20-1.41],1.047e-05,***,Cholesterol to Total-Lipids in Large HDL percentage
S-HDL-PL%,1.30 [1.22-1.38],1.023e-11,***,Phospholipids to Total-Lipids in Small HDL percentage
M-VLDL-C%,1.29 [1.20-1.39],1.796e-06,***,Cholesterol to Total-Lipids in Medium VLDL percentage
XS-VLDL-C%,1.28 [1.19-1.38],4.107e-06,***,Cholesterol to Total-Lipids in Very Small VLDL percentage
XL-HDL-FC,1.28 [1.20-1.36],1.850e-10,***,Free Cholesterol in Very Large HDL
Gly,1.28 [1.21-1.35],8.418e-12,***,Glycine
L-VLDL-CE%,1.26 [1.18-1.35],5.740e-07,***,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
Total-PL,1.26 [1.18-1.35],2.830e-07,***,Total-Phospholipids in Lipoprotein Particles
M-HDL-C%,1.26 [1.17-1.35],3.578e-05,***,Cholesterol to Total-Lipids in Medium HDL percentage
XS-VLDL-CE,1.25 [1.17-1.33],5.108e-07,***,Cholesteryl Esters in Very Small VLDL
M-VLDL-FC%,1.25 [1.16-1.34],1.263e-04,***,Free Cholesterol to Total-Lipids in Medium VLDL percentage
LDL-size,1.23 [1.15-1.32],2.322e-04,***,Average Diameter for LDL Particles
L-HDL-CE%,1.23 [1.14-1.33],0.027,*,Cholesteryl Esters to Total-Lipids in Large HDL percentage
XS-VLDL-C,1.23 [1.15-1.31],2.557e-05,***,Cholesterol in Very Small VLDL
L-LDL-FC%,1.22 [1.14-1.31],0.006,**,Free Cholesterol to Total-Lipids in Large LDL percentage
XXL-VLDL-FC%,1.22 [1.15-1.29],2.966e-06,***,Free Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
IDL-CE,1.22 [1.14-1.30],4.627e-04,***,Cholesteryl Esters in IDL
M-VLDL-PL%,1.22 [1.13-1.30],0.005,**,Phospholipids to Total-Lipids in Medium VLDL percentage
IDL-C,1.21 [1.14-1.30],8.820e-04,***,Cholesterol in IDL
Unsaturation,1.21 [1.14-1.30],0.002,**,Degree of Unsaturation
IDL-PL,1.21 [1.14-1.29],4.394e-04,***,Phospholipids in IDL
IDL-L,1.21 [1.14-1.29],0.001,**,Total-Lipids in IDL
XL-VLDL-CE%,1.21 [1.14-1.29],7.153e-04,***,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
M-LDL-FC%,1.21 [1.13-1.29],0.023,*,Free Cholesterol to Total-Lipids in Medium LDL percentage
XL-VLDL-C%,1.20 [1.13-1.28],0.001,**,Cholesterol to Total-Lipids in Very Large VLDL percentage
DHA,1.20 [1.13-1.28],0.001,**,Docosahexaenoic Acid
