Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
XL-HDL-PL%,1.73 [1.54-1.93],5.197e-16,***,Phospholipids to Total-Lipids in Very Large HDL percentage
M-HDL-FC%,1.69 [1.54-1.84],5.830e-25,***,Free Cholesterol to Total-Lipids in Medium HDL percentage
L-HDL-L,1.63 [1.51-1.75],2.934e-31,***,Total-Lipids in Large HDL
L-HDL-PL,1.61 [1.49-1.73],3.371e-31,***,Phospholipids in Large HDL
HDL-C,1.60 [1.48-1.73],2.349e-27,***,HDL Cholesterol
HDL-L,1.59 [1.47-1.72],1.952e-26,***,Total-Lipids in HDL
L-HDL-C,1.58 [1.47-1.71],4.324e-29,***,Cholesterol in Large HDL
HDL-CE,1.58 [1.47-1.71],3.356e-26,***,Cholesteryl Esters in HDL
HDL-size,1.58 [1.47-1.70],7.671e-28,***,Average Diameter for HDL Particles
L-HDL-CE,1.57 [1.46-1.69],3.507e-28,***,Cholesteryl Esters in Large HDL
HDL-PL,1.57 [1.45-1.69],1.635e-25,***,Phospholipids in HDL
HDL-FC,1.57 [1.46-1.69],2.306e-28,***,Free Cholesterol in HDL
L-HDL-FC,1.55 [1.45-1.67],1.445e-29,***,Free Cholesterol in Large HDL
L-HDL-FC%,1.55 [1.40-1.72],4.445e-12,***,Free Cholesterol to Total-Lipids in Large HDL percentage
L-HDL-P,1.54 [1.43-1.65],2.881e-28,***,Concentration of Large HDL Particles
ApoA1,1.51 [1.40-1.63],4.220e-21,***,Apolipoprotein A1
M-HDL-C,1.51 [1.40-1.63],2.160e-21,***,Cholesterol in Medium HDL
M-HDL-FC,1.51 [1.41-1.63],1.937e-23,***,Free Cholesterol in Medium HDL
M-HDL-CE,1.50 [1.39-1.62],1.434e-20,***,Cholesteryl Esters in Medium HDL
M-HDL-L,1.49 [1.38-1.61],1.733e-19,***,Total-Lipids in Medium HDL
XL-HDL-L,1.48 [1.38-1.59],2.261e-22,***,Total-Lipids in Very Large HDL
XL-HDL-PL,1.48 [1.38-1.59],6.831e-23,***,Phospholipids in Very Large HDL
