Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
XL-HDL-FC%,1.81 [1.67-1.96],1.349e-45,***,Free Cholesterol to Total-Lipids in Very Large HDL percentage
Creatinine,1.67 [1.56-1.79],7.527e-42,***,Creatinine
TG/PG,1.57 [1.45-1.70],8.876e-23,***,Triglycerides to Phosphoglycerides ratio
VLDL-size,1.54 [1.42-1.68],1.970e-18,***,Average Diameter for VLDL Particles
L-HDL-TG%,1.52 [1.40-1.65],1.019e-18,***,Triglycerides to Total-Lipids in Large HDL percentage
M-VLDL-TG%,1.52 [1.39-1.65],3.584e-16,***,Triglycerides to Total-Lipids in Medium VLDL percentage
XL-HDL-TG%,1.48 [1.36-1.60],2.095e-16,***,Triglycerides to Total-Lipids in Very Large HDL percentage
XS-VLDL-TG%,1.47 [1.36-1.60],3.669e-15,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
XL-VLDL-TG%,1.46 [1.31-1.62],2.027e-07,***,Triglycerides to Total-Lipids in Very Large VLDL percentage
M-HDL-PL%,1.46 [1.35-1.58],1.041e-15,***,Phospholipids to Total-Lipids in Medium HDL percentage
S-HDL-TG%,1.45 [1.33-1.58],1.541e-12,***,Triglycerides to Total-Lipids in Small HDL percentage
MUFA%,1.42 [1.31-1.55],3.482e-11,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
XS-VLDL-PL%,1.40 [1.29-1.52],7.330e-11,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
M-HDL-TG%,1.39 [1.27-1.51],1.401e-08,***,Triglycerides to Total-Lipids in Medium HDL percentage
IDL-TG%,1.38 [1.27-1.49],2.000e-10,***,Triglycerides to Total-Lipids in IDL percentage
L-HDL-PL%,1.38 [1.27-1.49],3.011e-10,***,Phospholipids to Total-Lipids in Large HDL percentage
S-VLDL-TG%,1.35 [1.24-1.47],1.608e-06,***,Triglycerides to Total-Lipids in Small VLDL percentage
XL-HDL-C%,1.35 [1.25-1.45],1.797e-10,***,Cholesterol to Total-Lipids in Very Large HDL percentage
L-VLDL-PL%,1.34 [1.21-1.48],0.004,**,Phospholipids to Total-Lipids in Large VLDL percentage
L-LDL-TG%,1.30 [1.20-1.41],9.994e-06,***,Triglycerides to Total-Lipids in Large LDL percentage
Leu,1.30 [1.21-1.40],9.458e-07,***,Leucine
XXL-VLDL-L,1.30 [1.20-1.40],2.095e-06,***,Total-Lipids in Chylomicrons and Extremely Large VLDL
S-LDL-TG%,1.29 [1.20-1.40],2.558e-05,***,Triglycerides to Total-Lipids in Small LDL percentage
XL-VLDL-TG,1.29 [1.20-1.39],4.072e-06,***,Triglycerides in Very Large VLDL
XXL-VLDL-TG,1.29 [1.20-1.39],2.005e-06,***,Triglycerides in Chylomicrons and Extremely Large VLDL
XXL-VLDL-PL,1.28 [1.19-1.38],4.399e-06,***,Phospholipids in Chylomicrons and Extremely Large VLDL
XL-VLDL-L,1.28 [1.18-1.38],9.230e-05,***,Total-Lipids in Very Large VLDL
XXL-VLDL-P,1.27 [1.18-1.36],2.211e-05,***,Concentration of Chylomicrons and Extremely Large VLDL Particles
XXL-VLDL-C,1.27 [1.18-1.37],1.018e-04,***,Cholesterol in Chylomicrons and Extremely Large VLDL
XXL-VLDL-CE,1.27 [1.18-1.37],1.161e-04,***,Cholesteryl Esters in Chylomicrons and Extremely Large VLDL
XL-VLDL-P,1.27 [1.17-1.36],1.249e-04,***,Concentration of Very Large VLDL Particles
Total-BCAA,1.26 [1.17-1.37],5.365e-04,***,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
VLDL-TG,1.26 [1.17-1.37],0.001,**,Triglycerides in VLDL
XXL-VLDL-FC,1.26 [1.17-1.35],2.221e-04,***,Free Cholesterol in Chylomicrons and Extremely Large VLDL
XL-VLDL-PL,1.25 [1.16-1.35],9.455e-04,***,Phospholipids in Very Large VLDL
L-VLDL-TG,1.25 [1.16-1.35],0.001,**,Triglycerides in Large VLDL
L-VLDL-PL,1.25 [1.16-1.35],0.002,**,Phospholipids in Large VLDL
L-VLDL-L,1.25 [1.15-1.35],0.007,**,Total-Lipids in Large VLDL
