Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-HDL-FC%,1.64 [1.58-1.71],6.996e-131,***,Free Cholesterol to Total-Lipids in Medium HDL percentage
HDL-C,1.57 [1.52-1.62],2.566e-140,***,HDL Cholesterol
L-HDL-L,1.57 [1.51-1.62],5.148e-142,***,Total-Lipids in Large HDL
HDL-L,1.56 [1.51-1.62],4.689e-134,***,Total-Lipids in HDL
HDL-CE,1.56 [1.51-1.61],7.881e-136,***,Cholesteryl Esters in HDL
L-HDL-PL,1.55 [1.49-1.60],1.803e-138,***,Phospholipids in Large HDL
HDL-FC,1.54 [1.49-1.59],1.159e-142,***,Free Cholesterol in HDL
HDL-PL,1.54 [1.49-1.59],3.528e-126,***,Phospholipids in HDL
L-HDL-C,1.54 [1.49-1.59],3.237e-136,***,Cholesterol in Large HDL
L-HDL-CE,1.53 [1.48-1.58],1.095e-133,***,Cholesteryl Esters in Large HDL
HDL-size,1.51 [1.46-1.57],3.678e-119,***,Average Diameter for HDL Particles
XL-HDL-PL%,1.51 [1.44-1.59],4.519e-60,***,Phospholipids to Total-Lipids in Very Large HDL percentage
ApoA1,1.51 [1.46-1.56],2.756e-117,***,Apolipoprotein A1
L-HDL-FC,1.51 [1.46-1.56],1.407e-134,***,Free Cholesterol in Large HDL
L-HDL-P,1.50 [1.46-1.55],1.512e-135,***,Concentration of Large HDL Particles
M-HDL-FC,1.50 [1.45-1.55],1.835e-121,***,Free Cholesterol in Medium HDL
M-HDL-C,1.49 [1.44-1.54],7.584e-112,***,Cholesterol in Medium HDL
M-HDL-CE,1.48 [1.43-1.53],6.095e-108,***,Cholesteryl Esters in Medium HDL
M-HDL-L,1.47 [1.42-1.52],2.977e-102,***,Total-Lipids in Medium HDL
Cholines,1.47 [1.42-1.52],8.479e-97,***,Total-Cholines
PC,1.46 [1.41-1.51],7.605e-95,***,Phosphatidylcholines
M-HDL-P,1.46 [1.42-1.51],1.620e-109,***,Concentration of Medium HDL Particles
SM,1.45 [1.40-1.50],1.108e-100,***,Sphingomyelins
XL-HDL-CE,1.45 [1.40-1.49],4.423e-109,***,Cholesteryl Esters in Very Large HDL
Phosphoglyc,1.44 [1.39-1.50],1.902e-88,***,Phosphoglycerides
L-HDL-FC%,1.44 [1.38-1.50],2.827e-59,***,Free Cholesterol to Total-Lipids in Large HDL percentage
M-HDL-PL,1.44 [1.39-1.49],1.218e-93,***,Phospholipids in Medium HDL
XL-HDL-L,1.44 [1.39-1.48],2.540e-102,***,Total-Lipids in Very Large HDL
Total-P,1.43 [1.39-1.48],4.971e-97,***,Total-Concentration of Lipoprotein Particles
HDL-P,1.43 [1.39-1.48],1.129e-96,***,Concentration of HDL Particles
XL-HDL-PL,1.43 [1.38-1.48],3.046e-100,***,Phospholipids in Very Large HDL
XL-HDL-C,1.43 [1.38-1.47],4.919e-100,***,Cholesterol in Very Large HDL
L-HDL-C%,1.42 [1.36-1.48],6.935e-52,***,Cholesterol to Total-Lipids in Large HDL percentage
XL-HDL-P,1.41 [1.37-1.46],5.386e-99,***,Concentration of Very Large HDL Particles
Total-PL,1.41 [1.36-1.46],4.951e-78,***,Total-Phospholipids in Lipoprotein Particles
Gly,1.40 [1.36-1.45],1.941e-86,***,Glycine
M-VLDL-CE%,1.37 [1.32-1.43],1.131e-47,***,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
