Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
XL-HDL-PL%,1.67 [1.48-1.88],5.584e-12,***,Phospholipids to Total-Lipids in Very Large HDL percentage
L-HDL-L,1.53 [1.41-1.67],1.273e-16,***,Total-Lipids in Large HDL
L-HDL-PL,1.52 [1.39-1.65],1.135e-16,***,Phospholipids in Large HDL
L-HDL-C,1.52 [1.39-1.65],1.069e-15,***,Cholesterol in Large HDL
L-HDL-CE,1.51 [1.38-1.65],2.750e-15,***,Cholesteryl Esters in Large HDL
M-HDL-FC%,1.50 [1.36-1.66],3.065e-10,***,Free Cholesterol to Total-Lipids in Medium HDL percentage
HDL-C,1.49 [1.36-1.63],1.343e-12,***,HDL Cholesterol
L-HDL-FC,1.48 [1.37-1.61],3.376e-15,***,Free Cholesterol in Large HDL
HDL-CE,1.48 [1.36-1.62],2.071e-12,***,Cholesteryl Esters in HDL
HDL-size,1.48 [1.36-1.61],5.056e-15,***,Average Diameter for HDL Particles
L-HDL-P,1.47 [1.35-1.60],3.715e-14,***,Concentration of Large HDL Particles
HDL-FC,1.44 [1.32-1.57],1.575e-11,***,Free Cholesterol in HDL
HDL-L,1.44 [1.32-1.58],8.229e-11,***,Total-Lipids in HDL
L-HDL-FC%,1.44 [1.29-1.60],2.210e-05,***,Free Cholesterol to Total-Lipids in Large HDL percentage
LDL-size,1.43 [1.30-1.58],6.953e-08,***,Average Diameter for LDL Particles
HDL-PL,1.43 [1.31-1.55],1.802e-10,***,Phospholipids in HDL
XL-HDL-CE,1.42 [1.31-1.55],1.069e-10,***,Cholesteryl Esters in Very Large HDL
XL-HDL-PL,1.42 [1.31-1.54],1.865e-11,***,Phospholipids in Very Large HDL
XL-HDL-L,1.42 [1.30-1.54],1.328e-10,***,Total-Lipids in Very Large HDL
M-HDL-C,1.41 [1.29-1.54],1.512e-09,***,Cholesterol in Medium HDL
M-HDL-CE,1.41 [1.29-1.54],1.952e-09,***,Cholesteryl Esters in Medium HDL
XL-HDL-C,1.41 [1.29-1.53],1.290e-09,***,Cholesterol in Very Large HDL
L-HDL-C%,1.40 [1.24-1.57],0.003,**,Cholesterol to Total-Lipids in Large HDL percentage
