Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
XL-HDL-PL%,1.93 [1.63-2.29],1.044e-08,***,Phospholipids to Total-Lipids in Very Large HDL percentage
L-HDL-L,1.51 [1.34-1.69],1.040e-06,***,Total-Lipids in Large HDL
HDL-size,1.49 [1.33-1.67],3.395e-07,***,Average Diameter for HDL Particles
L-HDL-C,1.49 [1.33-1.67],3.434e-06,***,Cholesterol in Large HDL
L-HDL-CE,1.49 [1.32-1.67],4.464e-06,***,Cholesteryl Esters in Large HDL
L-HDL-PL,1.48 [1.32-1.66],2.438e-06,***,Phospholipids in Large HDL
Omega-6%,1.46 [1.27-1.69],0.028,*,Omega-6 Fatty Acids to Total-Fatty Acids percentage
Gly,1.45 [1.31-1.60],1.176e-07,***,Glycine
L-HDL-FC,1.44 [1.28-1.61],4.784e-05,***,Free Cholesterol in Large HDL
L-HDL-P,1.43 [1.28-1.60],9.251e-05,***,Concentration of Large HDL Particles
HDL-CE,1.40 [1.24-1.59],0.010,*,Cholesteryl Esters in HDL
XL-HDL-PL,1.40 [1.25-1.56],5.151e-04,***,Phospholipids in Very Large HDL
HDL-C,1.40 [1.24-1.58],0.014,*,HDL Cholesterol
XL-HDL-L,1.38 [1.24-1.55],0.003,**,Total-Lipids in Very Large HDL
XL-HDL-CE,1.38 [1.23-1.55],0.010,**,Cholesteryl Esters in Very Large HDL
S-HDL-PL%,1.37 [1.23-1.53],0.003,**,Phospholipids to Total-Lipids in Small HDL percentage
XL-HDL-C,1.36 [1.22-1.53],0.028,*,Cholesterol in Very Large HDL
Albumin,0.73 [0.65-0.81],5.555e-04,***,Albumin
L-HDL-TG%,0.71 [0.62-0.80],0.004,**,Triglycerides to Total-Lipids in Large HDL percentage
M-LDL-C,0.70 [0.62-0.80],0.008,**,Cholesterol in Medium LDL
Leu,0.70 [0.62-0.80],0.025,*,Leucine
M-LDL-PL,0.70 [0.62-0.80],0.012,*,Phospholipids in Medium LDL
M-LDL-L,0.70 [0.62-0.80],0.005,**,Total-Lipids in Medium LDL
VLDL-C,0.70 [0.62-0.80],0.013,*,VLDL Cholesterol
S-VLDL-C,0.70 [0.61-0.80],0.047,*,Cholesterol in Small VLDL
M-VLDL-FC,0.70 [0.61-0.80],0.047,*,Free Cholesterol in Medium VLDL
Total-BCAA,0.70 [0.62-0.79],0.009,**,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
Val,0.70 [0.61-0.79],0.006,**,Valine
S-LDL-C,0.70 [0.61-0.79],0.009,**,Cholesterol in Small LDL
S-VLDL-CE,0.69 [0.61-0.79],0.023,*,Cholesteryl Esters in Small VLDL
S-LDL-L,0.69 [0.61-0.79],0.004,**,Total-Lipids in Small LDL
S-VLDL-PL,0.69 [0.60-0.79],0.012,*,Phospholipids in Small VLDL
XL-HDL-C%,0.69 [0.61-0.78],0.001,**,Cholesterol to Total-Lipids in Very Large HDL percentage
M-VLDL-PL,0.69 [0.60-0.79],0.009,**,Phospholipids in Medium VLDL
M-LDL-CE,0.69 [0.60-0.78],9.939e-04,***,Cholesteryl Esters in Medium LDL
S-VLDL-TG,0.68 [0.60-0.78],0.007,**,Triglycerides in Small VLDL
VLDL-P,0.68 [0.59-0.78],0.011,*,Concentration of VLDL Particles
M-VLDL-L,0.68 [0.60-0.77],5.040e-04,***,Total-Lipids in Medium VLDL
S-VLDL-L,0.68 [0.60-0.77],0.001,**,Total-Lipids in Small VLDL
S-LDL-CE,0.68 [0.59-0.77],9.302e-04,***,Cholesteryl Esters in Small LDL
M-LDL-TG,0.68 [0.58-0.78],0.025,*,Triglycerides in Medium LDL
ApoB/ApoA1,0.67 [0.59-0.76],9.626e-05,***,Apolipoprotein B to Apolipoprotein A1 ratio
M-VLDL-P,0.67 [0.58-0.77],0.002,**,Concentration of Medium VLDL Particles
Total-TG,0.67 [0.59-0.76],3.777e-04,***,Total-Triglycerides
VLDL-L,0.67 [0.59-0.76],3.998e-05,***,Total-Lipids in VLDL
M-LDL-P,0.67 [0.58-0.76],9.778e-04,***,Concentration of Medium LDL Particles
S-LDL-P,0.66 [0.58-0.76],8.094e-04,***,Concentration of Small LDL Particles
VLDL-PL,0.66 [0.58-0.76],1.475e-04,***,Phospholipids in VLDL
S-VLDL-P,0.66 [0.58-0.76],8.409e-04,***,Concentration of Small VLDL Particles
VLDL-size,0.66 [0.59-0.74],7.355e-07,***,Average Diameter for VLDL Particles
VLDL-FC,0.66 [0.58-0.75],1.494e-04,***,Free Cholesterol in VLDL
L-VLDL-CE,0.66 [0.58-0.75],2.120e-04,***,Cholesteryl Esters in Large VLDL
M-VLDL-TG,0.65 [0.57-0.74],7.849e-05,***,Triglycerides in Medium VLDL
VLDL-TG,0.65 [0.57-0.74],3.211e-05,***,Triglycerides in VLDL
S-LDL-TG,0.64 [0.55-0.75],0.002,**,Triglycerides in Small LDL
XL-VLDL-CE,0.64 [0.56-0.73],2.219e-05,***,Cholesteryl Esters in Very Large VLDL
XL-HDL-TG%,0.64 [0.56-0.73],3.274e-06,***,Triglycerides to Total-Lipids in Very Large HDL percentage
L-VLDL-C,0.63 [0.55-0.72],6.407e-06,***,Cholesterol in Large VLDL
XXL-VLDL-CE,0.63 [0.54-0.73],1.135e-04,***,Cholesteryl Esters in Chylomicrons and Extremely Large VLDL
L-VLDL-L,0.63 [0.55-0.72],4.778e-06,***,Total-Lipids in Large VLDL
XXL-VLDL-C,0.63 [0.54-0.73],1.146e-04,***,Cholesterol in Chylomicrons and Extremely Large VLDL
XXL-VLDL-L,0.63 [0.54-0.73],1.086e-04,***,Total-Lipids in Chylomicrons and Extremely Large VLDL
XXL-VLDL-FC,0.63 [0.54-0.73],2.339e-04,***,Free Cholesterol in Chylomicrons and Extremely Large VLDL
L-VLDL-TG,0.62 [0.54-0.72],1.761e-05,***,Triglycerides in Large VLDL
XL-VLDL-C,0.62 [0.54-0.71],3.677e-06,***,Cholesterol in Very Large VLDL
TG/PG,0.62 [0.54-0.71],5.444e-07,***,Triglycerides to Phosphoglycerides ratio
