Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
XL-HDL-PL%,1.70 [1.50-1.93],4.828e-11,***,Phospholipids to Total-Lipids in Very Large HDL percentage
L-HDL-L,1.50 [1.37-1.65],5.206e-13,***,Total-Lipids in Large HDL
HDL-size,1.49 [1.36-1.62],9.068e-14,***,Average Diameter for HDL Particles
L-HDL-PL,1.48 [1.35-1.62],1.252e-12,***,Phospholipids in Large HDL
L-HDL-C,1.48 [1.35-1.62],8.610e-12,***,Cholesterol in Large HDL
L-HDL-CE,1.48 [1.35-1.62],1.568e-11,***,Cholesteryl Esters in Large HDL
L-HDL-FC,1.44 [1.32-1.57],1.202e-10,***,Free Cholesterol in Large HDL
L-HDL-P,1.43 [1.31-1.56],2.048e-10,***,Concentration of Large HDL Particles
HDL-CE,1.43 [1.30-1.58],3.391e-08,***,Cholesteryl Esters in HDL
HDL-C,1.43 [1.30-1.57],3.140e-08,***,HDL Cholesterol
M-HDL-FC%,1.42 [1.28-1.57],1.044e-05,***,Free Cholesterol to Total-Lipids in Medium HDL percentage
HDL-L,1.40 [1.28-1.54],2.799e-07,***,Total-Lipids in HDL
XL-HDL-PL,1.39 [1.27-1.51],2.747e-08,***,Phospholipids in Very Large HDL
HDL-PL,1.38 [1.26-1.51],6.736e-07,***,Phospholipids in HDL
HDL-FC,1.38 [1.26-1.51],1.211e-06,***,Free Cholesterol in HDL
XL-HDL-L,1.37 [1.26-1.50],4.130e-07,***,Total-Lipids in Very Large HDL
XL-HDL-CE,1.37 [1.25-1.50],1.556e-06,***,Cholesteryl Esters in Very Large HDL
M-HDL-C,1.37 [1.25-1.50],5.636e-06,***,Cholesterol in Medium HDL
M-HDL-CE,1.37 [1.25-1.50],5.995e-06,***,Cholesteryl Esters in Medium HDL
XL-HDL-C,1.35 [1.24-1.48],1.221e-05,***,Cholesterol in Very Large HDL
S-HDL-PL%,1.35 [1.24-1.47],1.745e-06,***,Phospholipids to Total-Lipids in Small HDL percentage
Gly,1.34 [1.24-1.46],4.721e-07,***,Glycine
M-HDL-FC,1.34 [1.22-1.46],4.824e-05,***,Free Cholesterol in Medium HDL
ApoA1,1.34 [1.22-1.47],1.952e-04,***,Apolipoprotein A1
M-HDL-L,1.33 [1.21-1.46],1.666e-04,***,Total-Lipids in Medium HDL
M-HDL-P,1.33 [1.21-1.45],1.155e-04,***,Concentration of Medium HDL Particles
XL-HDL-P,1.32 [1.21-1.44],1.699e-04,***,Concentration of Very Large HDL Particles
M-HDL-PL,1.30 [1.19-1.42],0.002,**,Phospholipids in Medium HDL
Sc-ala,0.78 [0.71-0.86],0.037,*,Spectrometer-corrected alanine
Ala,0.77 [0.70-0.85],0.043,*,Alanine
S-HDL-TG%,0.77 [0.69-0.84],0.012,*,Triglycerides to Total-Lipids in Small HDL percentage
L-HDL-TG%,0.76 [0.70-0.84],0.007,**,Triglycerides to Total-Lipids in Large HDL percentage
M-LDL-C,0.76 [0.69-0.84],0.011,*,Cholesterol in Medium LDL
M-LDL-L,0.76 [0.69-0.83],0.004,**,Total-Lipids in Medium LDL
VLDL-C,0.76 [0.68-0.84],0.009,**,VLDL Cholesterol
M-VLDL-FC,0.76 [0.68-0.84],0.031,*,Free Cholesterol in Medium VLDL
S-VLDL-C,0.75 [0.68-0.84],0.023,*,Cholesterol in Small VLDL
M-LDL-PL,0.75 [0.68-0.83],0.004,**,Phospholipids in Medium LDL
S-VLDL-TG,0.75 [0.68-0.83],0.015,*,Triglycerides in Small VLDL
M-LDL-CE,0.75 [0.68-0.83],0.002,**,Cholesteryl Esters in Medium LDL
S-LDL-PL,0.75 [0.67-0.83],0.006,**,Phospholipids in Small LDL
