Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
XL-HDL-PL%,2.25 [1.76-2.88],2.303e-05,***,Phospholipids to Total-Lipids in Very Large HDL percentage
L-HDL-L,1.80 [1.55-2.11],1.786e-08,***,Total-Lipids in Large HDL
L-HDL-C,1.79 [1.54-2.09],1.547e-08,***,Cholesterol in Large HDL
L-HDL-CE,1.79 [1.54-2.09],1.596e-08,***,Cholesteryl Esters in Large HDL
HDL-size,1.78 [1.53-2.06],3.417e-09,***,Average Diameter for HDL Particles
L-HDL-PL,1.75 [1.51-2.04],5.438e-08,***,Phospholipids in Large HDL
L-HDL-FC,1.71 [1.48-1.98],9.834e-08,***,Free Cholesterol in Large HDL
L-HDL-P,1.71 [1.48-1.97],9.206e-08,***,Concentration of Large HDL Particles
HDL-CE,1.68 [1.43-1.98],8.741e-05,***,Cholesteryl Esters in HDL
HDL-C,1.68 [1.43-1.98],9.827e-05,***,HDL Cholesterol
M-HDL-FC%,1.67 [1.39-2.01],0.008,**,Free Cholesterol to Total-Lipids in Medium HDL percentage
XL-HDL-CE,1.64 [1.41-1.90],1.070e-05,***,Cholesteryl Esters in Very Large HDL
XL-HDL-PL,1.63 [1.42-1.88],2.896e-06,***,Phospholipids in Very Large HDL
XL-HDL-L,1.63 [1.41-1.89],1.066e-05,***,Total-Lipids in Very Large HDL
XL-HDL-C,1.62 [1.39-1.87],3.788e-05,***,Cholesterol in Very Large HDL
Gly,1.60 [1.39-1.84],5.181e-06,***,Glycine
HDL-L,1.59 [1.36-1.87],0.003,**,Total-Lipids in HDL
HDL-FC,1.59 [1.36-1.85],8.263e-04,***,Free Cholesterol in HDL
XL-HDL-P,1.56 [1.35-1.80],3.554e-04,***,Concentration of Very Large HDL Particles
HDL-PL,1.55 [1.33-1.81],0.008,**,Phospholipids in HDL
M-HDL-C,1.53 [1.31-1.80],0.027,*,Cholesterol in Medium HDL
M-HDL-CE,1.53 [1.31-1.80],0.027,*,Cholesteryl Esters in Medium HDL
XL-HDL-FC,1.49 [1.29-1.73],0.031,*,Free Cholesterol in Very Large HDL
L-VLDL-PL%,0.73 [0.65-0.81],0.010,*,Phospholipids to Total-Lipids in Large VLDL percentage
S-HDL-TG%,0.63 [0.54-0.75],0.031,*,Triglycerides to Total-Lipids in Small HDL percentage
XL-HDL-C%,0.63 [0.53-0.74],0.018,*,Cholesterol to Total-Lipids in Very Large HDL percentage
VLDL-TG,0.61 [0.51-0.74],0.047,*,Triglycerides in VLDL
ApoB/ApoA1,0.61 [0.51-0.73],0.008,**,Apolipoprotein B to Apolipoprotein A1 ratio
XL-VLDL-CE,0.60 [0.50-0.72],0.025,*,Cholesteryl Esters in Very Large VLDL
L-VLDL-L,0.60 [0.50-0.72],0.018,*,Total-Lipids in Large VLDL
L-VLDL-C,0.59 [0.49-0.72],0.013,*,Cholesterol in Large VLDL
VLDL-size,0.59 [0.50-0.70],4.093e-05,***,Average Diameter for VLDL Particles
XL-VLDL-C,0.59 [0.49-0.72],0.019,*,Cholesterol in Very Large VLDL
XL-VLDL-L,0.59 [0.49-0.72],0.036,*,Total-Lipids in Very Large VLDL
XL-VLDL-FC,0.59 [0.48-0.72],0.040,*,Free Cholesterol in Very Large VLDL
XL-VLDL-PL,0.58 [0.48-0.71],0.039,*,Phospholipids in Very Large VLDL
Ile,0.58 [0.48-0.71],0.018,*,Isoleucine
L-VLDL-P,0.58 [0.48-0.71],0.035,*,Concentration of Large VLDL Particles
XL-HDL-TG%,0.58 [0.48-0.70],0.001,**,Triglycerides to Total-Lipids in Very Large HDL percentage
L-VLDL-PL,0.58 [0.47-0.70],0.010,**,Phospholipids in Large VLDL
XL-VLDL-P,0.58 [0.47-0.71],0.042,*,Concentration of Very Large VLDL Particles
L-VLDL-FC,0.57 [0.47-0.69],0.004,**,Free Cholesterol in Large VLDL
Val,0.56 [0.47-0.68],2.539e-04,***,Valine
Total-BCAA,0.55 [0.46-0.66],6.641e-05,***,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
TG/PG,0.55 [0.45-0.66],6.447e-05,***,Triglycerides to Phosphoglycerides ratio
Leu,0.54 [0.45-0.66],8.706e-05,***,Leucine
XL-HDL-FC%,0.50 [0.42-0.61],1.019e-07,***,Free Cholesterol to Total-Lipids in Very Large HDL percentage
Creatinine,0.43 [0.35-0.52],4.988e-13,***,Creatinine
