Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
XL-HDL-PL%,2.08 [1.75-2.46],4.994e-12,***,Phospholipids to Total-Lipids in Very Large HDL percentage
L-HDL-L,1.67 [1.50-1.87],2.342e-15,***,Total-Lipids in Large HDL
HDL-size,1.67 [1.51-1.86],1.349e-17,***,Average Diameter for HDL Particles
L-HDL-C,1.66 [1.49-1.84],6.479e-15,***,Cholesterol in Large HDL
L-HDL-CE,1.65 [1.48-1.84],8.865e-15,***,Cholesteryl Esters in Large HDL
L-HDL-PL,1.63 [1.47-1.82],1.016e-14,***,Phospholipids in Large HDL
L-HDL-FC,1.59 [1.44-1.76],6.306e-14,***,Free Cholesterol in Large HDL
L-HDL-P,1.59 [1.44-1.76],5.203e-14,***,Concentration of Large HDL Particles
XL-HDL-PL,1.56 [1.41-1.72],2.257e-13,***,Phospholipids in Very Large HDL
XL-HDL-L,1.55 [1.40-1.72],3.767e-12,***,Total-Lipids in Very Large HDL
XL-HDL-CE,1.53 [1.38-1.70],6.820e-11,***,Cholesteryl Esters in Very Large HDL
XL-HDL-C,1.52 [1.37-1.69],2.218e-10,***,Cholesterol in Very Large HDL
HDL-C,1.52 [1.36-1.70],1.105e-07,***,HDL Cholesterol
HDL-CE,1.52 [1.36-1.70],1.490e-07,***,Cholesteryl Esters in HDL
L-HDL-FC%,1.51 [1.31-1.75],0.005,**,Free Cholesterol to Total-Lipids in Large HDL percentage
M-HDL-FC%,1.51 [1.33-1.71],4.361e-05,***,Free Cholesterol to Total-Lipids in Medium HDL percentage
XL-HDL-P,1.48 [1.34-1.64],1.485e-09,***,Concentration of Very Large HDL Particles
HDL-L,1.47 [1.32-1.65],1.896e-06,***,Total-Lipids in HDL
HDL-FC,1.47 [1.32-1.64],5.301e-07,***,Free Cholesterol in HDL
S-HDL-PL%,1.46 [1.32-1.62],9.047e-08,***,Phospholipids to Total-Lipids in Small HDL percentage
HDL-PL,1.45 [1.30-1.61],5.270e-06,***,Phospholipids in HDL
XL-HDL-FC,1.44 [1.30-1.59],8.068e-07,***,Free Cholesterol in Very Large HDL
Gly,1.42 [1.29-1.57],5.519e-07,***,Glycine
M-HDL-C,1.41 [1.26-1.57],3.186e-04,***,Cholesterol in Medium HDL
M-HDL-CE,1.41 [1.26-1.57],3.929e-04,***,Cholesteryl Esters in Medium HDL
M-HDL-FC,1.39 [1.24-1.54],5.219e-04,***,Free Cholesterol in Medium HDL
ApoA1,1.38 [1.24-1.54],0.002,**,Apolipoprotein A1
M-HDL-P,1.37 [1.23-1.52],0.001,**,Concentration of Medium HDL Particles
M-HDL-L,1.36 [1.22-1.52],0.008,**,Total-Lipids in Medium HDL
M-HDL-PL,1.33 [1.19-1.48],0.047,*,Phospholipids in Medium HDL
L-VLDL-PL%,0.77 [0.71-0.83],7.169e-05,***,Phospholipids to Total-Lipids in Large VLDL percentage
Ala,0.73 [0.65-0.82],0.024,*,Alanine
LDL-CE,0.73 [0.64-0.82],0.024,*,Cholesteryl Esters in LDL
LDL-PL,0.72 [0.64-0.81],0.019,*,Phospholipids in LDL
S-HDL-TG%,0.72 [0.64-0.81],0.007,**,Triglycerides to Total-Lipids in Small HDL percentage
M-LDL-CE%,0.72 [0.64-0.79],7.641e-05,***,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
