Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
XL-HDL-PL%,1.53 [1.32-1.78],0.004,**,Phospholipids to Total-Lipids in Very Large HDL percentage
HDL-CE,1.52 [1.35-1.72],3.918e-06,***,Cholesteryl Esters in HDL
HDL-C,1.50 [1.33-1.70],1.479e-05,***,HDL Cholesterol
M-HDL-C%,1.50 [1.31-1.72],0.002,**,Cholesterol to Total-Lipids in Medium HDL percentage
L-HDL-L,1.50 [1.33-1.69],4.171e-06,***,Total-Lipids in Large HDL
L-HDL-CE,1.49 [1.33-1.68],5.936e-06,***,Cholesteryl Esters in Large HDL
L-HDL-C,1.49 [1.32-1.68],7.900e-06,***,Cholesterol in Large HDL
L-HDL-PL,1.48 [1.32-1.67],4.343e-06,***,Phospholipids in Large HDL
M-HDL-CE,1.47 [1.31-1.66],2.241e-05,***,Cholesteryl Esters in Medium HDL
M-HDL-C,1.46 [1.30-1.64],5.275e-05,***,Cholesterol in Medium HDL
HDL-L,1.43 [1.27-1.62],8.147e-04,***,Total-Lipids in HDL
L-HDL-P,1.43 [1.28-1.61],1.901e-04,***,Concentration of Large HDL Particles
HDL-size,1.43 [1.28-1.60],1.260e-04,***,Average Diameter for HDL Particles
L-HDL-FC,1.43 [1.27-1.60],3.076e-04,***,Free Cholesterol in Large HDL
HDL-PL,1.41 [1.26-1.59],0.002,**,Phospholipids in HDL
HDL-FC,1.39 [1.23-1.57],0.012,*,Free Cholesterol in HDL
M-HDL-P,1.39 [1.24-1.56],0.004,**,Concentration of Medium HDL Particles
M-HDL-FC,1.39 [1.24-1.56],0.006,**,Free Cholesterol in Medium HDL
M-HDL-L,1.39 [1.23-1.56],0.008,**,Total-Lipids in Medium HDL
ApoA1,1.38 [1.23-1.56],0.023,*,Apolipoprotein A1
Gly,1.33 [1.20-1.48],0.021,*,Glycine
M-VLDL-TG,0.71 [0.62-0.81],0.033,*,Triglycerides in Medium VLDL
M-HDL-TG%,0.71 [0.63-0.79],0.001,**,Triglycerides to Total-Lipids in Medium HDL percentage
S-VLDL-L,0.71 [0.62-0.80],0.016,*,Total-Lipids in Small VLDL
VLDL-size,0.70 [0.63-0.79],5.613e-04,***,Average Diameter for VLDL Particles
Total-TG,0.70 [0.62-0.79],0.005,**,Total-Triglycerides
VLDL-P,0.70 [0.61-0.80],0.035,*,Concentration of VLDL Particles
VLDL-L,0.70 [0.62-0.79],9.264e-04,***,Total-Lipids in VLDL
S-LDL-P,0.69 [0.60-0.79],0.013,*,Concentration of Small LDL Particles
VLDL-FC,0.69 [0.61-0.79],0.004,**,Free Cholesterol in VLDL
L-VLDL-TG,0.69 [0.60-0.79],0.013,*,Triglycerides in Large VLDL
VLDL-PL,0.69 [0.61-0.78],0.002,**,Phospholipids in VLDL
VLDL-TG,0.69 [0.60-0.78],0.002,**,Triglycerides in VLDL
M-LDL-TG,0.69 [0.60-0.79],0.032,*,Triglycerides in Medium LDL
L-VLDL-CE,0.68 [0.60-0.78],0.003,**,Cholesteryl Esters in Large VLDL
S-VLDL-P,0.68 [0.59-0.78],0.005,**,Concentration of Small VLDL Particles
L-VLDL-L,0.68 [0.60-0.77],9.828e-04,***,Total-Lipids in Large VLDL
S-HDL-TG%,0.67 [0.59-0.76],4.858e-05,***,Triglycerides to Total-Lipids in Small HDL percentage
L-HDL-TG%,0.67 [0.60-0.76],1.540e-05,***,Triglycerides to Total-Lipids in Large HDL percentage
XL-VLDL-CE,0.67 [0.59-0.76],5.366e-04,***,Cholesteryl Esters in Very Large VLDL
L-VLDL-C,0.67 [0.59-0.76],3.198e-04,***,Cholesterol in Large VLDL
S-LDL-TG,0.66 [0.57-0.77],0.004,**,Triglycerides in Small LDL
XXL-VLDL-CE,0.66 [0.57-0.76],0.001,**,Cholesteryl Esters in Chylomicrons and Extremely Large VLDL
XXL-VLDL-C,0.66 [0.57-0.76],0.001,**,Cholesterol in Chylomicrons and Extremely Large VLDL
XXL-VLDL-FC,0.66 [0.57-0.76],0.002,**,Free Cholesterol in Chylomicrons and Extremely Large VLDL
XL-VLDL-TG,0.66 [0.57-0.76],0.001,**,Triglycerides in Very Large VLDL
ApoB/ApoA1,0.66 [0.58-0.75],1.281e-05,***,Apolipoprotein B to Apolipoprotein A1 ratio
Ile,0.66 [0.57-0.75],5.352e-04,***,Isoleucine
L-VLDL-PL,0.66 [0.57-0.75],2.225e-04,***,Phospholipids in Large VLDL
XXL-VLDL-L,0.66 [0.57-0.76],8.990e-04,***,Total-Lipids in Chylomicrons and Extremely Large VLDL
XL-HDL-TG%,0.66 [0.58-0.75],2.131e-05,***,Triglycerides to Total-Lipids in Very Large HDL percentage
L-VLDL-P,0.66 [0.57-0.75],4.625e-04,***,Concentration of Large VLDL Particles
XL-VLDL-L,0.66 [0.57-0.75],2.278e-04,***,Total-Lipids in Very Large VLDL
XL-VLDL-C,0.65 [0.57-0.75],1.136e-04,***,Cholesterol in Very Large VLDL
Val,0.65 [0.57-0.74],1.748e-05,***,Valine
XXL-VLDL-TG,0.65 [0.56-0.75],0.002,**,Triglycerides in Chylomicrons and Extremely Large VLDL
L-VLDL-FC,0.65 [0.57-0.74],8.889e-05,***,Free Cholesterol in Large VLDL
XXL-VLDL-PL,0.65 [0.56-0.75],0.001,**,Phospholipids in Chylomicrons and Extremely Large VLDL
XXL-VLDL-P,0.65 [0.56-0.75],0.002,**,Concentration of Chylomicrons and Extremely Large VLDL Particles
XL-VLDL-FC,0.64 [0.56-0.74],7.805e-05,***,Free Cholesterol in Very Large VLDL
XL-VLDL-P,0.64 [0.56-0.74],1.902e-04,***,Concentration of Very Large VLDL Particles
XL-VLDL-PL,0.64 [0.56-0.74],8.245e-05,***,Phospholipids in Very Large VLDL
XL-HDL-FC%,0.64 [0.56-0.73],3.084e-06,***,Free Cholesterol to Total-Lipids in Very Large HDL percentage
Total-BCAA,0.63 [0.55-0.71],5.189e-07,***,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
TG/PG,0.62 [0.55-0.71],3.167e-07,***,Triglycerides to Phosphoglycerides ratio
Leu,0.60 [0.53-0.69],3.682e-08,***,Leucine
Creatinine,0.46 [0.40-0.53],2.713e-22,***,Creatinine
