Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
XL-HDL-PL%,2.12 [1.85-2.43],7.247e-22,***,Phospholipids to Total-Lipids in Very Large HDL percentage
L-HDL-L,1.75 [1.60-1.91],3.402e-30,***,Total-Lipids in Large HDL
L-HDL-C,1.73 [1.59-1.89],9.699e-30,***,Cholesterol in Large HDL
L-HDL-CE,1.73 [1.58-1.89],1.301e-29,***,Cholesteryl Esters in Large HDL
HDL-size,1.72 [1.58-1.87],8.825e-32,***,Average Diameter for HDL Particles
L-HDL-PL,1.71 [1.57-1.87],9.182e-30,***,Phospholipids in Large HDL
L-HDL-FC,1.66 [1.53-1.80],9.919e-28,***,Free Cholesterol in Large HDL
L-HDL-P,1.65 [1.52-1.79],3.817e-27,***,Concentration of Large HDL Particles
HDL-CE,1.63 [1.48-1.79],1.362e-19,***,Cholesteryl Esters in HDL
HDL-C,1.62 [1.48-1.78],2.133e-19,***,HDL Cholesterol
L-HDL-C%,1.62 [1.42-1.84],1.165e-07,***,Cholesterol to Total-Lipids in Large HDL percentage
XL-HDL-PL,1.59 [1.47-1.73],7.122e-24,***,Phospholipids in Very Large HDL
M-HDL-FC%,1.59 [1.43-1.76],3.324e-13,***,Free Cholesterol to Total-Lipids in Medium HDL percentage
XL-HDL-CE,1.58 [1.46-1.72],1.632e-21,***,Cholesteryl Esters in Very Large HDL
XL-HDL-L,1.58 [1.46-1.72],5.780e-22,***,Total-Lipids in Very Large HDL
XL-HDL-C,1.56 [1.44-1.70],5.370e-20,***,Cholesterol in Very Large HDL
M-HDL-C%,1.55 [1.39-1.73],1.547e-09,***,Cholesterol to Total-Lipids in Medium HDL percentage
HDL-L,1.55 [1.41-1.69],9.910e-16,***,Total-Lipids in HDL
L-HDL-FC%,1.54 [1.37-1.74],5.981e-08,***,Free Cholesterol to Total-Lipids in Large HDL percentage
HDL-FC,1.54 [1.41-1.68],1.260e-16,***,Free Cholesterol in HDL
HDL-PL,1.51 [1.39-1.65],7.978e-15,***,Phospholipids in HDL
L-HDL-CE%,1.51 [1.33-1.71],6.340e-05,***,Cholesteryl Esters to Total-Lipids in Large HDL percentage
M-HDL-CE,1.51 [1.38-1.65],6.384e-14,***,Cholesteryl Esters in Medium HDL
M-HDL-C,1.50 [1.38-1.64],8.546e-14,***,Cholesterol in Medium HDL
XL-HDL-P,1.50 [1.38-1.63],1.334e-16,***,Concentration of Very Large HDL Particles
M-HDL-FC,1.46 [1.34-1.59],2.856e-12,***,Free Cholesterol in Medium HDL
S-HDL-PL%,1.45 [1.34-1.58],5.635e-13,***,Phospholipids to Total-Lipids in Small HDL percentage
XL-HDL-FC,1.44 [1.33-1.57],4.979e-12,***,Free Cholesterol in Very Large HDL
ApoA1,1.44 [1.31-1.57],5.999e-10,***,Apolipoprotein A1
M-HDL-P,1.44 [1.32-1.56],3.779e-11,***,Concentration of Medium HDL Particles
M-HDL-L,1.43 [1.31-1.56],7.164e-10,***,Total-Lipids in Medium HDL
M-LDL-FC%,1.42 [1.28-1.58],2.003e-05,***,Free Cholesterol to Total-Lipids in Medium LDL percentage
M-HDL-CE%,1.41 [1.27-1.57],6.073e-05,***,Cholesteryl Esters to Total-Lipids in Medium HDL percentage
M-HDL-PL,1.39 [1.27-1.51],2.263e-08,***,Phospholipids in Medium HDL
L-LDL-FC%,1.38 [1.23-1.54],0.006,**,Free Cholesterol to Total-Lipids in Large LDL percentage
S-LDL-PL%,1.38 [1.26-1.50],1.903e-07,***,Phospholipids to Total-Lipids in Small LDL percentage
