Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
L-LDL-TG%,1.15 [1.03-1.29],1.000,,Triglycerides to Total-Lipids in Large LDL percentage
M-LDL-TG%,1.13 [1.02-1.26],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
L-HDL-PL%,1.09 [0.96-1.23],1.000,,Phospholipids to Total-Lipids in Large HDL percentage
L-HDL-TG%,1.06 [0.94-1.19],1.000,,Triglycerides to Total-Lipids in Large HDL percentage
L-VLDL-PL%,1.00 [0.91-1.11],1.000,,Phospholipids to Total-Lipids in Large VLDL percentage
M-LDL-FC%,0.97 [0.86-1.09],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
HDL-CE,0.92 [0.82-1.04],1.000,,Cholesteryl Esters in HDL
VLDL-C,0.91 [0.82-1.01],1.000,,VLDL Cholesterol
LDL-CE,0.89 [0.80-0.99],1.000,,Cholesteryl Esters in LDL
Total-C,0.87 [0.78-0.98],1.000,,Total-Cholesterol
