Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
XL-VLDL-TG%,1.48 [1.42-1.55],5.043e-64,***,Triglycerides to Total-Lipids in Very Large VLDL percentage
XS-VLDL-TG%,1.47 [1.42-1.51],2.828e-122,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
Creatinine,1.46 [1.42-1.50],5.171e-133,***,Creatinine
MUFA%,1.42 [1.38-1.47],2.167e-96,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
IDL-TG%,1.41 [1.37-1.45],1.099e-111,***,Triglycerides to Total-Lipids in IDL percentage
M-VLDL-TG%,1.40 [1.35-1.45],1.859e-80,***,Triglycerides to Total-Lipids in Medium VLDL percentage
L-LDL-TG%,1.39 [1.35-1.43],1.276e-106,***,Triglycerides to Total-Lipids in Large LDL percentage
GlycA,1.39 [1.34-1.43],8.256e-82,***,Glycoprotein Acetyls
S-VLDL-TG%,1.38 [1.34-1.43],1.490e-74,***,Triglycerides to Total-Lipids in Small VLDL percentage
S-LDL-TG%,1.37 [1.33-1.42],1.523e-94,***,Triglycerides to Total-Lipids in Small LDL percentage
M-LDL-TG%,1.37 [1.33-1.41],5.991e-97,***,Triglycerides to Total-Lipids in Medium LDL percentage
XL-HDL-TG%,1.37 [1.32-1.41],2.407e-79,***,Triglycerides to Total-Lipids in Very Large HDL percentage
L-HDL-PL%,1.35 [1.32-1.39],2.535e-96,***,Phospholipids to Total-Lipids in Large HDL percentage
S-HDL-TG,1.34 [1.30-1.38],1.034e-78,***,Triglycerides in Small HDL
MUFA,1.29 [1.25-1.33],1.905e-57,***,Monounsaturated Fatty Acids
S-HDL-TG%,1.28 [1.24-1.32],1.814e-40,***,Triglycerides to Total-Lipids in Small HDL percentage
M-HDL-TG,1.28 [1.24-1.31],1.689e-54,***,Triglycerides in Medium HDL
VLDL-size,1.27 [1.23-1.32],4.227e-40,***,Average Diameter for VLDL Particles
XS-VLDL-TG,1.27 [1.23-1.31],8.948e-57,***,Triglycerides in Very Small VLDL
TG/PG,1.27 [1.23-1.31],3.729e-42,***,Triglycerides to Phosphoglycerides ratio
HDL-TG,1.27 [1.23-1.30],1.056e-51,***,Triglycerides in HDL
S-HDL-PL,1.27 [1.23-1.31],2.133e-44,***,Phospholipids in Small HDL
S-VLDL-TG,1.26 [1.23-1.30],5.392e-49,***,Triglycerides in Small VLDL
M-LDL-TG,1.26 [1.23-1.30],1.151e-59,***,Triglycerides in Medium LDL
XL-VLDL-TG,1.26 [1.23-1.30],3.845e-52,***,Triglycerides in Very Large VLDL
Total-TG,1.26 [1.23-1.30],9.237e-46,***,Total-Triglycerides
LDL-TG,1.26 [1.22-1.29],1.079e-53,***,Triglycerides in LDL
S-HDL-L,1.25 [1.21-1.29],6.734e-39,***,Total-Lipids in Small HDL
VLDL-TG,1.25 [1.21-1.29],2.039e-41,***,Triglycerides in VLDL
S-LDL-TG,1.25 [1.22-1.29],5.962e-55,***,Triglycerides in Small LDL
L-LDL-TG,1.25 [1.21-1.28],2.770e-49,***,Triglycerides in Large LDL
XXL-VLDL-PL,1.25 [1.21-1.28],1.494e-49,***,Phospholipids in Chylomicrons and Extremely Large VLDL
XXL-VLDL-L,1.24 [1.21-1.28],8.604e-45,***,Total-Lipids in Chylomicrons and Extremely Large VLDL
L-VLDL-PL%,1.24 [1.19-1.30],1.408e-17,***,Phospholipids to Total-Lipids in Large VLDL percentage
XXL-VLDL-P,1.24 [1.21-1.28],1.942e-49,***,Concentration of Chylomicrons and Extremely Large VLDL Particles
XXL-VLDL-FC,1.24 [1.20-1.27],9.335e-45,***,Free Cholesterol in Chylomicrons and Extremely Large VLDL
L-HDL-TG%,1.24 [1.20-1.28],8.476e-35,***,Triglycerides to Total-Lipids in Large HDL percentage
IDL-TG,1.24 [1.20-1.27],5.989e-43,***,Triglycerides in IDL
XXL-VLDL-TG,1.23 [1.20-1.27],6.160e-45,***,Triglycerides in Chylomicrons and Extremely Large VLDL
XL-VLDL-L,1.23 [1.20-1.27],5.301e-38,***,Total-Lipids in Very Large VLDL
XL-VLDL-P,1.23 [1.20-1.27],1.165e-39,***,Concentration of Very Large VLDL Particles
XS-VLDL-PL%,1.23 [1.19-1.27],8.636e-31,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
XXL-VLDL-C,1.23 [1.19-1.26],1.303e-38,***,Cholesterol in Chylomicrons and Extremely Large VLDL
M-HDL-TG%,1.22 [1.18-1.26],4.144e-26,***,Triglycerides to Total-Lipids in Medium HDL percentage
M-HDL-PL%,1.22 [1.18-1.26],1.799e-30,***,Phospholipids to Total-Lipids in Medium HDL percentage
SFA,1.22 [1.18-1.25],4.071e-34,***,Saturated Fatty Acids
XXL-VLDL-CE,1.21 [1.18-1.25],5.093e-33,***,Cholesteryl Esters in Chylomicrons and Extremely Large VLDL
L-VLDL-TG,1.21 [1.17-1.25],9.973e-32,***,Triglycerides in Large VLDL
L-VLDL-PL,1.21 [1.17-1.25],3.046e-29,***,Phospholipids in Large VLDL
XL-VLDL-PL,1.21 [1.17-1.24],4.988e-30,***,Phospholipids in Very Large VLDL
S-HDL-FC,1.20 [1.17-1.24],2.591e-25,***,Free Cholesterol in Small HDL
L-VLDL-P,1.20 [1.17-1.24],6.114e-29,***,Concentration of Large VLDL Particles
