Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
ApoB/ApoA1,1.42 [1.35-1.50],2.334e-31,***,Apolipoprotein B to Apolipoprotein A1 ratio
S-VLDL-CE,1.35 [1.27-1.42],1.662e-21,***,Cholesteryl Esters in Small VLDL
S-VLDL-C,1.34 [1.27-1.41],2.344e-20,***,Cholesterol in Small VLDL
L-VLDL-PL%,1.33 [1.23-1.44],1.507e-07,***,Phospholipids to Total-Lipids in Large VLDL percentage
S-LDL-PL,1.33 [1.26-1.40],1.117e-19,***,Phospholipids in Small LDL
S-VLDL-PL,1.33 [1.26-1.40],4.311e-19,***,Phospholipids in Small VLDL
S-LDL-P,1.32 [1.25-1.39],5.214e-19,***,Concentration of Small LDL Particles
S-VLDL-L,1.32 [1.25-1.40],2.889e-17,***,Total-Lipids in Small VLDL
S-VLDL-FC,1.32 [1.25-1.39],4.665e-18,***,Free Cholesterol in Small VLDL
VLDL-C,1.31 [1.24-1.39],5.670e-16,***,VLDL Cholesterol
VLDL-CE,1.31 [1.24-1.39],2.762e-16,***,Cholesteryl Esters in VLDL
ApoB,1.31 [1.24-1.39],3.765e-16,***,Apolipoprotein B
XL-VLDL-CE,1.31 [1.24-1.38],1.175e-16,***,Cholesteryl Esters in Very Large VLDL
S-LDL-L,1.31 [1.24-1.38],1.109e-16,***,Total-Lipids in Small LDL
XS-VLDL-PL,1.31 [1.24-1.38],4.217e-17,***,Phospholipids in Very Small VLDL
L-VLDL-CE,1.31 [1.24-1.38],1.443e-16,***,Cholesteryl Esters in Large VLDL
LDL-P,1.31 [1.24-1.38],1.838e-17,***,Concentration of LDL Particles
VLDL-P,1.31 [1.24-1.38],1.991e-17,***,Concentration of VLDL Particles
S-VLDL-P,1.31 [1.24-1.38],1.923e-17,***,Concentration of Small VLDL Particles
M-VLDL-PL,1.30 [1.23-1.37],4.333e-16,***,Phospholipids in Medium VLDL
M-VLDL-FC,1.30 [1.23-1.37],2.666e-16,***,Free Cholesterol in Medium VLDL
L-LDL-P,1.30 [1.23-1.37],9.750e-17,***,Concentration of Large LDL Particles
VLDL-FC,1.30 [1.23-1.37],2.769e-15,***,Free Cholesterol in VLDL
XS-VLDL-P,1.30 [1.23-1.37],5.378e-16,***,Concentration of Very Small VLDL Particles
XS-VLDL-FC,1.30 [1.23-1.37],2.075e-15,***,Free Cholesterol in Very Small VLDL
GlycA,1.30 [1.22-1.38],2.664e-12,***,Glycoprotein Acetyls
S-HDL-TG%,1.30 [1.22-1.38],6.417e-11,***,Triglycerides to Total-Lipids in Small HDL percentage
M-VLDL-P,1.30 [1.23-1.37],6.155e-16,***,Concentration of Medium VLDL Particles
L-VLDL-C,1.30 [1.23-1.37],1.437e-14,***,Cholesterol in Large VLDL
VLDL-PL,1.29 [1.22-1.37],2.845e-14,***,Phospholipids in VLDL
M-VLDL-L,1.29 [1.22-1.37],3.659e-14,***,Total-Lipids in Medium VLDL
