Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-LDL-TG%,1.04 [0.90-1.21],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
M-HDL-PL%,1.03 [0.87-1.21],1.000,,Phospholipids to Total-Lipids in Medium HDL percentage
M-HDL-CE%,1.02 [0.87-1.19],1.000,,Cholesteryl Esters to Total-Lipids in Medium HDL percentage
L-VLDL-TG%,1.02 [0.88-1.18],1.000,,Triglycerides to Total-Lipids in Large VLDL percentage
M-HDL-C%,1.01 [0.86-1.18],1.000,,Cholesterol to Total-Lipids in Medium HDL percentage
HDL-C,0.95 [0.80-1.13],1.000,,HDL Cholesterol
M-LDL-FC%,0.95 [0.81-1.10],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
ApoB,0.94 [0.81-1.09],1.000,,Apolipoprotein B
Clinical LDL-C,0.92 [0.80-1.07],1.000,,Clinical LDL Cholesterol
LDL-C,0.92 [0.80-1.07],1.000,,LDL Cholesterol
