Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
MUFA%,1.12 [1.09-1.14],3.727e-21,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
L-LDL-TG%,1.12 [1.10-1.14],2.645e-24,***,Triglycerides to Total-Lipids in Large LDL percentage
IDL-TG%,1.11 [1.09-1.13],1.329e-22,***,Triglycerides to Total-Lipids in IDL percentage
M-LDL-TG%,1.11 [1.09-1.13],2.079e-21,***,Triglycerides to Total-Lipids in Medium LDL percentage
XS-VLDL-PL%,1.11 [1.08-1.13],1.444e-17,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
M-HDL-PL%,1.10 [1.08-1.12],2.256e-15,***,Phospholipids to Total-Lipids in Medium HDL percentage
S-LDL-TG%,1.09 [1.07-1.12],8.375e-16,***,Triglycerides to Total-Lipids in Small LDL percentage
GlycA,1.09 [1.07-1.12],1.192e-12,***,Glycoprotein Acetyls
S-HDL-TG%,1.09 [1.07-1.11],4.427e-13,***,Triglycerides to Total-Lipids in Small HDL percentage
XS-VLDL-TG%,1.09 [1.07-1.11],7.371e-13,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
M-HDL-TG%,1.08 [1.06-1.10],6.191e-10,***,Triglycerides to Total-Lipids in Medium HDL percentage
L-HDL-TG%,1.08 [1.06-1.10],5.305e-08,***,Triglycerides to Total-Lipids in Large HDL percentage
XS-VLDL-TG,1.08 [1.06-1.10],3.594e-10,***,Triglycerides in Very Small VLDL
TG/PG,1.07 [1.05-1.10],1.084e-06,***,Triglycerides to Phosphoglycerides ratio
IDL-TG,1.07 [1.05-1.09],4.305e-09,***,Triglycerides in IDL
XL-HDL-TG%,1.07 [1.05-1.09],8.760e-07,***,Triglycerides to Total-Lipids in Very Large HDL percentage
S-HDL-TG,1.07 [1.05-1.09],1.388e-07,***,Triglycerides in Small HDL
L-LDL-TG,1.07 [1.05-1.09],1.700e-07,***,Triglycerides in Large LDL
LDL-TG,1.07 [1.05-1.09],2.338e-07,***,Triglycerides in LDL
S-VLDL-TG%,1.07 [1.05-1.09],1.970e-06,***,Triglycerides to Total-Lipids in Small VLDL percentage
L-VLDL-PL%,1.07 [1.05-1.09],2.569e-05,***,Phospholipids to Total-Lipids in Large VLDL percentage
M-LDL-TG,1.07 [1.05-1.09],1.065e-06,***,Triglycerides in Medium LDL
M-VLDL-TG%,1.07 [1.05-1.09],5.277e-05,***,Triglycerides to Total-Lipids in Medium VLDL percentage
S-LDL-TG,1.06 [1.05-1.08],7.976e-06,***,Triglycerides in Small LDL
HDL-TG,1.06 [1.04-1.08],8.140e-06,***,Triglycerides in HDL
L-HDL-PL%,1.06 [1.04-1.08],4.999e-04,***,Phospholipids to Total-Lipids in Large HDL percentage
MUFA,1.06 [1.04-1.08],2.008e-04,***,Monounsaturated Fatty Acids
M-HDL-TG,1.06 [1.04-1.08],5.371e-05,***,Triglycerides in Medium HDL
IDL-PL%,1.06 [1.04-1.08],2.714e-04,***,Phospholipids to Total-Lipids in IDL percentage
S-VLDL-TG,1.06 [1.04-1.08],3.176e-04,***,Triglycerides in Small VLDL
XL-VLDL-TG%,1.06 [1.04-1.08],0.005,**,Triglycerides to Total-Lipids in Very Large VLDL percentage
XL-HDL-TG,1.06 [1.04-1.08],3.152e-04,***,Triglycerides in Very Large HDL
Total-TG,1.06 [1.04-1.08],0.006,**,Total-Triglycerides
XXL-VLDL-PL,1.05 [1.03-1.07],0.018,*,Phospholipids in Chylomicrons and Extremely Large VLDL
XXL-VLDL-P,1.05 [1.03-1.07],0.018,*,Concentration of Chylomicrons and Extremely Large VLDL Particles
DHA%,0.95 [0.93-0.97],0.026,*,Docosahexaenoic Acid to Total-Fatty Acids percentage
HDL-CE,0.94 [0.92-0.96],0.025,*,Cholesteryl Esters in HDL
M-VLDL-FC%,0.94 [0.92-0.96],2.476e-04,***,Free Cholesterol to Total-Lipids in Medium VLDL percentage
S-VLDL-C%,0.94 [0.92-0.96],6.036e-05,***,Cholesterol to Total-Lipids in Small VLDL percentage
M-HDL-FC%,0.94 [0.92-0.96],0.004,**,Free Cholesterol to Total-Lipids in Medium HDL percentage
M-VLDL-CE%,0.94 [0.92-0.96],4.922e-06,***,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
M-VLDL-C%,0.94 [0.92-0.95],2.903e-06,***,Cholesterol to Total-Lipids in Medium VLDL percentage
XL-VLDL-C%,0.93 [0.92-0.95],7.011e-06,***,Cholesterol to Total-Lipids in Very Large VLDL percentage
XL-VLDL-CE%,0.93 [0.91-0.95],1.184e-06,***,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
IDL-FC%,0.93 [0.92-0.95],2.774e-08,***,Free Cholesterol to Total-Lipids in IDL percentage
XS-VLDL-FC%,0.93 [0.92-0.95],7.561e-09,***,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
XL-HDL-CE%,0.93 [0.91-0.94],8.085e-10,***,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
L-HDL-C%,0.93 [0.91-0.94],1.563e-09,***,Cholesterol to Total-Lipids in Large HDL percentage
S-HDL-CE%,0.92 [0.91-0.94],2.294e-11,***,Cholesteryl Esters to Total-Lipids in Small HDL percentage
S-HDL-C%,0.92 [0.91-0.94],1.768e-11,***,Cholesterol to Total-Lipids in Small HDL percentage
S-VLDL-PL%,0.92 [0.90-0.94],2.532e-11,***,Phospholipids to Total-Lipids in Small VLDL percentage
L-HDL-CE%,0.92 [0.90-0.94],3.117e-11,***,Cholesteryl Esters to Total-Lipids in Large HDL percentage
S-LDL-FC%,0.92 [0.91-0.94],2.120e-13,***,Free Cholesterol to Total-Lipids in Small LDL percentage
S-VLDL-FC%,0.92 [0.90-0.94],8.694e-12,***,Free Cholesterol to Total-Lipids in Small VLDL percentage
M-HDL-CE%,0.92 [0.90-0.94],5.208e-13,***,Cholesteryl Esters to Total-Lipids in Medium HDL percentage
LA%,0.92 [0.90-0.94],7.055e-12,***,Linoleic Acid to Total-Fatty Acids percentage
M-LDL-FC%,0.92 [0.90-0.94],4.208e-13,***,Free Cholesterol to Total-Lipids in Medium LDL percentage
IDL-CE%,0.92 [0.90-0.93],6.215e-15,***,Cholesteryl Esters to Total-Lipids in IDL percentage
L-LDL-C%,0.92 [0.90-0.93],5.079e-14,***,Cholesterol to Total-Lipids in Large LDL percentage
M-LDL-C%,0.91 [0.90-0.93],1.290e-16,***,Cholesterol to Total-Lipids in Medium LDL percentage
M-HDL-C%,0.91 [0.90-0.93],1.081e-14,***,Cholesterol to Total-Lipids in Medium HDL percentage
Omega-6%,0.91 [0.90-0.93],5.144e-15,***,Omega-6 Fatty Acids to Total-Fatty Acids percentage
S-LDL-C%,0.91 [0.90-0.93],7.125e-16,***,Cholesterol to Total-Lipids in Small LDL percentage
Unsaturation,0.91 [0.89-0.93],7.471e-14,***,Degree of Unsaturation
L-LDL-FC%,0.91 [0.89-0.93],1.833e-16,***,Free Cholesterol to Total-Lipids in Large LDL percentage
XS-VLDL-CE%,0.91 [0.89-0.93],3.823e-16,***,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
XS-VLDL-C%,0.91 [0.89-0.93],1.355e-16,***,Cholesterol to Total-Lipids in Very Small VLDL percentage
IDL-C%,0.91 [0.89-0.92],7.074e-21,***,Cholesterol to Total-Lipids in IDL percentage
PUFA%,0.91 [0.89-0.92],5.312e-18,***,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
PUFA/MUFA,0.89 [0.88-0.91],2.212e-21,***,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
