Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-LDL-TG%,1.08 [1.03-1.15],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
SFA%,1.03 [0.97-1.09],1.000,,Saturated Fatty Acids to Total-Fatty Acids percentage
MUFA,1.03 [0.97-1.09],1.000,,Monounsaturated Fatty Acids
SFA,1.02 [0.96-1.08],1.000,,Saturated Fatty Acids
Total-FA,1.01 [0.96-1.07],1.000,,Total-Fatty Acids
VLDL-CE,0.99 [0.94-1.05],1.000,,Cholesteryl Esters in VLDL
LA%,0.96 [0.91-1.02],1.000,,Linoleic Acid to Total-Fatty Acids percentage
DHA%,0.96 [0.90-1.02],1.000,,Docosahexaenoic Acid to Total-Fatty Acids percentage
PUFA/MUFA,0.95 [0.90-1.01],1.000,,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
M-LDL-FC%,0.95 [0.89-1.00],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
