Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
HDL-FC,1.11 [0.95-1.30],1.000,,Free Cholesterol in HDL
Unsaturation,1.10 [0.94-1.29],1.000,,Degree of Unsaturation
Creatinine,1.06 [0.90-1.26],1.000,,Creatinine
M-LDL-FC%,1.01 [0.86-1.18],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
PUFA,1.01 [0.87-1.17],1.000,,Polyunsaturated Fatty Acids
Phe,0.98 [0.85-1.13],1.000,,Phenylalanine
M-LDL-PL%,0.98 [0.85-1.13],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
M-HDL-PL%,0.96 [0.81-1.13],1.000,,Phospholipids to Total-Lipids in Medium HDL percentage
M-LDL-CE%,0.94 [0.82-1.09],1.000,,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
M-LDL-C%,0.93 [0.81-1.07],1.000,,Cholesterol to Total-Lipids in Medium LDL percentage
