Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
IDL-PL%,1.12 [1.08-1.15],5.316e-07,***,Phospholipids to Total-Lipids in IDL percentage
XS-VLDL-PL%,1.11 [1.08-1.15],4.015e-05,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
L-LDL-TG%,1.11 [1.07-1.14],2.461e-05,***,Triglycerides to Total-Lipids in Large LDL percentage
IDL-TG%,1.11 [1.07-1.14],2.666e-05,***,Triglycerides to Total-Lipids in IDL percentage
M-LDL-TG%,1.10 [1.07-1.14],7.314e-05,***,Triglycerides to Total-Lipids in Medium LDL percentage
M-LDL-C%,0.92 [0.90-0.95],0.023,*,Cholesterol to Total-Lipids in Medium LDL percentage
M-VLDL-L,0.92 [0.89-0.95],0.042,*,Total-Lipids in Medium VLDL
VLDL-C,0.92 [0.89-0.95],0.027,*,VLDL Cholesterol
S-VLDL-PL%,0.92 [0.89-0.95],0.043,*,Phospholipids to Total-Lipids in Small VLDL percentage
VLDL-CE,0.92 [0.89-0.95],0.012,*,Cholesteryl Esters in VLDL
M-VLDL-P,0.91 [0.89-0.94],0.006,**,Concentration of Medium VLDL Particles
LA,0.91 [0.89-0.94],0.004,**,Linoleic Acid
Total-PL,0.91 [0.89-0.94],0.012,*,Total-Phospholipids in Lipoprotein Particles
M-VLDL-PL,0.91 [0.89-0.94],0.003,**,Phospholipids in Medium VLDL
S-VLDL-FC,0.91 [0.89-0.94],0.003,**,Free Cholesterol in Small VLDL
L-LDL-C%,0.91 [0.88-0.94],0.001,**,Cholesterol to Total-Lipids in Large LDL percentage
Omega-6,0.91 [0.88-0.94],0.002,**,Omega-6 Fatty Acids
Val,0.91 [0.88-0.94],0.021,*,Valine
M-VLDL-FC,0.91 [0.88-0.94],9.649e-04,***,Free Cholesterol in Medium VLDL
M-VLDL-C,0.91 [0.88-0.93],6.145e-05,***,Cholesterol in Medium VLDL
PUFA,0.91 [0.88-0.93],1.897e-04,***,Polyunsaturated Fatty Acids
Total-L,0.91 [0.88-0.93],5.810e-05,***,Total-Lipids in Lipoprotein Particles
M-VLDL-CE,0.90 [0.88-0.93],6.061e-05,***,Cholesteryl Esters in Medium VLDL
IDL-PL,0.90 [0.88-0.93],8.604e-05,***,Phospholipids in IDL
L-LDL-P,0.90 [0.88-0.93],4.816e-05,***,Concentration of Large LDL Particles
