Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-LDL-TG%,1.08 [1.02-1.14],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
SFA%,1.07 [1.02-1.13],1.000,,Saturated Fatty Acids to Total-Fatty Acids percentage
MUFA,1.04 [0.98-1.09],1.000,,Monounsaturated Fatty Acids
SFA,1.03 [0.98-1.09],1.000,,Saturated Fatty Acids
Total-FA,1.01 [0.96-1.07],1.000,,Total-Fatty Acids
ApoB,0.95 [0.90-1.00],1.000,,Apolipoprotein B
LDL-C,0.94 [0.89-0.99],1.000,,LDL Cholesterol
Clinical LDL-C,0.94 [0.89-0.99],1.000,,Clinical LDL Cholesterol
M-LDL-FC%,0.94 [0.89-0.99],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
ApoB/ApoA1,0.94 [0.89-0.99],1.000,,Apolipoprotein B to Apolipoprotein A1 ratio
