Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
L-HDL-PL%,1.07 [1.02-1.13],1.000,,Phospholipids to Total-Lipids in Large HDL percentage
IDL-TG%,1.07 [1.01-1.12],1.000,,Triglycerides to Total-Lipids in IDL percentage
M-LDL-PL%,1.03 [0.98-1.08],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
IDL-PL%,1.03 [0.98-1.08],1.000,,Phospholipids to Total-Lipids in IDL percentage
XS-VLDL-TG,1.02 [0.98-1.08],1.000,,Triglycerides in Very Small VLDL
M-LDL-FC%,0.98 [0.93-1.03],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
VLDL-C,0.97 [0.92-1.02],1.000,,VLDL Cholesterol
Remnant-C,0.97 [0.92-1.01],1.000,,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
Non-HDL-C,0.95 [0.91-1.00],1.000,,Total-Cholesterol Minus HDL-C
Total-C,0.95 [0.90-1.00],1.000,,Total-Cholesterol
