Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
IDL-TG%,1.30 [1.25-1.34],1.710e-40,***,Triglycerides to Total-Lipids in IDL percentage
L-LDL-TG%,1.30 [1.25-1.34],9.922e-41,***,Triglycerides to Total-Lipids in Large LDL percentage
XS-VLDL-TG%,1.28 [1.23-1.33],3.187e-34,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
M-LDL-TG%,1.27 [1.23-1.32],1.645e-39,***,Triglycerides to Total-Lipids in Medium LDL percentage
MUFA%,1.27 [1.22-1.32],1.507e-28,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
S-LDL-TG%,1.26 [1.21-1.30],1.173e-32,***,Triglycerides to Total-Lipids in Small LDL percentage
GlycA,1.23 [1.19-1.28],4.292e-24,***,Glycoprotein Acetyls
S-VLDL-TG%,1.23 [1.19-1.27],2.559e-24,***,Triglycerides to Total-Lipids in Small VLDL percentage
M-VLDL-TG%,1.23 [1.18-1.27],1.071e-23,***,Triglycerides to Total-Lipids in Medium VLDL percentage
XS-VLDL-PL%,1.20 [1.16-1.25],7.776e-19,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
L-HDL-PL%,1.19 [1.14-1.23],3.619e-12,***,Phospholipids to Total-Lipids in Large HDL percentage
S-HDL-TG%,1.18 [1.14-1.22],7.607e-14,***,Triglycerides to Total-Lipids in Small HDL percentage
XL-HDL-TG%,1.18 [1.13-1.22],3.015e-12,***,Triglycerides to Total-Lipids in Very Large HDL percentage
L-HDL-TG%,1.17 [1.13-1.22],4.540e-11,***,Triglycerides to Total-Lipids in Large HDL percentage
TG/PG,1.17 [1.13-1.22],3.445e-11,***,Triglycerides to Phosphoglycerides ratio
M-HDL-PL%,1.17 [1.12-1.21],2.435e-10,***,Phospholipids to Total-Lipids in Medium HDL percentage
XL-VLDL-TG%,1.17 [1.12-1.21],3.429e-11,***,Triglycerides to Total-Lipids in Very Large VLDL percentage
S-HDL-TG,1.16 [1.12-1.20],1.740e-12,***,Triglycerides in Small HDL
M-HDL-TG%,1.15 [1.11-1.20],1.833e-09,***,Triglycerides to Total-Lipids in Medium HDL percentage
HDL-TG,1.14 [1.10-1.18],1.211e-09,***,Triglycerides in HDL
XS-VLDL-TG,1.14 [1.10-1.18],2.529e-09,***,Triglycerides in Very Small VLDL
XXL-VLDL-P,1.14 [1.10-1.18],7.321e-08,***,Concentration of Chylomicrons and Extremely Large VLDL Particles
XXL-VLDL-PL,1.14 [1.10-1.18],7.940e-08,***,Phospholipids in Chylomicrons and Extremely Large VLDL
S-LDL-TG,1.14 [1.10-1.18],6.515e-08,***,Triglycerides in Small LDL
M-HDL-TG,1.14 [1.10-1.17],4.992e-09,***,Triglycerides in Medium HDL
XL-VLDL-TG,1.13 [1.09-1.18],6.682e-07,***,Triglycerides in Very Large VLDL
M-LDL-TG,1.13 [1.10-1.17],1.476e-07,***,Triglycerides in Medium LDL
XXL-VLDL-L,1.13 [1.09-1.17],1.574e-06,***,Total-Lipids in Chylomicrons and Extremely Large VLDL
XXL-VLDL-TG,1.13 [1.09-1.17],2.636e-06,***,Triglycerides in Chylomicrons and Extremely Large VLDL
S-VLDL-TG,1.13 [1.09-1.17],3.794e-07,***,Triglycerides in Small VLDL
XXL-VLDL-FC,1.13 [1.09-1.17],2.131e-06,***,Free Cholesterol in Chylomicrons and Extremely Large VLDL
MUFA,1.13 [1.09-1.17],3.303e-05,***,Monounsaturated Fatty Acids
Total-TG,1.13 [1.09-1.17],8.812e-06,***,Total-Triglycerides
LDL-TG,1.13 [1.09-1.17],2.040e-06,***,Triglycerides in LDL
XXL-VLDL-C,1.13 [1.09-1.17],7.362e-06,***,Cholesterol in Chylomicrons and Extremely Large VLDL
IDL-TG,1.12 [1.08-1.16],4.655e-06,***,Triglycerides in IDL
XXL-VLDL-CE,1.12 [1.08-1.16],3.161e-05,***,Cholesteryl Esters in Chylomicrons and Extremely Large VLDL
L-LDL-TG,1.12 [1.08-1.16],2.174e-05,***,Triglycerides in Large LDL
VLDL-TG,1.12 [1.08-1.16],1.635e-04,***,Triglycerides in VLDL
VLDL-size,1.12 [1.08-1.16],0.001,**,Average Diameter for VLDL Particles
XL-VLDL-P,1.12 [1.08-1.16],1.708e-04,***,Concentration of Very Large VLDL Particles
XL-VLDL-L,1.11 [1.07-1.15],0.001,**,Total-Lipids in Very Large VLDL
IDL-PL%,1.11 [1.07-1.15],5.526e-04,***,Phospholipids to Total-Lipids in IDL percentage
S-HDL-PL%,1.11 [1.07-1.15],0.004,**,Phospholipids to Total-Lipids in Small HDL percentage
L-VLDL-PL%,1.11 [1.07-1.14],0.002,**,Phospholipids to Total-Lipids in Large VLDL percentage
