Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
IDL-PL%,1.22 [1.03-1.45],1.000,,Phospholipids to Total-Lipids in IDL percentage
M-LDL-TG%,1.19 [1.00-1.41],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
XXL-VLDL-PL,1.04 [0.87-1.25],1.000,,Phospholipids in Chylomicrons and Extremely Large VLDL
XXL-VLDL-TG,1.03 [0.86-1.25],1.000,,Triglycerides in Chylomicrons and Extremely Large VLDL
TG/PG,1.01 [0.83-1.23],1.000,,Triglycerides to Phosphoglycerides ratio
VLDL-C,0.93 [0.78-1.11],1.000,,VLDL Cholesterol
HDL-CE,0.91 [0.75-1.10],1.000,,Cholesteryl Esters in HDL
M-LDL-FC%,0.88 [0.73-1.05],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
Total-C,0.84 [0.70-1.01],1.000,,Total-Cholesterol
Citrate,0.57 [0.47-0.69],0.003,**,Citrate
