Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
Creatinine,1.73 [1.62-1.85],1.841e-51,***,Creatinine
XS-VLDL-TG%,1.67 [1.55-1.80],4.135e-36,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
L-LDL-TG%,1.62 [1.51-1.74],2.168e-35,***,Triglycerides to Total-Lipids in Large LDL percentage
IDL-TG%,1.61 [1.50-1.73],1.373e-34,***,Triglycerides to Total-Lipids in IDL percentage
XL-VLDL-TG%,1.60 [1.46-1.76],2.026e-17,***,Triglycerides to Total-Lipids in Very Large VLDL percentage
MUFA%,1.59 [1.46-1.72],2.049e-23,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
M-LDL-TG%,1.56 [1.46-1.67],5.500e-33,***,Triglycerides to Total-Lipids in Medium LDL percentage
M-VLDL-TG%,1.54 [1.43-1.66],8.748e-24,***,Triglycerides to Total-Lipids in Medium VLDL percentage
S-LDL-TG%,1.53 [1.43-1.64],3.331e-28,***,Triglycerides to Total-Lipids in Small LDL percentage
S-VLDL-TG%,1.53 [1.42-1.66],1.067e-21,***,Triglycerides to Total-Lipids in Small VLDL percentage
L-HDL-PL%,1.52 [1.42-1.63],2.854e-25,***,Phospholipids to Total-Lipids in Large HDL percentage
GlycA,1.47 [1.36-1.59],1.675e-17,***,Glycoprotein Acetyls
XL-HDL-TG%,1.46 [1.36-1.57],1.718e-18,***,Triglycerides to Total-Lipids in Very Large HDL percentage
TG/PG,1.39 [1.29-1.50],7.138e-12,***,Triglycerides to Phosphoglycerides ratio
L-HDL-TG%,1.39 [1.28-1.50],6.359e-11,***,Triglycerides to Total-Lipids in Large HDL percentage
S-HDL-TG%,1.38 [1.28-1.49],3.684e-11,***,Triglycerides to Total-Lipids in Small HDL percentage
XS-VLDL-PL%,1.38 [1.28-1.48],2.544e-12,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
M-HDL-PL%,1.37 [1.27-1.47],8.756e-11,***,Phospholipids to Total-Lipids in Medium HDL percentage
S-HDL-TG,1.36 [1.27-1.45],3.292e-13,***,Triglycerides in Small HDL
VLDL-size,1.32 [1.22-1.43],1.048e-06,***,Average Diameter for VLDL Particles
M-HDL-TG%,1.30 [1.20-1.41],9.638e-06,***,Triglycerides to Total-Lipids in Medium HDL percentage
XXL-VLDL-TG,1.30 [1.22-1.39],2.835e-09,***,Triglycerides in Chylomicrons and Extremely Large VLDL
XXL-VLDL-PL,1.30 [1.22-1.39],1.777e-09,***,Phospholipids in Chylomicrons and Extremely Large VLDL
XXL-VLDL-L,1.30 [1.21-1.39],2.388e-08,***,Total-Lipids in Chylomicrons and Extremely Large VLDL
XXL-VLDL-P,1.30 [1.22-1.38],1.797e-09,***,Concentration of Chylomicrons and Extremely Large VLDL Particles
XL-VLDL-TG,1.30 [1.21-1.39],2.340e-08,***,Triglycerides in Very Large VLDL
S-LDL-TG,1.28 [1.20-1.37],2.585e-08,***,Triglycerides in Small LDL
M-LDL-TG,1.28 [1.20-1.36],4.067e-08,***,Triglycerides in Medium LDL
SFA%,1.28 [1.18-1.38],1.700e-04,***,Saturated Fatty Acids to Total-Fatty Acids percentage
XXL-VLDL-FC,1.28 [1.19-1.36],2.529e-07,***,Free Cholesterol in Chylomicrons and Extremely Large VLDL
XL-HDL-FC%,1.27 [1.17-1.38],0.003,**,Free Cholesterol to Total-Lipids in Very Large HDL percentage
Total-TG,1.27 [1.18-1.36],3.337e-05,***,Total-Triglycerides
S-VLDL-TG,1.26 [1.18-1.35],6.577e-06,***,Triglycerides in Small VLDL
MUFA,1.26 [1.17-1.36],6.745e-04,***,Monounsaturated Fatty Acids
XS-VLDL-TG,1.26 [1.18-1.35],1.386e-06,***,Triglycerides in Very Small VLDL
VLDL-TG,1.26 [1.17-1.35],1.100e-04,***,Triglycerides in VLDL
LDL-TG,1.25 [1.17-1.34],1.136e-05,***,Triglycerides in LDL
HDL-TG,1.25 [1.17-1.34],5.215e-05,***,Triglycerides in HDL
XXL-VLDL-C,1.25 [1.16-1.33],7.498e-05,***,Cholesterol in Chylomicrons and Extremely Large VLDL
M-HDL-TG,1.24 [1.16-1.33],1.037e-04,***,Triglycerides in Medium HDL
XL-VLDL-L,1.24 [1.16-1.33],5.509e-04,***,Total-Lipids in Very Large VLDL
XL-VLDL-P,1.24 [1.16-1.33],1.663e-04,***,Concentration of Very Large VLDL Particles
L-LDL-TG,1.23 [1.15-1.31],5.584e-04,***,Triglycerides in Large LDL
Phe,1.23 [1.15-1.31],9.584e-04,***,Phenylalanine
XXL-VLDL-CE,1.22 [1.14-1.30],0.007,**,Cholesteryl Esters in Chylomicrons and Extremely Large VLDL
XL-VLDL-PL,1.20 [1.12-1.29],0.043,*,Phospholipids in Very Large VLDL
IDL-TG,1.20 [1.12-1.28],0.028,*,Triglycerides in IDL
LDL-CE,0.82 [0.77-0.88],0.025,*,Cholesteryl Esters in LDL
LDL-L,0.82 [0.76-0.88],0.011,*,Total-Lipids in LDL
ApoB,0.82 [0.76-0.88],0.010,*,Apolipoprotein B
L-LDL-P,0.82 [0.76-0.88],0.011,*,Concentration of Large LDL Particles
XL-HDL-CE%,0.81 [0.76-0.88],0.007,**,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
LDL-PL,0.81 [0.75-0.87],0.001,**,Phospholipids in LDL
S-HDL-CE%,0.80 [0.75-0.86],1.815e-04,***,Cholesteryl Esters to Total-Lipids in Small HDL percentage
XL-HDL-PL%,0.80 [0.75-0.86],1.670e-04,***,Phospholipids to Total-Lipids in Very Large HDL percentage
L-LDL-CE,0.80 [0.75-0.86],4.705e-04,***,Cholesteryl Esters in Large LDL
LDL-C,0.80 [0.75-0.86],1.863e-04,***,LDL Cholesterol
Remnant-C,0.80 [0.75-0.86],1.118e-04,***,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
Non-HDL-C,0.80 [0.74-0.85],5.623e-05,***,Total-Cholesterol Minus HDL-C
SM,0.80 [0.74-0.86],0.001,**,Sphingomyelins
L-LDL-L,0.80 [0.74-0.85],9.744e-05,***,Total-Lipids in Large LDL
Gly,0.80 [0.74-0.86],6.936e-04,***,Glycine
HDL-C,0.79 [0.73-0.86],0.010,*,HDL Cholesterol
HDL-CE,0.79 [0.73-0.86],0.007,**,Cholesteryl Esters in HDL
L-HDL-PL,0.79 [0.72-0.86],0.031,*,Phospholipids in Large HDL
M-LDL-FC,0.79 [0.73-0.84],1.902e-05,***,Free Cholesterol in Medium LDL
M-HDL-CE%,0.78 [0.73-0.84],1.051e-06,***,Cholesteryl Esters to Total-Lipids in Medium HDL percentage
Total-FC,0.78 [0.73-0.84],3.942e-06,***,Total-Free Cholesterol
L-LDL-C,0.78 [0.73-0.84],2.847e-06,***,Cholesterol in Large LDL
L-LDL-PL,0.77 [0.72-0.83],7.326e-07,***,Phospholipids in Large LDL
XXL-VLDL-CE%,0.77 [0.72-0.83],3.326e-06,***,Cholesteryl Esters to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
S-LDL-FC,0.77 [0.72-0.83],1.472e-07,***,Free Cholesterol in Small LDL
XS-VLDL-C,0.77 [0.71-0.82],1.525e-07,***,Cholesterol in Very Small VLDL
Clinical LDL-C,0.77 [0.72-0.82],8.912e-09,***,Clinical LDL Cholesterol
S-HDL-C%,0.77 [0.71-0.82],3.251e-08,***,Cholesterol to Total-Lipids in Small HDL percentage
Total-C,0.77 [0.71-0.82],6.647e-08,***,Total-Cholesterol
M-VLDL-C,0.77 [0.71-0.82],9.822e-08,***,Cholesterol in Medium VLDL
Total-CE,0.76 [0.71-0.82],2.458e-08,***,Total-Esterified Cholesterol
IDL-P,0.76 [0.71-0.82],8.995e-09,***,Concentration of IDL Particles
IDL-FC%,0.76 [0.71-0.81],1.076e-09,***,Free Cholesterol to Total-Lipids in IDL percentage
XXL-VLDL-C%,0.76 [0.70-0.82],6.684e-06,***,Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
M-HDL-C%,0.75 [0.70-0.81],4.115e-10,***,Cholesterol to Total-Lipids in Medium HDL percentage
LDL-FC,0.75 [0.70-0.80],3.995e-10,***,Free Cholesterol in LDL
HDL-size,0.75 [0.68-0.82],7.711e-05,***,Average Diameter for HDL Particles
L-HDL-L,0.75 [0.68-0.81],2.323e-05,***,Total-Lipids in Large HDL
S-VLDL-CE%,0.74 [0.70-0.79],9.859e-14,***,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
