Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
L-LDL-TG%,1.15 [1.14-1.17],8.933e-73,***,Triglycerides to Total-Lipids in Large LDL percentage
IDL-TG%,1.14 [1.12-1.16],1.232e-62,***,Triglycerides to Total-Lipids in IDL percentage
MUFA%,1.14 [1.12-1.16],1.845e-52,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
GlycA,1.14 [1.12-1.15],2.105e-57,***,Glycoprotein Acetyls
M-LDL-TG%,1.13 [1.11-1.15],2.711e-58,***,Triglycerides to Total-Lipids in Medium LDL percentage
L-HDL-PL%,1.13 [1.11-1.14],1.526e-41,***,Phospholipids to Total-Lipids in Large HDL percentage
XS-VLDL-TG%,1.12 [1.10-1.13],1.460e-42,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
M-HDL-PL%,1.12 [1.10-1.13],2.320e-38,***,Phospholipids to Total-Lipids in Medium HDL percentage
S-LDL-TG%,1.11 [1.09-1.12],4.158e-39,***,Triglycerides to Total-Lipids in Small LDL percentage
XS-VLDL-PL%,1.10 [1.09-1.12],1.318e-33,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
S-VLDL-TG%,1.09 [1.07-1.11],1.135e-26,***,Triglycerides to Total-Lipids in Small VLDL percentage
M-VLDL-TG%,1.09 [1.07-1.11],3.202e-25,***,Triglycerides to Total-Lipids in Medium VLDL percentage
S-HDL-TG%,1.08 [1.06-1.10],1.586e-19,***,Triglycerides to Total-Lipids in Small HDL percentage
SFA%,1.08 [1.06-1.10],3.196e-17,***,Saturated Fatty Acids to Total-Fatty Acids percentage
L-HDL-TG%,1.08 [1.06-1.09],3.174e-15,***,Triglycerides to Total-Lipids in Large HDL percentage
XL-HDL-TG%,1.07 [1.06-1.09],1.857e-13,***,Triglycerides to Total-Lipids in Very Large HDL percentage
M-HDL-TG%,1.07 [1.06-1.09],1.001e-14,***,Triglycerides to Total-Lipids in Medium HDL percentage
TG/PG,1.07 [1.05-1.09],6.312e-12,***,Triglycerides to Phosphoglycerides ratio
XL-VLDL-TG%,1.07 [1.05-1.08],6.817e-14,***,Triglycerides to Total-Lipids in Very Large VLDL percentage
S-HDL-TG,1.07 [1.05-1.08],3.991e-13,***,Triglycerides in Small HDL
XL-HDL-FC%,1.06 [1.04-1.08],6.124e-06,***,Free Cholesterol to Total-Lipids in Very Large HDL percentage
S-HDL-PL%,1.06 [1.04-1.07],8.908e-09,***,Phospholipids to Total-Lipids in Small HDL percentage
XS-VLDL-TG,1.06 [1.04-1.07],6.825e-09,***,Triglycerides in Very Small VLDL
Lactate,1.06 [1.04-1.07],1.110e-08,***,Lactate
M-HDL-TG,1.05 [1.04-1.07],2.759e-08,***,Triglycerides in Medium HDL
IDL-TG,1.05 [1.04-1.07],2.054e-07,***,Triglycerides in IDL
HDL-TG,1.05 [1.04-1.07],6.644e-07,***,Triglycerides in HDL
XXL-VLDL-P,1.05 [1.04-1.07],1.554e-05,***,Concentration of Chylomicrons and Extremely Large VLDL Particles
L-LDL-TG,1.05 [1.04-1.07],2.175e-06,***,Triglycerides in Large LDL
XXL-VLDL-PL,1.05 [1.04-1.07],1.457e-05,***,Phospholipids in Chylomicrons and Extremely Large VLDL
LDL-TG,1.05 [1.04-1.07],5.703e-06,***,Triglycerides in LDL
XXL-VLDL-TG,1.05 [1.03-1.07],4.869e-05,***,Triglycerides in Chylomicrons and Extremely Large VLDL
L-VLDL-PL%,1.05 [1.03-1.06],2.431e-06,***,Phospholipids to Total-Lipids in Large VLDL percentage
M-LDL-TG,1.05 [1.03-1.06],3.786e-05,***,Triglycerides in Medium LDL
XXL-VLDL-L,1.05 [1.03-1.06],1.527e-04,***,Total-Lipids in Chylomicrons and Extremely Large VLDL
MUFA,1.05 [1.03-1.06],5.668e-04,***,Monounsaturated Fatty Acids
XL-VLDL-TG,1.05 [1.03-1.06],9.100e-04,***,Triglycerides in Very Large VLDL
IDL-PL%,1.05 [1.03-1.06],9.471e-05,***,Phospholipids to Total-Lipids in IDL percentage
Omega-6/Omega-3,1.05 [1.03-1.06],0.001,**,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
S-LDL-TG,1.04 [1.03-1.06],0.001,**,Triglycerides in Small LDL
XXL-VLDL-FC,1.04 [1.03-1.06],0.002,**,Free Cholesterol in Chylomicrons and Extremely Large VLDL
Total-TG,1.04 [1.02-1.06],0.050,*,Total-Triglycerides
XXL-VLDL-C,1.04 [1.02-1.06],0.044,*,Cholesterol in Chylomicrons and Extremely Large VLDL
S-VLDL-TG,1.04 [1.02-1.05],0.038,*,Triglycerides in Small VLDL
M-VLDL-PL,0.96 [0.95-0.98],0.018,*,Phospholipids in Medium VLDL
VLDL-CE,0.96 [0.95-0.97],0.005,**,Cholesteryl Esters in VLDL
HDL-P,0.96 [0.95-0.98],0.034,*,Concentration of HDL Particles
PC,0.96 [0.94-0.97],0.026,*,Phosphatidylcholines
L-HDL-PL,0.96 [0.94-0.97],0.019,*,Phospholipids in Large HDL
Val,0.96 [0.94-0.97],0.003,**,Valine
Glu,0.96 [0.94-0.97],5.524e-04,***,Glucose
XL-HDL-PL,0.96 [0.94-0.97],2.872e-04,***,Phospholipids in Very Large HDL
HDL-size,0.95 [0.94-0.97],0.002,**,Average Diameter for HDL Particles
S-VLDL-FC,0.95 [0.94-0.97],1.601e-05,***,Free Cholesterol in Small VLDL
HDL-FC,0.95 [0.94-0.97],3.237e-04,***,Free Cholesterol in HDL
