Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
ApoA1,1.15 [1.00-1.33],1.000,,Apolipoprotein A1
M-HDL-CE%,1.08 [0.93-1.25],1.000,,Cholesteryl Esters to Total-Lipids in Medium HDL percentage
M-HDL-FC%,1.08 [0.92-1.27],1.000,,Free Cholesterol to Total-Lipids in Medium HDL percentage
Gln,1.01 [0.88-1.16],1.000,,Glutamine
M-LDL-FC%,1.01 [0.87-1.17],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
Tyr,0.99 [0.87-1.13],1.000,,Tyrosine
M-LDL-PL%,0.94 [0.82-1.07],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
Ile,0.90 [0.78-1.04],1.000,,Isoleucine
Leu,0.87 [0.75-1.01],1.000,,Leucine
Total-BCAA,0.86 [0.74-0.99],1.000,,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
