Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
L-LDL-TG%,1.31 [1.25-1.36],3.439e-28,***,Triglycerides to Total-Lipids in Large LDL percentage
IDL-TG%,1.29 [1.24-1.35],8.633e-26,***,Triglycerides to Total-Lipids in IDL percentage
M-LDL-TG%,1.26 [1.21-1.32],6.015e-23,***,Triglycerides to Total-Lipids in Medium LDL percentage
L-HDL-PL%,1.24 [1.18-1.30],1.810e-14,***,Phospholipids to Total-Lipids in Large HDL percentage
M-HDL-PL%,1.23 [1.18-1.29],4.615e-14,***,Phospholipids to Total-Lipids in Medium HDL percentage
S-LDL-TG%,1.23 [1.18-1.28],2.389e-16,***,Triglycerides to Total-Lipids in Small LDL percentage
XS-VLDL-TG%,1.22 [1.17-1.28],1.499e-13,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
XS-VLDL-PL%,1.18 [1.13-1.24],1.559e-08,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
S-VLDL-TG%,1.18 [1.13-1.23],3.060e-08,***,Triglycerides to Total-Lipids in Small VLDL percentage
L-HDL-TG%,1.17 [1.12-1.23],6.050e-06,***,Triglycerides to Total-Lipids in Large HDL percentage
M-VLDL-TG%,1.17 [1.12-1.22],1.081e-06,***,Triglycerides to Total-Lipids in Medium VLDL percentage
S-HDL-TG%,1.16 [1.11-1.21],4.108e-06,***,Triglycerides to Total-Lipids in Small HDL percentage
M-HDL-TG%,1.16 [1.11-1.21],2.855e-05,***,Triglycerides to Total-Lipids in Medium HDL percentage
XL-HDL-TG%,1.16 [1.10-1.21],1.004e-04,***,Triglycerides to Total-Lipids in Very Large HDL percentage
S-HDL-PL%,1.15 [1.10-1.21],1.091e-04,***,Phospholipids to Total-Lipids in Small HDL percentage
Creatinine,1.15 [1.09-1.21],0.011,*,Creatinine
MUFA%,1.15 [1.10-1.21],0.003,**,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
XS-VLDL-TG,1.15 [1.10-1.19],4.502e-06,***,Triglycerides in Very Small VLDL
S-HDL-TG,1.15 [1.10-1.19],2.480e-05,***,Triglycerides in Small HDL
M-HDL-TG,1.14 [1.10-1.19],1.576e-05,***,Triglycerides in Medium HDL
SFA%,1.14 [1.09-1.19],0.007,**,Saturated Fatty Acids to Total-Fatty Acids percentage
HDL-TG,1.14 [1.09-1.18],1.435e-04,***,Triglycerides in HDL
IDL-TG,1.14 [1.09-1.18],1.173e-04,***,Triglycerides in IDL
IDL-PL%,1.12 [1.08-1.17],0.017,*,Phospholipids to Total-Lipids in IDL percentage
L-LDL-TG,1.12 [1.07-1.17],0.018,*,Triglycerides in Large LDL
LDL-TG,1.12 [1.07-1.16],0.046,*,Triglycerides in LDL
L-LDL-CE,0.89 [0.85-0.93],0.029,*,Cholesteryl Esters in Large LDL
S-VLDL-CE%,0.89 [0.85-0.93],0.006,**,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
IDL-L,0.89 [0.85-0.93],0.020,*,Total-Lipids in IDL
L-LDL-L,0.89 [0.85-0.93],0.015,*,Total-Lipids in Large LDL
LDL-PL,0.89 [0.85-0.93],0.009,**,Phospholipids in LDL
LDL-C,0.88 [0.85-0.92],0.003,**,LDL Cholesterol
Total-C,0.88 [0.85-0.92],0.007,**,Total-Cholesterol
L-LDL-PL,0.88 [0.84-0.92],6.439e-04,***,Phospholipids in Large LDL
L-LDL-C,0.88 [0.84-0.92],9.514e-04,***,Cholesterol in Large LDL
Total-CE,0.88 [0.84-0.92],0.002,**,Total-Esterified Cholesterol
M-VLDL-PL%,0.88 [0.84-0.91],1.994e-04,***,Phospholipids to Total-Lipids in Medium VLDL percentage
M-VLDL-CE,0.88 [0.84-0.91],1.498e-04,***,Cholesteryl Esters in Medium VLDL
IDL-CE,0.87 [0.83-0.91],3.773e-05,***,Cholesteryl Esters in IDL
IDL-FC,0.87 [0.83-0.91],3.068e-05,***,Free Cholesterol in IDL
