Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
L-LDL-TG%,1.21 [1.18-1.24],1.624e-47,***,Triglycerides to Total-Lipids in Large LDL percentage
IDL-TG%,1.21 [1.18-1.24],2.297e-46,***,Triglycerides to Total-Lipids in IDL percentage
L-HDL-PL%,1.20 [1.17-1.23],6.355e-37,***,Phospholipids to Total-Lipids in Large HDL percentage
XS-VLDL-TG%,1.19 [1.16-1.22],1.234e-35,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
M-LDL-TG%,1.18 [1.15-1.21],7.606e-39,***,Triglycerides to Total-Lipids in Medium LDL percentage
S-LDL-TG%,1.17 [1.14-1.19],1.396e-30,***,Triglycerides to Total-Lipids in Small LDL percentage
M-VLDL-TG%,1.15 [1.12-1.18],7.478e-25,***,Triglycerides to Total-Lipids in Medium VLDL percentage
M-HDL-PL%,1.15 [1.12-1.18],1.028e-21,***,Phospholipids to Total-Lipids in Medium HDL percentage
S-VLDL-TG%,1.15 [1.12-1.18],6.465e-25,***,Triglycerides to Total-Lipids in Small VLDL percentage
MUFA%,1.15 [1.12-1.18],9.219e-20,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
XL-HDL-TG%,1.12 [1.09-1.15],1.166e-13,***,Triglycerides to Total-Lipids in Very Large HDL percentage
XS-VLDL-PL%,1.12 [1.09-1.15],2.409e-14,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
L-HDL-TG%,1.11 [1.09-1.14],1.405e-10,***,Triglycerides to Total-Lipids in Large HDL percentage
S-HDL-TG,1.11 [1.09-1.14],2.162e-14,***,Triglycerides in Small HDL
XL-VLDL-TG%,1.11 [1.09-1.14],2.979e-12,***,Triglycerides to Total-Lipids in Very Large VLDL percentage
SFA%,1.11 [1.08-1.14],4.505e-10,***,Saturated Fatty Acids to Total-Fatty Acids percentage
M-HDL-TG,1.11 [1.08-1.13],1.571e-13,***,Triglycerides in Medium HDL
S-HDL-TG%,1.10 [1.08-1.13],6.372e-10,***,Triglycerides to Total-Lipids in Small HDL percentage
S-HDL-PL%,1.10 [1.07-1.13],1.253e-08,***,Phospholipids to Total-Lipids in Small HDL percentage
XS-VLDL-TG,1.10 [1.07-1.13],1.039e-10,***,Triglycerides in Very Small VLDL
HDL-TG,1.10 [1.07-1.13],1.242e-10,***,Triglycerides in HDL
M-HDL-TG%,1.10 [1.07-1.13],3.503e-08,***,Triglycerides to Total-Lipids in Medium HDL percentage
TG/PG,1.09 [1.07-1.12],4.663e-06,***,Triglycerides to Phosphoglycerides ratio
IDL-TG,1.09 [1.07-1.12],2.769e-08,***,Triglycerides in IDL
GlycA,1.09 [1.06-1.12],6.271e-06,***,Glycoprotein Acetyls
L-LDL-TG,1.09 [1.06-1.11],1.544e-06,***,Triglycerides in Large LDL
LDL-TG,1.08 [1.06-1.11],4.129e-06,***,Triglycerides in LDL
Creatinine,1.08 [1.05-1.11],0.023,*,Creatinine
M-LDL-TG,1.08 [1.06-1.11],2.802e-05,***,Triglycerides in Medium LDL
S-VLDL-TG,1.08 [1.06-1.11],2.361e-05,***,Triglycerides in Small VLDL
XL-VLDL-TG,1.08 [1.05-1.10],3.912e-04,***,Triglycerides in Very Large VLDL
MUFA,1.08 [1.05-1.11],0.002,**,Monounsaturated Fatty Acids
XXL-VLDL-P,1.08 [1.05-1.10],6.356e-04,***,Concentration of Chylomicrons and Extremely Large VLDL Particles
XXL-VLDL-PL,1.08 [1.05-1.10],7.401e-04,***,Phospholipids in Chylomicrons and Extremely Large VLDL
S-LDL-TG,1.08 [1.05-1.10],5.810e-04,***,Triglycerides in Small LDL
Total-TG,1.08 [1.05-1.10],0.001,**,Total-Triglycerides
S-HDL-PL,1.07 [1.05-1.10],0.005,**,Phospholipids in Small HDL
XXL-VLDL-TG,1.07 [1.04-1.10],0.016,*,Triglycerides in Chylomicrons and Extremely Large VLDL
XXL-VLDL-L,1.07 [1.04-1.10],0.015,*,Total-Lipids in Chylomicrons and Extremely Large VLDL
XXL-VLDL-FC,1.07 [1.04-1.10],0.015,*,Free Cholesterol in Chylomicrons and Extremely Large VLDL
XXL-VLDL-PL%,1.07 [1.04-1.09],0.016,*,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
L-LDL-PL%,0.94 [0.92-0.96],0.034,*,Phospholipids to Total-Lipids in Large LDL percentage
M-LDL-L,0.94 [0.92-0.96],0.027,*,Total-Lipids in Medium LDL
M-LDL-PL,0.94 [0.92-0.96],0.019,*,Phospholipids in Medium LDL
S-LDL-CE,0.94 [0.91-0.96],0.015,*,Cholesteryl Esters in Small LDL
S-LDL-P,0.93 [0.91-0.96],0.003,**,Concentration of Small LDL Particles
L-LDL-P,0.93 [0.91-0.95],0.001,**,Concentration of Large LDL Particles
XL-HDL-PL,0.93 [0.91-0.96],0.010,*,Phospholipids in Very Large HDL
M-LDL-C,0.93 [0.91-0.95],6.356e-04,***,Cholesterol in Medium LDL
LDL-P,0.93 [0.91-0.95],3.764e-04,***,Concentration of LDL Particles
M-LDL-P,0.93 [0.91-0.95],4.159e-04,***,Concentration of Medium LDL Particles
XS-VLDL-CE,0.93 [0.91-0.95],2.957e-04,***,Cholesteryl Esters in Very Small VLDL
S-LDL-L,0.93 [0.91-0.95],3.183e-04,***,Total-Lipids in Small LDL
ApoB,0.93 [0.91-0.95],1.319e-04,***,Apolipoprotein B
Citrate,0.93 [0.91-0.95],2.554e-04,***,Citrate
LA,0.93 [0.91-0.95],3.843e-04,***,Linoleic Acid
Remnant-C,0.93 [0.91-0.95],8.572e-05,***,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
S-HDL-FC%,0.93 [0.90-0.95],1.803e-04,***,Free Cholesterol to Total-Lipids in Small HDL percentage
LDL-CE,0.93 [0.90-0.95],5.119e-05,***,Cholesteryl Esters in LDL
S-LDL-PL,0.92 [0.90-0.95],1.257e-05,***,Phospholipids in Small LDL
L-HDL-C,0.92 [0.90-0.95],0.001,**,Cholesterol in Large HDL
LDL-L,0.92 [0.90-0.95],8.257e-06,***,Total-Lipids in LDL
L-HDL-CE,0.92 [0.90-0.95],3.563e-04,***,Cholesteryl Esters in Large HDL
S-LDL-C,0.92 [0.90-0.94],4.106e-06,***,Cholesterol in Small LDL
L-LDL-CE,0.92 [0.90-0.94],2.229e-06,***,Cholesteryl Esters in Large LDL
XL-HDL-L,0.92 [0.90-0.94],2.930e-05,***,Total-Lipids in Very Large HDL
Total-FC,0.92 [0.90-0.94],1.829e-06,***,Total-Free Cholesterol
Non-HDL-C,0.92 [0.90-0.94],7.456e-07,***,Total-Cholesterol Minus HDL-C
XL-HDL-P,0.92 [0.90-0.94],8.221e-06,***,Concentration of Very Large HDL Particles
LDL-PL,0.92 [0.90-0.94],2.552e-07,***,Phospholipids in LDL
L-LDL-L,0.92 [0.90-0.94],4.966e-07,***,Total-Lipids in Large LDL
IDL-PL,0.92 [0.90-0.94],1.647e-07,***,Phospholipids in IDL
L-VLDL-C%,0.92 [0.90-0.94],7.313e-08,***,Cholesterol to Total-Lipids in Large VLDL percentage
LDL-C,0.92 [0.89-0.94],8.109e-08,***,LDL Cholesterol
IDL-P,0.92 [0.89-0.94],8.234e-09,***,Concentration of IDL Particles
M-VLDL-C,0.91 [0.89-0.94],6.059e-09,***,Cholesterol in Medium VLDL
Total-C,0.91 [0.89-0.93],5.650e-08,***,Total-Cholesterol
L-LDL-C,0.91 [0.89-0.93],6.060e-09,***,Cholesterol in Large LDL
Total-CE,0.91 [0.89-0.93],2.934e-08,***,Total-Esterified Cholesterol
L-LDL-PL,0.91 [0.89-0.93],1.715e-09,***,Phospholipids in Large LDL
XL-HDL-FC,0.91 [0.89-0.93],2.040e-09,***,Free Cholesterol in Very Large HDL
IDL-L,0.91 [0.89-0.93],6.776e-10,***,Total-Lipids in IDL
