Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
Remnant-C,1.18 [0.97-1.44],1.000,,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
Non-HDL-C,1.18 [0.96-1.44],1.000,,Total-Cholesterol Minus HDL-C
LDL-C,1.15 [0.94-1.41],1.000,,LDL Cholesterol
M-LDL-FC%,1.11 [0.89-1.40],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
HDL-C,1.02 [0.82-1.27],1.000,,HDL Cholesterol
LA%,1.00 [0.80-1.24],1.000,,Linoleic Acid to Total-Fatty Acids percentage
PUFA/MUFA,0.96 [0.76-1.20],1.000,,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
Omega-3%,0.93 [0.76-1.15],1.000,,Omega-3 Fatty Acids to Total-Fatty Acids percentage
DHA%,0.89 [0.72-1.11],1.000,,Docosahexaenoic Acid to Total-Fatty Acids percentage
M-LDL-PL%,0.89 [0.74-1.08],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
