Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
XS-VLDL-PL%,1.17 [1.13-1.21],5.660e-12,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
M-HDL-PL%,1.15 [1.10-1.19],1.214e-06,***,Phospholipids to Total-Lipids in Medium HDL percentage
IDL-TG%,1.13 [1.09-1.18],5.192e-06,***,Triglycerides to Total-Lipids in IDL percentage
L-LDL-TG%,1.13 [1.09-1.18],8.892e-06,***,Triglycerides to Total-Lipids in Large LDL percentage
XL-HDL-FC%,1.13 [1.08-1.17],0.009,**,Free Cholesterol to Total-Lipids in Very Large HDL percentage
MUFA%,1.13 [1.08-1.17],9.080e-04,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
M-LDL-TG%,1.11 [1.07-1.15],0.002,**,Triglycerides to Total-Lipids in Medium LDL percentage
IDL-PL%,1.11 [1.07-1.14],0.003,**,Phospholipids to Total-Lipids in IDL percentage
LDL-FC,0.91 [0.88-0.94],0.038,*,Free Cholesterol in LDL
L-LDL-C,0.91 [0.88-0.94],0.046,*,Cholesterol in Large LDL
S-HDL-FC,0.91 [0.88-0.94],0.036,*,Free Cholesterol in Small HDL
Omega-6,0.91 [0.88-0.94],0.047,*,Omega-6 Fatty Acids
IDL-FC,0.91 [0.88-0.94],0.013,*,Free Cholesterol in IDL
XL-HDL-CE,0.91 [0.87-0.94],0.041,*,Cholesteryl Esters in Very Large HDL
L-LDL-FC,0.91 [0.87-0.94],0.008,**,Free Cholesterol in Large LDL
IDL-L,0.91 [0.87-0.94],0.012,*,Total-Lipids in IDL
Total-FC,0.90 [0.87-0.94],0.007,**,Total-Free Cholesterol
L-LDL-FC%,0.90 [0.87-0.94],0.015,*,Free Cholesterol to Total-Lipids in Large LDL percentage
SM,0.90 [0.87-0.93],0.005,**,Sphingomyelins
M-HDL-PL,0.90 [0.87-0.93],0.005,**,Phospholipids in Medium HDL
M-HDL-C%,0.90 [0.87-0.93],0.004,**,Cholesterol to Total-Lipids in Medium HDL percentage
IDL-C,0.90 [0.87-0.93],4.436e-04,***,Cholesterol in IDL
IDL-CE,0.90 [0.87-0.93],3.426e-04,***,Cholesteryl Esters in IDL
PUFA,0.90 [0.86-0.93],0.001,**,Polyunsaturated Fatty Acids
DHA,0.90 [0.86-0.93],0.002,**,Docosahexaenoic Acid
S-LDL-C%,0.90 [0.87-0.93],1.025e-04,***,Cholesterol to Total-Lipids in Small LDL percentage
Albumin,0.90 [0.86-0.93],1.308e-04,***,Albumin
PUFA/MUFA,0.89 [0.86-0.93],0.007,**,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
L-HDL-FC,0.89 [0.86-0.93],0.001,**,Free Cholesterol in Large HDL
M-LDL-C%,0.89 [0.86-0.92],1.020e-05,***,Cholesterol to Total-Lipids in Medium LDL percentage
Phosphoglyc,0.89 [0.86-0.93],4.764e-04,***,Phosphoglycerides
Total-PL,0.89 [0.86-0.92],1.801e-04,***,Total-Phospholipids in Lipoprotein Particles
L-HDL-PL,0.89 [0.86-0.92],5.475e-04,***,Phospholipids in Large HDL
XS-VLDL-C%,0.89 [0.86-0.92],3.128e-04,***,Cholesterol to Total-Lipids in Very Small VLDL percentage
Unsaturation,0.89 [0.86-0.92],2.280e-04,***,Degree of Unsaturation
M-HDL-L,0.89 [0.86-0.92],1.207e-04,***,Total-Lipids in Medium HDL
L-HDL-P,0.89 [0.85-0.92],1.845e-04,***,Concentration of Large HDL Particles
Total-C,0.89 [0.86-0.92],2.834e-05,***,Total-Cholesterol
PC,0.89 [0.85-0.92],9.101e-05,***,Phosphatidylcholines
M-HDL-P,0.89 [0.85-0.92],2.438e-05,***,Concentration of Medium HDL Particles
Cholines,0.88 [0.85-0.92],4.261e-05,***,Total-Cholines
L-HDL-CE,0.88 [0.85-0.92],9.534e-05,***,Cholesteryl Esters in Large HDL
L-HDL-C,0.88 [0.85-0.92],1.017e-04,***,Cholesterol in Large HDL
Total-CE,0.88 [0.85-0.92],6.094e-06,***,Total-Esterified Cholesterol
L-HDL-L,0.88 [0.85-0.92],1.086e-04,***,Total-Lipids in Large HDL
XS-VLDL-CE%,0.88 [0.85-0.92],3.753e-05,***,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
HDL-PL,0.88 [0.85-0.92],2.219e-05,***,Phospholipids in HDL
M-HDL-CE,0.88 [0.85-0.91],3.595e-06,***,Cholesteryl Esters in Medium HDL
M-HDL-FC,0.88 [0.85-0.91],2.803e-06,***,Free Cholesterol in Medium HDL
M-HDL-C,0.88 [0.85-0.91],1.942e-06,***,Cholesterol in Medium HDL
IDL-CE%,0.88 [0.85-0.91],1.110e-07,***,Cholesteryl Esters to Total-Lipids in IDL percentage
HDL-P,0.88 [0.84-0.91],2.855e-07,***,Concentration of HDL Particles
IDL-C%,0.87 [0.84-0.91],4.800e-08,***,Cholesterol to Total-Lipids in IDL percentage
ApoA1,0.87 [0.84-0.91],5.140e-07,***,Apolipoprotein A1
L-LDL-C%,0.87 [0.84-0.91],4.310e-07,***,Cholesterol to Total-Lipids in Large LDL percentage
Total-P,0.87 [0.84-0.91],8.031e-08,***,Total-Concentration of Lipoprotein Particles
HDL-FC,0.87 [0.84-0.90],3.040e-07,***,Free Cholesterol in HDL
HDL-L,0.87 [0.84-0.90],4.279e-07,***,Total-Lipids in HDL
HDL-CE,0.86 [0.83-0.90],7.450e-09,***,Cholesteryl Esters in HDL
HDL-C,0.86 [0.83-0.89],6.517e-09,***,HDL Cholesterol
M-HDL-FC%,0.85 [0.82-0.89],1.511e-09,***,Free Cholesterol to Total-Lipids in Medium HDL percentage
