Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
GlycA,1.36 [1.30-1.42],9.276e-36,***,Glycoprotein Acetyls
L-LDL-TG%,1.28 [1.22-1.34],2.588e-22,***,Triglycerides to Total-Lipids in Large LDL percentage
MUFA%,1.25 [1.19-1.31],1.194e-14,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
IDL-TG%,1.25 [1.20-1.31],4.478e-18,***,Triglycerides to Total-Lipids in IDL percentage
M-LDL-TG%,1.24 [1.19-1.29],3.384e-18,***,Triglycerides to Total-Lipids in Medium LDL percentage
M-HDL-PL%,1.23 [1.18-1.29],2.297e-13,***,Phospholipids to Total-Lipids in Medium HDL percentage
XS-VLDL-PL%,1.22 [1.17-1.28],4.211e-13,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
S-LDL-TG%,1.20 [1.15-1.25],2.459e-11,***,Triglycerides to Total-Lipids in Small LDL percentage
XS-VLDL-TG%,1.18 [1.13-1.23],2.802e-07,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
L-HDL-PL%,1.17 [1.12-1.23],1.162e-05,***,Phospholipids to Total-Lipids in Large HDL percentage
Phe,1.17 [1.12-1.22],1.859e-08,***,Phenylalanine
S-HDL-TG%,1.17 [1.12-1.22],2.332e-06,***,Triglycerides to Total-Lipids in Small HDL percentage
M-HDL-TG%,1.15 [1.10-1.21],2.292e-04,***,Triglycerides to Total-Lipids in Medium HDL percentage
S-VLDL-TG%,1.15 [1.10-1.20],3.996e-04,***,Triglycerides to Total-Lipids in Small VLDL percentage
S-HDL-PL%,1.14 [1.09-1.19],0.008,**,Phospholipids to Total-Lipids in Small HDL percentage
IDL-PL%,1.13 [1.09-1.18],0.002,**,Phospholipids to Total-Lipids in IDL percentage
M-VLDL-TG%,1.13 [1.08-1.18],0.023,*,Triglycerides to Total-Lipids in Medium VLDL percentage
XS-VLDL-TG,1.13 [1.08-1.17],0.003,**,Triglycerides in Very Small VLDL
IDL-TG,1.13 [1.08-1.17],0.005,**,Triglycerides in IDL
S-HDL-TG,1.12 [1.08-1.17],0.019,*,Triglycerides in Small HDL
S-VLDL-C%,0.89 [0.85-0.93],0.022,*,Cholesterol to Total-Lipids in Small VLDL percentage
LDL-C,0.89 [0.85-0.93],0.015,*,LDL Cholesterol
L-LDL-PL,0.89 [0.85-0.93],0.011,*,Phospholipids in Large LDL
M-VLDL-CE%,0.89 [0.85-0.93],0.019,*,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
IDL-FC,0.89 [0.85-0.92],0.011,*,Free Cholesterol in IDL
M-VLDL-C%,0.88 [0.85-0.92],0.012,*,Cholesterol to Total-Lipids in Medium VLDL percentage
Total-C,0.88 [0.84-0.92],0.010,**,Total-Cholesterol
L-LDL-C,0.88 [0.85-0.92],0.005,**,Cholesterol in Large LDL
Clinical LDL-C,0.88 [0.84-0.92],0.001,**,Clinical LDL Cholesterol
