Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
S-VLDL-TG%,1.61 [1.56-1.65],3.651e-255,***,Triglycerides to Total-Lipids in Small VLDL percentage
XS-VLDL-TG%,1.59 [1.55-1.63],4.793e-298,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
M-VLDL-TG%,1.59 [1.55-1.63],5.247e-252,***,Triglycerides to Total-Lipids in Medium VLDL percentage
IDL-TG%,1.55 [1.51-1.58],8.882e-303,***,Triglycerides to Total-Lipids in IDL percentage
XL-VLDL-TG%,1.50 [1.45-1.55],6.251e-115,***,Triglycerides to Total-Lipids in Very Large VLDL percentage
L-LDL-TG%,1.49 [1.46-1.53],1.231e-263,***,Triglycerides to Total-Lipids in Large LDL percentage
M-LDL-TG%,1.47 [1.44-1.50],7.754e-246,***,Triglycerides to Total-Lipids in Medium LDL percentage
XS-VLDL-PL%,1.39 [1.36-1.42],1.257e-156,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
L-HDL-PL%,1.37 [1.34-1.40],4.377e-175,***,Phospholipids to Total-Lipids in Large HDL percentage
IDL-PL%,1.34 [1.30-1.37],6.966e-125,***,Phospholipids to Total-Lipids in IDL percentage
S-LDL-TG%,1.32 [1.29-1.35],1.518e-114,***,Triglycerides to Total-Lipids in Small LDL percentage
XXL-VLDL-PL%,1.30 [1.27-1.34],2.230e-66,***,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
L-VLDL-TG%,1.30 [1.26-1.33],2.568e-70,***,Triglycerides to Total-Lipids in Large VLDL percentage
S-LDL-PL%,1.28 [1.25-1.31],1.304e-84,***,Phospholipids to Total-Lipids in Small LDL percentage
M-LDL-PL%,1.19 [1.16-1.22],2.918e-35,***,Phospholipids to Total-Lipids in Medium LDL percentage
S-HDL-PL%,1.18 [1.15-1.21],1.005e-32,***,Phospholipids to Total-Lipids in Small HDL percentage
Creatinine,1.17 [1.15-1.20],3.138e-34,***,Creatinine
M-HDL-PL%,1.17 [1.14-1.20],7.082e-34,***,Phospholipids to Total-Lipids in Medium HDL percentage
XL-HDL-FC%,1.15 [1.12-1.18],2.685e-20,***,Free Cholesterol to Total-Lipids in Very Large HDL percentage
MUFA%,1.14 [1.11-1.16],1.453e-19,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
Glu-lactate,1.12 [1.09-1.14],2.365e-17,***,Glucose-lactate
Omega-3%,1.11 [1.09-1.14],4.840e-13,***,Omega-3 Fatty Acids to Total-Fatty Acids percentage
DHA%,1.10 [1.08-1.13],4.313e-11,***,Docosahexaenoic Acid to Total-Fatty Acids percentage
Glu,1.09 [1.07-1.12],4.445e-09,***,Glucose
GlycA,1.09 [1.06-1.12],6.725e-07,***,Glycoprotein Acetyls
XXL-VLDL-FC%,1.08 [1.05-1.11],6.334e-04,***,Free Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
M-HDL-C%,0.94 [0.92-0.96],0.013,*,Cholesterol to Total-Lipids in Medium HDL percentage
Omega-6%,0.93 [0.91-0.95],8.332e-05,***,Omega-6 Fatty Acids to Total-Fatty Acids percentage
M-HDL-PL,0.93 [0.91-0.95],0.008,**,Phospholipids in Medium HDL
HDL-TG,0.93 [0.90-0.95],1.617e-04,***,Triglycerides in HDL
Omega-3,0.92 [0.90-0.95],6.213e-05,***,Omega-3 Fatty Acids
His,0.92 [0.90-0.94],7.051e-06,***,Histidine
M-HDL-CE,0.92 [0.90-0.95],4.488e-04,***,Cholesteryl Esters in Medium HDL
XXL-VLDL-C%,0.92 [0.90-0.95],1.340e-04,***,Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
PUFA/MUFA,0.92 [0.90-0.94],6.583e-07,***,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
XXL-VLDL-PL,0.92 [0.90-0.94],9.190e-07,***,Phospholipids in Chylomicrons and Extremely Large VLDL
XXL-VLDL-TG,0.92 [0.90-0.94],1.199e-07,***,Triglycerides in Chylomicrons and Extremely Large VLDL
SFA%,0.92 [0.90-0.94],6.113e-09,***,Saturated Fatty Acids to Total-Fatty Acids percentage
M-HDL-L,0.91 [0.89-0.94],1.071e-06,***,Total-Lipids in Medium HDL
XXL-VLDL-P,0.91 [0.89-0.93],7.164e-09,***,Concentration of Chylomicrons and Extremely Large VLDL Particles
XS-VLDL-TG,0.91 [0.89-0.93],1.864e-09,***,Triglycerides in Very Small VLDL
DHA,0.91 [0.88-0.93],8.110e-09,***,Docosahexaenoic Acid
M-HDL-C,0.90 [0.88-0.93],4.076e-08,***,Cholesterol in Medium HDL
XXL-VLDL-L,0.90 [0.88-0.93],1.618e-11,***,Total-Lipids in Chylomicrons and Extremely Large VLDL
S-VLDL-TG,0.90 [0.88-0.92],2.083e-12,***,Triglycerides in Small VLDL
XXL-VLDL-FC,0.90 [0.88-0.92],2.028e-13,***,Free Cholesterol in Chylomicrons and Extremely Large VLDL
XL-VLDL-TG,0.90 [0.87-0.92],2.481e-13,***,Triglycerides in Very Large VLDL
L-HDL-TG,0.89 [0.87-0.92],1.097e-11,***,Triglycerides in Large HDL
HDL-size,0.89 [0.86-0.92],9.101e-08,***,Average Diameter for HDL Particles
S-LDL-FC%,0.89 [0.87-0.91],1.085e-23,***,Free Cholesterol to Total-Lipids in Small LDL percentage
M-HDL-P,0.89 [0.86-0.91],1.211e-12,***,Concentration of Medium HDL Particles
Omega-6/Omega-3,0.89 [0.86-0.91],4.296e-18,***,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
S-HDL-C%,0.88 [0.86-0.90],3.243e-22,***,Cholesterol to Total-Lipids in Small HDL percentage
L-HDL-CE%,0.87 [0.86-0.89],2.213e-34,***,Cholesteryl Esters to Total-Lipids in Large HDL percentage
S-HDL-PL,0.87 [0.85-0.89],8.326e-24,***,Phospholipids in Small HDL
L-HDL-PL,0.87 [0.84-0.90],8.097e-12,***,Phospholipids in Large HDL
M-LDL-FC%,0.87 [0.85-0.89],7.433e-31,***,Free Cholesterol to Total-Lipids in Medium LDL percentage
XL-HDL-CE%,0.87 [0.85-0.89],4.474e-36,***,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
L-VLDL-FC%,0.87 [0.85-0.89],2.413e-20,***,Free Cholesterol to Total-Lipids in Large VLDL percentage
S-LDL-TG,0.87 [0.85-0.89],6.383e-26,***,Triglycerides in Small LDL
HDL-PL,0.86 [0.84-0.88],8.052e-23,***,Phospholipids in HDL
VLDL-TG,0.86 [0.84-0.88],6.146e-29,***,Triglycerides in VLDL
M-LDL-TG,0.86 [0.84-0.88],5.290e-30,***,Triglycerides in Medium LDL
XXL-VLDL-C,0.86 [0.84-0.88],1.321e-28,***,Cholesterol in Chylomicrons and Extremely Large VLDL
Total-TG,0.86 [0.84-0.88],6.806e-30,***,Total-Triglycerides
LDL-size,0.85 [0.83-0.87],2.281e-37,***,Average Diameter for LDL Particles
S-HDL-L,0.85 [0.83-0.87],3.651e-37,***,Total-Lipids in Small HDL
L-VLDL-TG,0.85 [0.83-0.87],3.945e-35,***,Triglycerides in Large VLDL
IDL-TG,0.85 [0.82-0.87],5.966e-34,***,Triglycerides in IDL
XXL-VLDL-CE%,0.84 [0.82-0.87],3.742e-30,***,Cholesteryl Esters to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
LDL-TG,0.84 [0.82-0.86],2.884e-38,***,Triglycerides in LDL
XL-VLDL-P,0.84 [0.82-0.86],1.181e-36,***,Concentration of Very Large VLDL Particles
M-HDL-FC,0.84 [0.81-0.86],3.750e-29,***,Free Cholesterol in Medium HDL
IDL-FC%,0.84 [0.82-0.85],7.671e-58,***,Free Cholesterol to Total-Lipids in IDL percentage
XL-VLDL-L,0.84 [0.82-0.86],1.892e-39,***,Total-Lipids in Very Large VLDL
MUFA,0.83 [0.81-0.85],1.131e-47,***,Monounsaturated Fatty Acids
S-HDL-CE,0.83 [0.81-0.85],7.421e-44,***,Cholesteryl Esters in Small HDL
L-LDL-TG,0.83 [0.81-0.85],9.799e-43,***,Triglycerides in Large LDL
L-HDL-C%,0.83 [0.81-0.85],5.938e-72,***,Cholesterol to Total-Lipids in Large HDL percentage
XXL-VLDL-CE,0.83 [0.81-0.85],3.194e-43,***,Cholesteryl Esters in Chylomicrons and Extremely Large VLDL
XL-HDL-TG,0.83 [0.81-0.85],1.188e-43,***,Triglycerides in Very Large HDL
ApoA1,0.83 [0.81-0.85],2.260e-38,***,Apolipoprotein A1
L-HDL-L,0.83 [0.80-0.85],1.194e-25,***,Total-Lipids in Large HDL
HDL-L,0.82 [0.80-0.85],2.546e-38,***,Total-Lipids in HDL
HDL-CE,0.81 [0.79-0.84],1.861e-38,***,Cholesteryl Esters in HDL
S-HDL-C,0.81 [0.79-0.83],1.083e-58,***,Cholesterol in Small HDL
L-LDL-CE%,0.81 [0.79-0.83],2.432e-68,***,Cholesteryl Esters to Total-Lipids in Large LDL percentage
XL-VLDL-PL,0.81 [0.79-0.83],6.950e-55,***,Phospholipids in Very Large VLDL
L-VLDL-P,0.81 [0.79-0.83],2.157e-56,***,Concentration of Large VLDL Particles
L-VLDL-PL,0.80 [0.78-0.83],5.867e-57,***,Phospholipids in Large VLDL
L-HDL-CE,0.80 [0.77-0.83],1.118e-30,***,Cholesteryl Esters in Large HDL
M-VLDL-TG,0.80 [0.78-0.82],4.908e-64,***,Triglycerides in Medium VLDL
L-VLDL-L,0.80 [0.78-0.82],1.848e-63,***,Total-Lipids in Large VLDL
S-HDL-P,0.79 [0.78-0.81],4.059e-69,***,Concentration of Small HDL Particles
HDL-C,0.79 [0.77-0.82],4.699e-50,***,HDL Cholesterol
L-HDL-C,0.79 [0.76-0.82],1.083e-35,***,Cholesterol in Large HDL
HDL-P,0.79 [0.77-0.81],7.945e-63,***,Concentration of HDL Particles
XL-VLDL-FC,0.78 [0.76-0.80],3.113e-72,***,Free Cholesterol in Very Large VLDL
L-VLDL-FC,0.77 [0.75-0.79],1.293e-77,***,Free Cholesterol in Large VLDL
L-HDL-P,0.77 [0.75-0.80],1.217e-37,***,Concentration of Large HDL Particles
XS-VLDL-FC%,0.77 [0.76-0.79],1.379e-144,***,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
S-HDL-FC,0.77 [0.75-0.79],1.918e-89,***,Free Cholesterol in Small HDL
L-VLDL-C%,0.77 [0.75-0.79],2.013e-87,***,Cholesterol to Total-Lipids in Large VLDL percentage
M-LDL-CE%,0.76 [0.75-0.78],8.033e-102,***,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
XL-VLDL-CE%,0.76 [0.74-0.78],9.089e-90,***,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
XL-HDL-PL,0.75 [0.73-0.78],3.332e-47,***,Phospholipids in Very Large HDL
SFA,0.75 [0.74-0.77],4.485e-122,***,Saturated Fatty Acids
L-VLDL-CE%,0.75 [0.73-0.77],4.447e-105,***,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
L-HDL-FC,0.75 [0.73-0.78],7.203e-48,***,Free Cholesterol in Large HDL
L-HDL-FC%,0.75 [0.73-0.76],1.127e-207,***,Free Cholesterol to Total-Lipids in Large HDL percentage
M-VLDL-CE%,0.74 [0.73-0.76],6.700e-214,***,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
XL-VLDL-C%,0.74 [0.72-0.76],6.305e-97,***,Cholesterol to Total-Lipids in Very Large VLDL percentage
Total-FA,0.74 [0.72-0.75],4.281e-143,***,Total-Fatty Acids
LA%,0.74 [0.72-0.75],6.469e-151,***,Linoleic Acid to Total-Fatty Acids percentage
VLDL-L,0.73 [0.72-0.75],5.920e-131,***,Total-Lipids in VLDL
S-LDL-CE%,0.73 [0.72-0.75],6.693e-144,***,Cholesteryl Esters to Total-Lipids in Small LDL percentage
Total-P,0.73 [0.71-0.74],1.477e-119,***,Total-Concentration of Lipoprotein Particles
HDL-FC,0.72 [0.70-0.75],4.501e-86,***,Free Cholesterol in HDL
XL-VLDL-FC%,0.72 [0.70-0.74],9.776e-107,***,Free Cholesterol to Total-Lipids in Very Large VLDL percentage
XL-VLDL-PL%,0.72 [0.70-0.74],8.084e-161,***,Phospholipids to Total-Lipids in Very Large VLDL percentage
S-VLDL-P,0.72 [0.70-0.74],8.665e-127,***,Concentration of Small VLDL Particles
L-LDL-FC%,0.72 [0.71-0.74],5.441e-197,***,Free Cholesterol to Total-Lipids in Large LDL percentage
M-HDL-FC%,0.72 [0.70-0.74],1.555e-160,***,Free Cholesterol to Total-Lipids in Medium HDL percentage
L-VLDL-C,0.72 [0.70-0.74],5.454e-129,***,Cholesterol in Large VLDL
S-VLDL-CE%,0.72 [0.70-0.73],1.618e-186,***,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
XL-VLDL-C,0.71 [0.70-0.73],4.170e-133,***,Cholesterol in Very Large VLDL
M-VLDL-C%,0.71 [0.69-0.72],9.783e-241,***,Cholesterol to Total-Lipids in Medium VLDL percentage
S-VLDL-L,0.70 [0.68-0.71],1.966e-162,***,Total-Lipids in Small VLDL
Phosphoglyc,0.69 [0.68-0.71],1.449e-187,***,Phosphoglycerides
XL-HDL-L,0.69 [0.67-0.72],3.610e-83,***,Total-Lipids in Very Large HDL
S-HDL-FC%,0.69 [0.67-0.71],1.323e-156,***,Free Cholesterol to Total-Lipids in Small HDL percentage
VLDL-PL,0.69 [0.67-0.71],1.065e-178,***,Phospholipids in VLDL
IDL-C%,0.69 [0.67-0.70],1.451e-296,***,Cholesterol to Total-Lipids in IDL percentage
M-LDL-C%,0.68 [0.67-0.70],3.668e-291,***,Cholesterol to Total-Lipids in Medium LDL percentage
S-VLDL-C%,0.68 [0.67-0.70],3.317e-250,***,Cholesterol to Total-Lipids in Small VLDL percentage
L-LDL-C%,0.68 [0.66-0.69],1.457e-285,***,Cholesterol to Total-Lipids in Large LDL percentage
M-VLDL-FC%,0.67 [0.66-0.69],8.783e-277,***,Free Cholesterol to Total-Lipids in Medium VLDL percentage
IDL-CE%,0.67 [0.66-0.69],2.450e-303,***,Cholesteryl Esters to Total-Lipids in IDL percentage
S-LDL-C%,0.67 [0.66-0.69],1.720e-288,***,Cholesterol to Total-Lipids in Small LDL percentage
PC,0.67 [0.65-0.69],4.191e-212,***,Phosphatidylcholines
L-VLDL-CE,0.67 [0.65-0.69],8.297e-185,***,Cholesteryl Esters in Large VLDL
XS-VLDL-C%,0.66 [0.65-0.68],0.000e+00,***,Cholesterol to Total-Lipids in Very Small VLDL percentage
XS-VLDL-CE%,0.66 [0.65-0.67],0.000e+00,***,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
XL-VLDL-CE,0.66 [0.64-0.68],3.710e-196,***,Cholesteryl Esters in Very Large VLDL
PUFA,0.66 [0.64-0.68],2.187e-246,***,Polyunsaturated Fatty Acids
Cholines,0.66 [0.64-0.68],8.875e-238,***,Total-Cholines
XL-HDL-FC,0.66 [0.63-0.68],8.633e-132,***,Free Cholesterol in Very Large HDL
S-VLDL-FC%,0.65 [0.64-0.67],8.735e-302,***,Free Cholesterol to Total-Lipids in Small VLDL percentage
VLDL-P,0.65 [0.63-0.67],1.711e-216,***,Concentration of VLDL Particles
M-VLDL-L,0.65 [0.63-0.67],6.172e-245,***,Total-Lipids in Medium VLDL
VLDL-FC,0.65 [0.63-0.67],1.788e-230,***,Free Cholesterol in VLDL
M-VLDL-PL%,0.65 [0.63-0.66],0.000e+00,***,Phospholipids to Total-Lipids in Medium VLDL percentage
XL-HDL-CE,0.65 [0.62-0.67],3.883e-107,***,Cholesteryl Esters in Very Large HDL
ApoB/ApoA1,0.65 [0.63-0.66],5.890e-245,***,Apolipoprotein B to Apolipoprotein A1 ratio
XL-HDL-C,0.64 [0.62-0.66],4.371e-118,***,Cholesterol in Very Large HDL
S-VLDL-PL%,0.64 [0.62-0.65],3.448e-291,***,Phospholipids to Total-Lipids in Small VLDL percentage
XS-VLDL-PL,0.64 [0.62-0.65],3.590e-228,***,Phospholipids in Very Small VLDL
Omega-6,0.63 [0.62-0.65],1.269e-299,***,Omega-6 Fatty Acids
Total-PL,0.63 [0.62-0.65],3.855e-304,***,Total-Phospholipids in Lipoprotein Particles
Total-L,0.63 [0.61-0.64],0.000e+00,***,Total-Lipids in Lipoprotein Particles
S-VLDL-PL,0.62 [0.60-0.63],3.973e-270,***,Phospholipids in Small VLDL
LA,0.61 [0.60-0.63],0.000e+00,***,Linoleic Acid
XS-VLDL-L,0.61 [0.59-0.63],3.179e-282,***,Total-Lipids in Very Small VLDL
S-VLDL-CE,0.61 [0.59-0.63],6.611e-270,***,Cholesteryl Esters in Small VLDL
SM,0.61 [0.59-0.63],7.588e-300,***,Sphingomyelins
XL-HDL-P,0.61 [0.59-0.63],3.752e-135,***,Concentration of Very Large HDL Particles
VLDL-C,0.61 [0.59-0.62],0.000e+00,***,VLDL Cholesterol
M-VLDL-P,0.60 [0.59-0.62],7.873e-293,***,Concentration of Medium VLDL Particles
M-LDL-L,0.60 [0.58-0.61],0.000e+00,***,Total-Lipids in Medium LDL
M-LDL-CE,0.60 [0.58-0.61],0.000e+00,***,Cholesteryl Esters in Medium LDL
S-VLDL-C,0.60 [0.58-0.61],1.034e-302,***,Cholesterol in Small VLDL
M-VLDL-PL,0.60 [0.58-0.61],0.000e+00,***,Phospholipids in Medium VLDL
