Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
MUFA%,1.15 [1.07-1.23],1.000,,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
M-LDL-TG%,1.11 [1.04-1.18],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
Omega-6/Omega-3,1.04 [0.97-1.11],1.000,,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
Ile,1.01 [0.94-1.08],1.000,,Isoleucine
Leu,1.01 [0.94-1.08],1.000,,Leucine
VLDL-C,0.97 [0.91-1.04],1.000,,VLDL Cholesterol
Remnant-C,0.93 [0.88-1.00],1.000,,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
Non-HDL-C,0.93 [0.87-0.99],1.000,,Total-Cholesterol Minus HDL-C
Total-C,0.92 [0.87-0.99],1.000,,Total-Cholesterol
M-LDL-FC%,0.91 [0.86-0.97],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
