Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
Phe,1.11 [0.99-1.26],1.000,,Phenylalanine
Tyr,1.11 [0.98-1.25],1.000,,Tyrosine
M-LDL-PL%,1.06 [0.94-1.21],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
Gln,1.04 [0.92-1.18],1.000,,Glutamine
Ile,1.03 [0.91-1.17],1.000,,Isoleucine
S-LDL-C%,0.76 [0.68-0.85],0.117,,Cholesterol to Total-Lipids in Small LDL percentage
Clinical LDL-C,0.75 [0.67-0.85],0.359,,Clinical LDL Cholesterol
Total-C,0.75 [0.67-0.84],0.280,,Total-Cholesterol
Total-CE,0.75 [0.67-0.84],0.285,,Total-Esterified Cholesterol
IDL-CE,0.74 [0.65-0.84],0.362,,Cholesteryl Esters in IDL
