Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
L-LDL-TG%,1.33 [1.23-1.43],4.972e-08,***,Triglycerides to Total-Lipids in Large LDL percentage
M-LDL-TG%,1.32 [1.23-1.42],9.266e-08,***,Triglycerides to Total-Lipids in Medium LDL percentage
IDL-TG%,1.32 [1.22-1.42],4.810e-07,***,Triglycerides to Total-Lipids in IDL percentage
S-VLDL-TG%,1.28 [1.17-1.40],0.006,**,Triglycerides to Total-Lipids in Small VLDL percentage
GlycA,1.26 [1.16-1.37],0.005,**,Glycoprotein Acetyls
XS-VLDL-PL%,1.25 [1.15-1.35],0.015,*,Phospholipids to Total-Lipids in Very Small VLDL percentage
XS-VLDL-TG%,1.25 [1.15-1.35],0.025,*,Triglycerides to Total-Lipids in Very Small VLDL percentage
S-LDL-TG%,1.24 [1.14-1.34],0.019,*,Triglycerides to Total-Lipids in Small LDL percentage
L-HDL-PL%,1.22 [1.13-1.32],0.039,*,Phospholipids to Total-Lipids in Large HDL percentage
S-VLDL-C%,0.82 [0.76-0.88],0.033,*,Cholesterol to Total-Lipids in Small VLDL percentage
XS-VLDL-C%,0.81 [0.76-0.87],0.004,**,Cholesterol to Total-Lipids in Very Small VLDL percentage
XS-VLDL-CE%,0.81 [0.75-0.87],0.001,**,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
L-LDL-FC%,0.80 [0.75-0.86],7.636e-04,***,Free Cholesterol to Total-Lipids in Large LDL percentage
Remnant-C,0.80 [0.74-0.86],0.004,**,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
S-LDL-P,0.79 [0.73-0.86],0.016,*,Concentration of Small LDL Particles
L-LDL-P,0.79 [0.72-0.86],0.013,*,Concentration of Large LDL Particles
S-VLDL-FC%,0.79 [0.73-0.85],1.384e-04,***,Free Cholesterol to Total-Lipids in Small VLDL percentage
ApoB,0.79 [0.73-0.85],0.002,**,Apolipoprotein B
S-LDL-PL,0.78 [0.72-0.85],0.002,**,Phospholipids in Small LDL
IDL-PL,0.78 [0.72-0.85],0.005,**,Phospholipids in IDL
LA,0.78 [0.72-0.85],2.799e-04,***,Linoleic Acid
Total-FC,0.78 [0.72-0.85],3.970e-04,***,Total-Free Cholesterol
IDL-C%,0.78 [0.73-0.84],3.969e-07,***,Cholesterol to Total-Lipids in IDL percentage
M-LDL-C%,0.78 [0.73-0.84],7.447e-07,***,Cholesterol to Total-Lipids in Medium LDL percentage
LDL-P,0.78 [0.72-0.85],0.002,**,Concentration of LDL Particles
Total-C,0.78 [0.72-0.84],4.014e-05,***,Total-Cholesterol
Non-HDL-C,0.78 [0.72-0.84],2.991e-05,***,Total-Cholesterol Minus HDL-C
IDL-L,0.78 [0.72-0.84],2.026e-04,***,Total-Lipids in IDL
M-VLDL-C,0.78 [0.71-0.84],8.604e-04,***,Cholesterol in Medium VLDL
S-VLDL-PL%,0.77 [0.71-0.84],1.058e-04,***,Phospholipids to Total-Lipids in Small VLDL percentage
S-LDL-L,0.77 [0.71-0.84],2.513e-04,***,Total-Lipids in Small LDL
Total-CE,0.77 [0.72-0.84],2.169e-05,***,Total-Esterified Cholesterol
IDL-FC,0.77 [0.71-0.84],5.671e-04,***,Free Cholesterol in IDL
M-LDL-CE,0.77 [0.71-0.84],1.045e-04,***,Cholesteryl Esters in Medium LDL
S-LDL-CE,0.77 [0.71-0.84],1.776e-04,***,Cholesteryl Esters in Small LDL
L-LDL-C%,0.77 [0.72-0.83],7.921e-08,***,Cholesterol to Total-Lipids in Large LDL percentage
IDL-P,0.77 [0.71-0.84],7.864e-04,***,Concentration of IDL Particles
M-LDL-L,0.77 [0.71-0.83],4.365e-05,***,Total-Lipids in Medium LDL
LDL-L,0.77 [0.71-0.83],7.472e-06,***,Total-Lipids in LDL
M-LDL-P,0.77 [0.71-0.84],2.782e-04,***,Concentration of Medium LDL Particles
LDL-CE,0.77 [0.71-0.83],8.453e-06,***,Cholesteryl Esters in LDL
L-LDL-L,0.77 [0.71-0.83],6.574e-06,***,Total-Lipids in Large LDL
L-LDL-CE,0.76 [0.70-0.83],8.843e-06,***,Cholesteryl Esters in Large LDL
M-LDL-PL,0.76 [0.70-0.83],4.018e-05,***,Phospholipids in Medium LDL
LA%,0.76 [0.71-0.82],2.666e-07,***,Linoleic Acid to Total-Fatty Acids percentage
IDL-CE%,0.76 [0.71-0.82],4.026e-09,***,Cholesteryl Esters to Total-Lipids in IDL percentage
M-VLDL-CE,0.76 [0.70-0.83],7.110e-05,***,Cholesteryl Esters in Medium VLDL
LDL-C,0.76 [0.70-0.82],1.272e-06,***,LDL Cholesterol
M-LDL-C,0.76 [0.70-0.82],8.392e-06,***,Cholesterol in Medium LDL
IDL-C,0.76 [0.70-0.82],6.526e-06,***,Cholesterol in IDL
Clinical LDL-C,0.76 [0.70-0.82],2.692e-07,***,Clinical LDL Cholesterol
S-LDL-C,0.76 [0.70-0.82],1.342e-05,***,Cholesterol in Small LDL
LDL-PL,0.76 [0.70-0.82],4.165e-06,***,Phospholipids in LDL
L-LDL-C,0.76 [0.70-0.82],1.517e-06,***,Cholesterol in Large LDL
S-LDL-C%,0.76 [0.70-0.81],4.389e-09,***,Cholesterol to Total-Lipids in Small LDL percentage
IDL-CE,0.75 [0.69-0.82],2.127e-06,***,Cholesteryl Esters in IDL
L-LDL-PL,0.75 [0.69-0.81],1.781e-06,***,Phospholipids in Large LDL
S-LDL-FC,0.75 [0.69-0.81],1.204e-06,***,Free Cholesterol in Small LDL
M-LDL-FC,0.74 [0.68-0.80],2.114e-07,***,Free Cholesterol in Medium LDL
LDL-FC,0.74 [0.68-0.80],6.440e-08,***,Free Cholesterol in LDL
L-LDL-FC,0.73 [0.67-0.80],6.771e-08,***,Free Cholesterol in Large LDL
