Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
L-LDL-TG%,1.16 [1.13-1.20],2.066e-18,***,Triglycerides to Total-Lipids in Large LDL percentage
XS-VLDL-PL%,1.15 [1.11-1.19],1.804e-13,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
M-LDL-TG%,1.15 [1.12-1.18],6.355e-15,***,Triglycerides to Total-Lipids in Medium LDL percentage
IDL-TG%,1.14 [1.11-1.18],1.492e-13,***,Triglycerides to Total-Lipids in IDL percentage
GlycA,1.14 [1.11-1.18],5.944e-11,***,Glycoprotein Acetyls
M-HDL-PL%,1.13 [1.10-1.17],1.227e-09,***,Phospholipids to Total-Lipids in Medium HDL percentage
IDL-PL%,1.12 [1.09-1.16],5.337e-08,***,Phospholipids to Total-Lipids in IDL percentage
MUFA%,1.12 [1.08-1.15],1.138e-06,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
Omega-6/Omega-3,1.10 [1.07-1.14],9.021e-05,***,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
S-LDL-PL%,1.10 [1.07-1.14],0.001,**,Phospholipids to Total-Lipids in Small LDL percentage
S-VLDL-TG%,1.10 [1.06-1.13],0.009,**,Triglycerides to Total-Lipids in Small VLDL percentage
S-LDL-TG%,1.10 [1.06-1.13],8.263e-04,***,Triglycerides to Total-Lipids in Small LDL percentage
XS-VLDL-TG%,1.09 [1.06-1.13],0.003,**,Triglycerides to Total-Lipids in Very Small VLDL percentage
S-HDL-PL%,1.09 [1.06-1.13],0.017,*,Phospholipids to Total-Lipids in Small HDL percentage
L-HDL-PL%,1.09 [1.06-1.12],0.004,**,Phospholipids to Total-Lipids in Large HDL percentage
L-LDL-FC%,0.92 [0.89-0.94],0.001,**,Free Cholesterol to Total-Lipids in Large LDL percentage
S-VLDL-CE,0.92 [0.89-0.95],0.045,*,Cholesteryl Esters in Small VLDL
S-HDL-PL,0.91 [0.89-0.94],0.012,*,Phospholipids in Small HDL
S-HDL-CE%,0.91 [0.89-0.94],0.002,**,Cholesteryl Esters to Total-Lipids in Small HDL percentage
VLDL-C,0.91 [0.88-0.94],0.002,**,VLDL Cholesterol
DHA%,0.91 [0.88-0.94],3.826e-04,***,Docosahexaenoic Acid to Total-Fatty Acids percentage
XS-VLDL-C%,0.91 [0.89-0.94],2.577e-05,***,Cholesterol to Total-Lipids in Very Small VLDL percentage
M-HDL-C%,0.91 [0.88-0.94],4.217e-04,***,Cholesterol to Total-Lipids in Medium HDL percentage
XS-VLDL-CE,0.91 [0.88-0.94],0.006,**,Cholesteryl Esters in Very Small VLDL
