Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
SFA%,1.12 [1.03-1.20],1.000,,Saturated Fatty Acids to Total-Fatty Acids percentage
MUFA%,1.11 [1.02-1.20],1.000,,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
M-LDL-TG%,1.08 [1.00-1.17],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
MUFA,1.04 [0.97-1.13],1.000,,Monounsaturated Fatty Acids
SFA,1.04 [0.96-1.12],1.000,,Saturated Fatty Acids
HDL-C,1.00 [0.91-1.10],1.000,,HDL Cholesterol
Remnant-C,0.97 [0.90-1.05],1.000,,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
Non-HDL-C,0.97 [0.90-1.05],1.000,,Total-Cholesterol Minus HDL-C
LDL-C,0.97 [0.90-1.05],1.000,,LDL Cholesterol
M-LDL-FC%,0.96 [0.89-1.04],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
