Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
IDL-TG%,1.24 [1.22-1.26],1.045e-212,***,Triglycerides to Total-Lipids in IDL percentage
XS-VLDL-TG%,1.23 [1.22-1.25],4.442e-185,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
L-LDL-TG%,1.22 [1.20-1.24],3.653e-187,***,Triglycerides to Total-Lipids in Large LDL percentage
M-LDL-TG%,1.21 [1.19-1.22],5.303e-166,***,Triglycerides to Total-Lipids in Medium LDL percentage
XS-VLDL-PL%,1.19 [1.18-1.21],1.069e-129,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
M-VLDL-TG%,1.19 [1.17-1.21],1.692e-105,***,Triglycerides to Total-Lipids in Medium VLDL percentage
S-VLDL-TG%,1.18 [1.16-1.20],8.387e-101,***,Triglycerides to Total-Lipids in Small VLDL percentage
MUFA%,1.17 [1.15-1.18],6.705e-93,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
S-LDL-TG%,1.16 [1.15-1.18],1.763e-101,***,Triglycerides to Total-Lipids in Small LDL percentage
S-HDL-TG%,1.16 [1.14-1.18],1.717e-75,***,Triglycerides to Total-Lipids in Small HDL percentage
GlycA,1.16 [1.14-1.18],2.471e-86,***,Glycoprotein Acetyls
XL-VLDL-TG%,1.16 [1.14-1.18],1.781e-52,***,Triglycerides to Total-Lipids in Very Large VLDL percentage
XS-VLDL-TG,1.14 [1.13-1.16],2.668e-77,***,Triglycerides in Very Small VLDL
L-HDL-PL%,1.13 [1.12-1.15],5.190e-73,***,Phospholipids to Total-Lipids in Large HDL percentage
S-HDL-TG,1.13 [1.12-1.15],4.730e-62,***,Triglycerides in Small HDL
XL-HDL-TG%,1.13 [1.12-1.15],1.200e-59,***,Triglycerides to Total-Lipids in Very Large HDL percentage
L-LDL-TG,1.13 [1.12-1.14],1.066e-67,***,Triglycerides in Large LDL
IDL-TG,1.13 [1.11-1.14],9.238e-65,***,Triglycerides in IDL
LDL-TG,1.13 [1.11-1.14],2.339e-66,***,Triglycerides in LDL
M-LDL-TG,1.13 [1.11-1.14],6.939e-68,***,Triglycerides in Medium LDL
IDL-PL%,1.12 [1.11-1.14],5.071e-57,***,Phospholipids to Total-Lipids in IDL percentage
M-HDL-TG%,1.12 [1.11-1.14],4.868e-47,***,Triglycerides to Total-Lipids in Medium HDL percentage
S-VLDL-TG,1.12 [1.11-1.14],3.643e-55,***,Triglycerides in Small VLDL
TG/PG,1.12 [1.11-1.14],1.014e-48,***,Triglycerides to Phosphoglycerides ratio
L-HDL-TG%,1.12 [1.10-1.13],2.482e-48,***,Triglycerides to Total-Lipids in Large HDL percentage
XXL-VLDL-PL%,1.12 [1.10-1.13],1.088e-31,***,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
M-HDL-PL%,1.11 [1.10-1.13],4.147e-47,***,Phospholipids to Total-Lipids in Medium HDL percentage
S-LDL-TG,1.11 [1.09-1.12],5.695e-49,***,Triglycerides in Small LDL
L-VLDL-PL%,1.10 [1.08-1.12],1.361e-18,***,Phospholipids to Total-Lipids in Large VLDL percentage
HDL-TG,1.10 [1.08-1.11],8.430e-33,***,Triglycerides in HDL
Total-TG,1.09 [1.08-1.11],3.389e-31,***,Total-Triglycerides
MUFA,1.09 [1.08-1.11],1.023e-33,***,Monounsaturated Fatty Acids
XL-VLDL-TG,1.09 [1.08-1.11],2.106e-30,***,Triglycerides in Very Large VLDL
M-HDL-TG,1.09 [1.07-1.10],6.305e-26,***,Triglycerides in Medium HDL
VLDL-TG,1.09 [1.07-1.10],9.146e-25,***,Triglycerides in VLDL
XL-VLDL-P,1.09 [1.07-1.10],5.695e-26,***,Concentration of Very Large VLDL Particles
L-VLDL-PL,1.08 [1.07-1.10],1.653e-23,***,Phospholipids in Large VLDL
L-VLDL-P,1.08 [1.07-1.10],1.270e-22,***,Concentration of Large VLDL Particles
XL-VLDL-L,1.08 [1.06-1.09],5.148e-21,***,Total-Lipids in Very Large VLDL
M-VLDL-TG,1.08 [1.06-1.09],8.031e-21,***,Triglycerides in Medium VLDL
L-VLDL-TG,1.08 [1.06-1.09],1.660e-21,***,Triglycerides in Large VLDL
XL-HDL-TG,1.08 [1.06-1.09],2.065e-22,***,Triglycerides in Very Large HDL
L-VLDL-FC,1.07 [1.06-1.09],9.806e-18,***,Free Cholesterol in Large VLDL
S-VLDL-P,1.07 [1.06-1.09],1.290e-17,***,Concentration of Small VLDL Particles
XXL-VLDL-PL,1.07 [1.06-1.09],1.199e-19,***,Phospholipids in Chylomicrons and Extremely Large VLDL
XXL-VLDL-P,1.07 [1.06-1.09],2.708e-20,***,Concentration of Chylomicrons and Extremely Large VLDL Particles
L-VLDL-L,1.07 [1.06-1.09],1.529e-16,***,Total-Lipids in Large VLDL
XL-VLDL-PL,1.07 [1.06-1.09],2.320e-17,***,Phospholipids in Very Large VLDL
Omega-3,1.07 [1.06-1.09],1.145e-15,***,Omega-3 Fatty Acids
Glu-lactate,1.07 [1.06-1.08],1.653e-17,***,Glucose-lactate
XXL-VLDL-FC,1.07 [1.05-1.08],4.887e-16,***,Free Cholesterol in Chylomicrons and Extremely Large VLDL
XL-VLDL-FC,1.07 [1.05-1.08],5.469e-14,***,Free Cholesterol in Very Large VLDL
VLDL-size,1.06 [1.05-1.08],1.136e-10,***,Average Diameter for VLDL Particles
