Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-LDL-TG%,1.22 [1.07-1.40],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
VLDL-C,1.13 [0.97-1.31],1.000,,VLDL Cholesterol
Remnant-C,1.05 [0.91-1.22],1.000,,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
Non-HDL-C,1.04 [0.90-1.21],1.000,,Total-Cholesterol Minus HDL-C
Total-C,1.01 [0.87-1.17],1.000,,Total-Cholesterol
HDL-FC,0.98 [0.81-1.18],1.000,,Free Cholesterol in HDL
Creatinine,0.98 [0.83-1.15],1.000,,Creatinine
Albumin,0.87 [0.75-1.00],1.000,,Albumin
M-LDL-FC%,0.78 [0.69-0.88],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
Unsaturation,0.70 [0.61-0.81],0.829,,Degree of Unsaturation
