Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-LDL-TG%,1.26 [1.11-1.43],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
MUFA,1.07 [0.94-1.22],1.000,,Monounsaturated Fatty Acids
SFA,1.05 [0.92-1.19],1.000,,Saturated Fatty Acids
Total-FA,1.01 [0.89-1.16],1.000,,Total-Fatty Acids
Omega-3,1.00 [0.87-1.15],1.000,,Omega-3 Fatty Acids
ApoB,0.93 [0.82-1.07],1.000,,Apolipoprotein B
HDL-C,0.89 [0.75-1.04],1.000,,HDL Cholesterol
LDL-C,0.88 [0.77-1.00],1.000,,LDL Cholesterol
Clinical LDL-C,0.86 [0.76-0.98],1.000,,Clinical LDL Cholesterol
M-LDL-FC%,0.85 [0.75-0.96],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
