Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
SFA%,1.26 [1.08-1.46],1.000,,Saturated Fatty Acids to Total-Fatty Acids percentage
M-LDL-TG%,1.19 [1.02-1.39],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
SFA,1.13 [0.97-1.32],1.000,,Saturated Fatty Acids
MUFA%,1.10 [0.93-1.31],1.000,,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
MUFA,1.09 [0.93-1.28],1.000,,Monounsaturated Fatty Acids
M-LDL-FC%,0.86 [0.74-1.00],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
Omega-3%,0.86 [0.73-1.02],1.000,,Omega-3 Fatty Acids to Total-Fatty Acids percentage
PUFA/MUFA,0.85 [0.72-1.01],1.000,,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
LA%,0.85 [0.72-0.99],1.000,,Linoleic Acid to Total-Fatty Acids percentage
DHA%,0.84 [0.72-0.99],1.000,,Docosahexaenoic Acid to Total-Fatty Acids percentage
