Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
IDL-PL%,1.18 [1.01-1.38],1.000,,Phospholipids to Total-Lipids in IDL percentage
L-HDL-FC%,1.10 [0.94-1.28],1.000,,Free Cholesterol to Total-Lipids in Large HDL percentage
M-LDL-TG%,1.09 [0.93-1.28],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
IDL-TG%,1.08 [0.92-1.26],1.000,,Triglycerides to Total-Lipids in IDL percentage
L-HDL-C%,1.01 [0.87-1.18],1.000,,Cholesterol to Total-Lipids in Large HDL percentage
M-LDL-FC%,0.99 [0.85-1.16],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
VLDL-C,0.96 [0.81-1.13],1.000,,VLDL Cholesterol
Non-HDL-C,0.95 [0.81-1.11],1.000,,Total-Cholesterol Minus HDL-C
Remnant-C,0.94 [0.81-1.10],1.000,,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
Total-C,0.94 [0.81-1.10],1.000,,Total-Cholesterol
