Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-LDL-TG%,1.13 [1.03-1.24],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
Leu,1.06 [0.96-1.17],1.000,,Leucine
Ile,1.06 [0.96-1.16],1.000,,Isoleucine
Total-BCAA,1.04 [0.94-1.15],1.000,,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
Val,1.01 [0.92-1.12],1.000,,Valine
M-LDL-FC%,0.94 [0.86-1.03],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
VLDL-C,0.93 [0.85-1.03],1.000,,VLDL Cholesterol
Non-HDL-C,0.90 [0.82-0.99],1.000,,Total-Cholesterol Minus HDL-C
Remnant-C,0.90 [0.82-0.99],1.000,,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
Total-C,0.89 [0.81-0.98],1.000,,Total-Cholesterol
