Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
Ile,1.16 [1.00-1.35],1.000,,Isoleucine
M-LDL-TG%,1.12 [0.96-1.31],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
Phe,1.05 [0.90-1.24],1.000,,Phenylalanine
Tyr,1.04 [0.88-1.23],1.000,,Tyrosine
His,1.01 [0.86-1.19],1.000,,Histidine
VLDL-CE,0.94 [0.80-1.11],1.000,,Cholesteryl Esters in VLDL
M-LDL-FC%,0.90 [0.78-1.04],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
LDL-CE,0.88 [0.75-1.02],1.000,,Cholesteryl Esters in LDL
PUFA/MUFA,0.87 [0.74-1.02],1.000,,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
Total-CE,0.85 [0.73-1.00],1.000,,Total-Esterified Cholesterol
