Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
GlycA,1.10 [1.07-1.13],9.064e-07,***,Glycoprotein Acetyls
Omega-6/Omega-3,1.06 [1.04-1.09],0.671,,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
Lactate,1.03 [1.00-1.05],1.000,,Lactate
Pyruvate,1.01 [0.99-1.04],1.000,,Pyruvate
M-LDL-FC%,1.01 [0.99-1.04],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
M-VLDL-FC%,1.00 [0.97-1.02],1.000,,Free Cholesterol to Total-Lipids in Medium VLDL percentage
M-LDL-CE%,0.98 [0.95-1.01],1.000,,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
Omega-3%,0.93 [0.91-0.96],0.086,,Omega-3 Fatty Acids to Total-Fatty Acids percentage
Citrate,0.92 [0.90-0.95],0.003,**,Citrate
Albumin,0.92 [0.90-0.94],3.904e-05,***,Albumin
