Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
His,1.07 [1.00-1.15],1.000,,Histidine
Tyr,1.05 [0.98-1.14],1.000,,Tyrosine
M-LDL-PL%,1.02 [0.95-1.10],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
Phe,1.01 [0.94-1.09],1.000,,Phenylalanine
Leu,1.00 [0.93-1.08],1.000,,Leucine
VLDL-C,0.98 [0.91-1.06],1.000,,VLDL Cholesterol
M-LDL-FC%,0.96 [0.90-1.03],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
Remnant-C,0.96 [0.90-1.04],1.000,,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
Total-C,0.94 [0.88-1.01],1.000,,Total-Cholesterol
HDL-CE,0.89 [0.82-0.97],1.000,,Cholesteryl Esters in HDL
