Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
L-LDL-TG%,1.31 [1.17-1.48],1.000,,Triglycerides to Total-Lipids in Large LDL percentage
M-HDL-PL%,1.14 [1.01-1.30],1.000,,Phospholipids to Total-Lipids in Medium HDL percentage
L-VLDL-TG%,1.11 [0.96-1.29],1.000,,Triglycerides to Total-Lipids in Large VLDL percentage
L-HDL-TG%,1.08 [0.95-1.22],1.000,,Triglycerides to Total-Lipids in Large HDL percentage
M-LDL-PL%,1.05 [0.92-1.20],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
S-LDL-C%,0.76 [0.68-0.85],0.410,,Cholesterol to Total-Lipids in Small LDL percentage
Clinical LDL-C,0.75 [0.66-0.84],0.405,,Clinical LDL Cholesterol
LDL-FC,0.73 [0.64-0.83],0.523,,Free Cholesterol in LDL
M-LDL-FC,0.73 [0.64-0.83],0.900,,Free Cholesterol in Medium LDL
L-LDL-FC,0.72 [0.64-0.83],0.517,,Free Cholesterol in Large LDL
