Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
HDL-CE,1.08 [0.98-1.20],1.000,,Cholesteryl Esters in HDL
M-LDL-PL%,1.02 [0.94-1.12],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
VLDL-CE,1.01 [0.93-1.10],1.000,,Cholesteryl Esters in VLDL
DHA%,1.01 [0.93-1.10],1.000,,Docosahexaenoic Acid to Total-Fatty Acids percentage
Total-CE,1.01 [0.93-1.10],1.000,,Total-Esterified Cholesterol
Remnant-C,0.99 [0.91-1.08],1.000,,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
Non-HDL-C,0.99 [0.91-1.07],1.000,,Total-Cholesterol Minus HDL-C
LDL-C,0.98 [0.91-1.07],1.000,,LDL Cholesterol
Clinical LDL-C,0.97 [0.89-1.05],1.000,,Clinical LDL Cholesterol
M-LDL-FC%,0.96 [0.89-1.05],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
